"path","step","type","referenced_by_step32","referenced_by_step33","needed_for_tests","needed_for_reproducibility","recommended_action","reason"
"outputs/final_analysis/baseline_model_results.csv","32/33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/data_dictionary.csv","32/33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/FINAL_ANALYSIS_METHOD_NOTE.md","32/33","md","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/manifest.json","32/33","json","False","False","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/master_applicability.csv","32/33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/master_by_accident_year.csv","32/33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/master_paired_comparisons.csv","32/33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/master_results.csv","32/33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/master_treaty_sensitivity.csv","32/33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/model_dictionary.csv","32/33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/source_inventory.csv","32/33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/STEP33_FIGURE_TABLE_METHOD_NOTE.md","33","md","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure01_baseline_mape.csv","33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure01_baseline_mape.pdf","33","pdf","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure01_baseline_mape.png","33","png","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure01_ceded_mape.csv","33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure01_gross_mape.csv","33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure02_applicability.csv","33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure02_model_success.pdf","33","pdf","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure02_model_success.png","33","png","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure03_ml_break_comparison.csv","33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure03_ml_break_comparison.pdf","33","pdf","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure03_ml_break_comparison.png","33","png","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure04_key_paired_comparisons.csv","33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure04_key_paired_comparisons.pdf","33","pdf","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure04_key_paired_comparisons.png","33","png","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure05_ceded_bf_sensitivity.csv","33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure05_ceded_bf_sensitivity.pdf","33","pdf","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure05_ceded_bf_sensitivity.png","33","png","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure06_history_accuracy.csv","33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure06_history_applicability.csv","33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure06_history_window_sensitivity.pdf","33","pdf","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure06_history_window_sensitivity.png","33","png","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure07_prior_sensitivity.csv","33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure07_prior_sensitivity.pdf","33","pdf","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure07_prior_sensitivity.png","33","png","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure08_treaty_indexation.csv","33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure08_treaty_indexation.pdf","33","pdf","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_figures/figure08_treaty_indexation.png","33","png","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/STEP33_MANIFEST.json","33","json","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_output_index.csv","33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
"outputs/final_analysis/step33_tables/appendix/appendix_baseline_scenario_summary.csv","33","csv","False","True","False","True","KEEP","Authoritative Step 32/33 dissertation analysis artifact; final_analysis is protected in full."
