simulation_id,claim_id,accident_year,frequency_scenario,tail_type,ultimate_real_severity,report_delay,report_year,structural_break_indicator
1,S0001_C000001,2010,constant,long,1081736.193942172,3,2013,0
1,S0001_C000002,2010,constant,long,1564564.9514660977,1,2011,0
1,S0001_C000003,2010,constant,long,3183756.012642441,0,2010,0
1,S0001_C000004,2010,constant,long,1222372.024653351,0,2010,0
1,S0001_C000005,2010,constant,long,3041963.51315482,3,2013,0
1,S0001_C000006,2010,constant,long,1147154.4645253946,2,2012,0
1,S0001_C000007,2010,constant,long,1219057.6424349248,3,2013,0
1,S0001_C000008,2010,constant,long,1008519.6693315193,0,2010,0
1,S0001_C000009,2010,constant,long,2154396.3110082974,0,2010,0
1,S0001_C000010,2010,constant,long,1924381.230364239,2,2012,0
1,S0001_C000011,2010,constant,long,1146595.340779366,0,2010,0
1,S0001_C000012,2010,constant,long,1654779.1019246478,2,2012,0
1,S0001_C000013,2010,constant,long,1560939.3463495173,0,2010,0
1,S0001_C000014,2010,constant,long,1351327.7317962733,0,2010,0
1,S0001_C000015,2010,constant,long,3384488.35974112,1,2011,0
1,S0001_C000016,2010,constant,long,1149230.6044987775,0,2010,0
1,S0001_C000017,2010,constant,long,1863550.547755961,0,2010,0
1,S0001_C000018,2010,constant,long,1206749.8395342827,0,2010,0
1,S0001_C000019,2010,constant,long,2078493.1996954682,2,2012,0
1,S0001_C000020,2010,constant,long,1225697.6044410374,0,2010,0
1,S0001_C000021,2010,constant,long,1099832.8415371138,0,2010,0
1,S0001_C000022,2010,constant,long,1117855.0749767409,1,2011,0
1,S0001_C000023,2010,constant,long,3937393.204148266,1,2011,0
1,S0001_C000024,2010,constant,long,1514851.9709277516,0,2010,0
1,S0001_C000025,2010,constant,long,1103753.7106941014,2,2012,0
1,S0001_C000026,2010,constant,long,1133609.39164514,1,2011,0
1,S0001_C000027,2010,constant,long,1087965.8247879215,0,2010,0
1,S0001_C000028,2010,constant,long,1193468.8306034005,1,2011,0
1,S0001_C000029,2010,constant,long,1534700.7607179019,0,2010,0
1,S0001_C000030,2010,constant,long,1484715.5432157626,1,2011,0
1,S0001_C000031,2010,constant,long,2020610.191351222,0,2010,0
1,S0001_C000032,2010,constant,long,2824480.933199121,1,2011,0
1,S0001_C000033,2010,constant,long,1366435.9849292266,2,2012,0
1,S0001_C000034,2010,constant,long,1386754.3422020394,0,2010,0
1,S0001_C000035,2010,constant,long,1528560.645063768,1,2011,0
1,S0001_C000036,2010,constant,long,1173213.8053192566,2,2012,0
1,S0001_C000037,2010,constant,long,1172281.7229878178,0,2010,0
1,S0001_C000038,2010,constant,long,1060125.6128881618,0,2010,0
1,S0001_C000039,2010,constant,long,1141637.1928238461,1,2011,0
1,S0001_C000040,2010,constant,long,1850560.625348936,0,2010,0
1,S0001_C000041,2010,constant,long,1019048.6261424536,0,2010,0
1,S0001_C000042,2010,constant,long,1579970.8242183004,0,2010,0
1,S0001_C000043,2010,constant,long,1159527.9616658129,0,2010,0
1,S0001_C000044,2010,constant,long,1057156.1544540734,1,2011,0
1,S0001_C000045,2010,constant,long,1429428.4564433135,0,2010,0
1,S0001_C000046,2010,constant,long,3127615.875645781,0,2010,0
1,S0001_C000047,2010,constant,long,1319524.3668549713,1,2011,0
1,S0001_C000048,2010,constant,long,1672757.990925785,0,2010,0
1,S0001_C000049,2010,constant,long,1000575.7781168767,1,2011,0
1,S0001_C000050,2010,constant,long,1954305.7600947109,1,2011,0
1,S0001_C000051,2010,constant,long,1110099.7003828092,2,2012,0
1,S0001_C000052,2010,constant,long,1293953.0961082105,0,2010,0
1,S0001_C000053,2011,constant,long,1303959.4474012845,0,2011,0
1,S0001_C000054,2011,constant,long,4216288.171316572,0,2011,0
1,S0001_C000055,2011,constant,long,1009695.9587583167,4,2015,0
1,S0001_C000056,2011,constant,long,1044407.6578440744,0,2011,0
1,S0001_C000057,2011,constant,long,1986811.032851834,1,2012,0
1,S0001_C000058,2011,constant,long,1221177.2669627531,0,2011,0
1,S0001_C000059,2011,constant,long,3579998.815145718,1,2012,0
1,S0001_C000060,2011,constant,long,1415580.7330532481,2,2013,0
1,S0001_C000061,2011,constant,long,1013113.9559371704,2,2013,0
1,S0001_C000062,2011,constant,long,1047220.0864030952,0,2011,0
1,S0001_C000063,2011,constant,long,1044547.6711128656,1,2012,0
1,S0001_C000064,2011,constant,long,1568333.1800824644,1,2012,0
1,S0001_C000065,2011,constant,long,1028657.8385555216,1,2012,0
1,S0001_C000066,2011,constant,long,1177998.818278178,0,2011,0
1,S0001_C000067,2011,constant,long,2134606.4258178845,0,2011,0
1,S0001_C000068,2011,constant,long,1146590.0349722966,0,2011,0
1,S0001_C000069,2011,constant,long,1250413.4478900996,0,2011,0
1,S0001_C000070,2011,constant,long,1678043.5891532265,2,2013,0
1,S0001_C000071,2011,constant,long,5432768.902462401,2,2013,0
1,S0001_C000072,2011,constant,long,1155460.3145944402,1,2012,0
1,S0001_C000073,2011,constant,long,1835925.0347543291,1,2012,0
1,S0001_C000074,2011,constant,long,4698983.344374276,2,2013,0
1,S0001_C000075,2011,constant,long,1460850.3133104916,0,2011,0
1,S0001_C000076,2011,constant,long,1103233.523713164,0,2011,0
1,S0001_C000077,2011,constant,long,1314438.4980609112,0,2011,0
1,S0001_C000078,2011,constant,long,2061891.7113339466,0,2011,0
1,S0001_C000079,2011,constant,long,1585330.7184795083,0,2011,0
1,S0001_C000080,2011,constant,long,1943623.8774242941,1,2012,0
1,S0001_C000081,2011,constant,long,1017639.8957387849,0,2011,0
1,S0001_C000082,2011,constant,long,1024059.6633009634,1,2012,0
1,S0001_C000083,2011,constant,long,1085546.339221394,0,2011,0
1,S0001_C000084,2011,constant,long,2753929.1493443167,1,2012,0
1,S0001_C000085,2011,constant,long,1271764.929428291,0,2011,0
1,S0001_C000086,2011,constant,long,5786283.595769695,0,2011,0
1,S0001_C000087,2011,constant,long,1260961.5888845886,2,2013,0
1,S0001_C000088,2011,constant,long,1185808.4927050406,0,2011,0
1,S0001_C000089,2011,constant,long,1165236.8724373952,0,2011,0
1,S0001_C000090,2011,constant,long,1524773.1518566322,1,2012,0
1,S0001_C000091,2011,constant,long,1334111.3717474507,1,2012,0
1,S0001_C000092,2011,constant,long,1289620.5105941468,0,2011,0
1,S0001_C000093,2011,constant,long,1243557.5035271628,0,2011,0
1,S0001_C000094,2011,constant,long,1063060.0904736535,0,2011,0
1,S0001_C000095,2011,constant,long,1065908.2859517974,0,2011,0
1,S0001_C000096,2011,constant,long,2060926.6888183076,2,2013,0
1,S0001_C000097,2011,constant,long,1132630.4705814612,0,2011,0
1,S0001_C000098,2011,constant,long,1400972.790063692,0,2011,0
1,S0001_C000099,2011,constant,long,2401677.871974914,0,2011,0
1,S0001_C000100,2012,constant,long,1748016.9654644998,0,2012,0
1,S0001_C000101,2012,constant,long,1196126.8497150901,2,2014,0
1,S0001_C000102,2012,constant,long,1340418.6120359297,1,2013,0
1,S0001_C000103,2012,constant,long,1118926.3009625159,1,2013,0
1,S0001_C000104,2012,constant,long,1011583.7978784863,0,2012,0
1,S0001_C000105,2012,constant,long,1033196.9854793561,0,2012,0
1,S0001_C000106,2012,constant,long,1186323.4758764172,0,2012,0
1,S0001_C000107,2012,constant,long,2252199.3359841034,2,2014,0
1,S0001_C000108,2012,constant,long,1002874.240840612,3,2015,0
1,S0001_C000109,2012,constant,long,2677532.2768375725,1,2013,0
1,S0001_C000110,2012,constant,long,3000651.115531204,0,2012,0
1,S0001_C000111,2012,constant,long,1076888.354211844,0,2012,0
1,S0001_C000112,2012,constant,long,1025106.1950071085,0,2012,0
1,S0001_C000113,2012,constant,long,1337304.7603400056,0,2012,0
1,S0001_C000114,2012,constant,long,1590548.0521694997,1,2013,0
1,S0001_C000115,2012,constant,long,3178198.0767971287,3,2015,0
1,S0001_C000116,2012,constant,long,1225604.9220368783,0,2012,0
1,S0001_C000117,2012,constant,long,1134617.7692575653,0,2012,0
1,S0001_C000118,2012,constant,long,1395060.9294053367,2,2014,0
1,S0001_C000119,2012,constant,long,1133244.6192301414,2,2014,0
1,S0001_C000120,2012,constant,long,4184941.958244005,1,2013,0
1,S0001_C000121,2012,constant,long,1370753.282343452,1,2013,0
1,S0001_C000122,2012,constant,long,1539026.525626747,0,2012,0
1,S0001_C000123,2012,constant,long,1344258.3665537632,1,2013,0
1,S0001_C000124,2012,constant,long,1109860.750273825,3,2015,0
1,S0001_C000125,2012,constant,long,1035743.0138738138,0,2012,0
1,S0001_C000126,2012,constant,long,1086773.4880282206,1,2013,0
1,S0001_C000127,2012,constant,long,2446172.5349195823,0,2012,0
1,S0001_C000128,2012,constant,long,1176376.8443307567,0,2012,0
1,S0001_C000129,2012,constant,long,1442020.7733855576,2,2014,0
1,S0001_C000130,2012,constant,long,2224582.319229218,1,2013,0
1,S0001_C000131,2012,constant,long,1051121.90491836,2,2014,0
1,S0001_C000132,2012,constant,long,1661446.486703076,1,2013,0
1,S0001_C000133,2012,constant,long,1327135.7859001267,0,2012,0
1,S0001_C000134,2012,constant,long,2149305.2215763316,2,2014,0
1,S0001_C000135,2012,constant,long,1755621.2804411065,2,2014,0
1,S0001_C000136,2012,constant,long,1104580.3971019762,1,2013,0
1,S0001_C000137,2012,constant,long,2136955.3635468483,1,2013,0
1,S0001_C000138,2012,constant,long,1177462.8176061646,0,2012,0
1,S0001_C000139,2012,constant,long,2197898.834308764,1,2013,0
1,S0001_C000140,2012,constant,long,1066114.0019201583,0,2012,0
1,S0001_C000141,2012,constant,long,1099578.5930924295,3,2015,0
1,S0001_C000142,2012,constant,long,1183947.7614466534,0,2012,0
1,S0001_C000143,2012,constant,long,1103357.9799631415,2,2014,0
1,S0001_C000144,2012,constant,long,1497073.8432961267,0,2012,0
1,S0001_C000145,2012,constant,long,11588184.555418273,1,2013,0
1,S0001_C000146,2012,constant,long,1039874.5582114232,0,2012,0
1,S0001_C000147,2012,constant,long,2122745.342579414,2,2014,0
1,S0001_C000148,2012,constant,long,1100959.7999503005,0,2012,0
1,S0001_C000149,2012,constant,long,1292012.6207363335,3,2015,0
1,S0001_C000150,2012,constant,long,1471459.8064045378,0,2012,0
1,S0001_C000151,2012,constant,long,1947605.7236393138,0,2012,0
1,S0001_C000152,2012,constant,long,3007528.7999911658,2,2014,0
1,S0001_C000153,2013,constant,long,1222396.5234498219,0,2013,0
1,S0001_C000154,2013,constant,long,1205739.7803705158,4,2017,0
1,S0001_C000155,2013,constant,long,1330352.1054433105,0,2013,0
1,S0001_C000156,2013,constant,long,2823608.66079509,0,2013,0
1,S0001_C000157,2013,constant,long,1261455.8805605443,2,2015,0
1,S0001_C000158,2013,constant,long,1558211.9197917613,1,2014,0
1,S0001_C000159,2013,constant,long,7863190.876301057,2,2015,0
1,S0001_C000160,2013,constant,long,1515649.7828528031,1,2014,0
1,S0001_C000161,2013,constant,long,1115242.7996587204,0,2013,0
1,S0001_C000162,2013,constant,long,1104938.6696326025,0,2013,0
1,S0001_C000163,2013,constant,long,1119857.4312632266,0,2013,0
1,S0001_C000164,2013,constant,long,1069211.873866247,0,2013,0
1,S0001_C000165,2013,constant,long,1026632.3689681396,0,2013,0
1,S0001_C000166,2013,constant,long,1026679.5413201948,0,2013,0
1,S0001_C000167,2013,constant,long,1499719.317271598,0,2013,0
1,S0001_C000168,2013,constant,long,2466643.5168744964,0,2013,0
1,S0001_C000169,2013,constant,long,1059631.5195206576,0,2013,0
1,S0001_C000170,2013,constant,long,1229295.7639130992,0,2013,0
1,S0001_C000171,2013,constant,long,4619840.770206508,0,2013,0
1,S0001_C000172,2013,constant,long,1175932.4723862258,1,2014,0
1,S0001_C000173,2013,constant,long,1207480.8329976813,4,2017,0
1,S0001_C000174,2013,constant,long,1533855.931974025,0,2013,0
1,S0001_C000175,2013,constant,long,2556922.0957275745,0,2013,0
1,S0001_C000176,2013,constant,long,1076280.0769250004,1,2014,0
1,S0001_C000177,2013,constant,long,1310198.3910193262,4,2017,0
1,S0001_C000178,2013,constant,long,2031808.5696936797,1,2014,0
1,S0001_C000179,2013,constant,long,1048566.3580989058,2,2015,0
1,S0001_C000180,2013,constant,long,1341970.769519299,1,2014,0
1,S0001_C000181,2013,constant,long,1836355.8352225584,0,2013,0
1,S0001_C000182,2013,constant,long,1279875.3524072333,0,2013,0
1,S0001_C000183,2013,constant,long,1946179.2271718443,1,2014,0
1,S0001_C000184,2013,constant,long,2794740.8038324118,0,2013,0
1,S0001_C000185,2013,constant,long,2281431.6930339383,1,2014,0
1,S0001_C000186,2013,constant,long,1171195.4814574625,0,2013,0
1,S0001_C000187,2013,constant,long,1017866.820687114,0,2013,0
1,S0001_C000188,2013,constant,long,1235013.9236535572,1,2014,0
1,S0001_C000189,2013,constant,long,2032006.7694159106,1,2014,0
1,S0001_C000190,2013,constant,long,1474664.3301315086,0,2013,0
1,S0001_C000191,2014,constant,long,1457855.5295832367,1,2015,0
1,S0001_C000192,2014,constant,long,2424791.076731442,1,2015,0
1,S0001_C000193,2014,constant,long,1017717.3673236506,0,2014,0
1,S0001_C000194,2014,constant,long,1230639.3658759969,2,2016,0
1,S0001_C000195,2014,constant,long,1006732.4015233441,0,2014,0
1,S0001_C000196,2014,constant,long,1477820.9717247188,2,2016,0
1,S0001_C000197,2014,constant,long,2627314.952553708,0,2014,0
1,S0001_C000198,2014,constant,long,1574759.7096137165,2,2016,0
1,S0001_C000199,2014,constant,long,2818370.492910666,0,2014,0
1,S0001_C000200,2014,constant,long,1931472.9356294442,0,2014,0
1,S0001_C000201,2014,constant,long,2284080.6097624945,0,2014,0
1,S0001_C000202,2014,constant,long,1484441.9365627582,0,2014,0
1,S0001_C000203,2014,constant,long,1018619.2284727929,1,2015,0
1,S0001_C000204,2014,constant,long,1560821.0839005755,0,2014,0
1,S0001_C000205,2014,constant,long,1012590.8591682129,0,2014,0
1,S0001_C000206,2014,constant,long,1272333.4536814361,1,2015,0
