accident_year,latest_development_year,observed_paid,estimated_reserve,estimated_ultimate
2010,14,18993021.57921432,0.0,18993021.57921432
2011,14,23015917.49415099,0.0,23015917.49415099
2012,13,38920652.28816465,2212576.4260114157,41133228.714176066
2013,12,15095943.588862814,4309083.941493119,19405027.530355934
2014,11,16634555.48892572,6349882.268779099,22984437.757704817
2015,10,21650356.214058362,8348662.86896433,29999019.08302269
2016,9,13683745.236122988,10456673.63902954,24140418.87515253
2017,8,12380581.512450546,12362822.340682834,24743403.85313338
2018,7,13940423.734363792,14174309.006423382,28114732.740787175
2019,6,10733651.486755151,15933156.022577964,26666807.509333115
2020,5,5146772.686231259,17639440.663955998,22786213.350187257
2021,4,0.0,19242687.913318235,19242687.913318235
2022,3,455988.490956164,20655397.06319412,21111385.554150283
2023,2,0.0,21948453.428501006,21948453.428501006
2024,1,0.0,23123366.496608555,23123366.496608555
