accident_year,latest_development_year,observed_paid,estimated_reserve,estimated_ultimate
2010,14,116764224.24928588,0.0,116764224.24928588
2011,14,119594704.33449315,0.0,119594704.33449315
2012,13,146894715.0128214,109057.72626389183,147003772.7390853
2013,12,75255781.48590147,993298.6469981315,76249080.13289961
2014,11,86090955.44973049,4032700.8423826424,90123656.29211313
2015,10,115360318.53469302,8962896.368177675,124323214.90287068
2016,9,77227522.97976807,20134272.290895496,97361795.27066356
2017,8,71538571.88893798,28003910.401008196,99542482.28994617
2018,7,99505933.35442251,35584268.33951052,135090201.69393304
2019,6,91606231.17645825,45037567.166902415,136643798.34336066
2020,5,76870655.69336316,57073516.83416335,133944172.52752651
2021,4,41396867.93706964,72488313.88555507,113885181.82262471
2022,3,35621519.26790501,91394473.93526657,127015993.20317158
2023,2,16000087.146831822,110754751.8185411,126754838.96537292
2024,1,2774030.020059677,125164979.96229053,127939009.9823502
