basis,accident_year,development_year,calendar_year,accident_year_centered,relative_log_inflation,structural_break_indicator,is_observed,incremental_paid,incremental_paid_scaled,predicted_incremental_paid_scaled,predicted_incremental_paid
gross,2012,14,2025,2,0.03922071315328133,0,False,,,0.10905772626389183,109057.72626389183
gross,2013,13,2025,3,0.03922071315328133,0,False,,,0.8830284646533921,883028.4646533921
gross,2013,14,2026,3,0.0784414263065627,0,False,,,0.11027018234473943,110270.18234473943
gross,2014,12,2025,4,0.03922071315328133,0,False,,,3.028359135659092,3028359.135659092
gross,2014,13,2026,4,0.0784414263065627,0,False,,,0.8928455887417841,892845.5887417841
gross,2014,14,2027,4,0.11766213945984397,0,False,,,0.11149611798176653,111496.11798176654
gross,2015,11,2025,5,0.03922071315328133,0,False,,,4.88536172239485,4885361.72239485
gross,2015,12,2026,5,0.0784414263065627,0,False,,,3.0620271074278724,3062027.1074278723
gross,2015,13,2027,5,0.11766213945984397,0,False,,,0.9027718553201699,902771.8553201699
gross,2015,14,2028,5,0.15688285261312518,0,False,,,0.11273568303478068,112735.68303478068
gross,2016,10,2025,6,0.03922071315328133,0,False,,,11.071730362738805,11071730.362738805
gross,2016,11,2026,6,0.0784414263065627,0,False,,,4.939675036365148,4939675.036365148
gross,2016,12,2027,6,0.11766213945984397,0,False,,,3.096069384974884,3096069.384974884
gross,2016,13,2028,6,0.15688285261312518,0,False,,,0.9128084777869955,912808.4777869955
gross,2016,14,2029,6,0.19610356576640658,0,False,,,0.11398902902966498,113989.02902966499
gross,2017,9,2025,7,0.03922071315328133,0,False,,,7.645794080818822,7645794.080818823
gross,2017,10,2026,7,0.0784414263065627,0,False,,,11.194821016319139,11194821.016319139
gross,2017,11,2027,7,0.11766213945984397,0,False,,,4.994592181994612,4994592.181994612
gross,2017,12,2028,7,0.15688285261312518,0,False,,,3.1304901296679817,3130490.1296679815
gross,2017,13,2029,7,0.19610356576640658,0,False,,,0.9229566830307399,922956.6830307399
gross,2017,14,2030,7,0.2353242789196879,0,False,,,0.115256309176901,115256.30917690099
gross,2018,8,2025,8,0.03922071315328133,0,False,,,7.269022716171945,7269022.716171945
gross,2018,9,2026,8,0.0784414263065627,0,False,,,7.730796673883759,7730796.673883759
gross,2018,10,2027,8,0.11766213945984397,0,False,,,11.319280137925928,11319280.137925928
gross,2018,11,2028,8,0.15688285261312518,0,False,,,5.050119872419409,5050119.872419409
gross,2018,12,2029,8,0.19610356576640658,0,False,,,3.1652935491392897,3165293.5491392897
gross,2018,13,2030,8,0.2353242789196879,0,False,,,0.9332177115798932,933217.7115798933
gross,2018,14,2031,8,0.2745449920729693,0,False,,,0.11653767839029759,116537.67839029759
gross,2019,7,2025,9,0.03922071315328133,0,False,,,9.05768850239433,9057688.50239433
gross,2019,8,2026,9,0.0784414263065627,0,False,,,7.349836530066392,7349836.530066392
gross,2019,9,2027,9,0.11766213945984397,0,False,,,7.816744288584313,7816744.288584312
gross,2019,10,2028,9,0.15688285261312518,0,False,,,11.445122941587883,11445122.941587882
gross,2019,11,2029,9,0.19610356576640658,0,False,,,5.106264895409417,5106264.895409417
gross,2019,12,2030,9,0.2353242789196879,0,False,,,3.20048389779955,3200483.89779955
gross,2019,13,2031,9,0.2745449920729693,0,False,,,0.9435928177545975,943592.8177545975
gross,2019,14,2032,9,0.3137657052262504,0,False,,,0.11783329330592755,117833.29330592755
gross,2020,6,2025,10,0.03922071315328133,0,False,,,11.53524170232536,11535241.702325359
gross,2020,7,2026,10,0.0784414263065627,0,False,,,9.158387919843925,9158387.919843925
gross,2020,8,2027,10,0.11766213945984397,0,False,,,7.431548796582497,7431548.796582497
gross,2020,9,2028,10,0.15688285261312518,0,False,,,7.903647431257511,7903647.431257511
gross,2020,10,2029,10,0.19610356576640658,0,False,,,11.57236481047665,11572364.81047665
gross,2020,11,2030,10,0.2353242789196879,0,False,,,5.163034114197978,5163034.114197978
gross,2020,12,2031,10,0.2745449920729693,0,False,,,3.2360654773581787,3236065.4773581787
gross,2020,13,2032,10,0.3137657052262504,0,False,,,0.9540832698199786,954083.2698199786
gross,2020,14,2033,10,0.3529864183795318,0,False,,,0.11914331230127471,119143.31230127471
gross,2021,5,2025,11,0.03922071315328133,0,False,,,14.780278664555967,14780278.664555967
gross,2021,6,2026,11,0.0784414263065627,0,False,,,11.663485472163252,11663485.472163253
gross,2021,7,2027,11,0.11766213945984397,0,False,,,9.260206869354274,9260206.869354274
gross,2021,8,2028,11,0.15688285261312518,0,False,,,7.514169504323367,7514169.504323367
gross,2021,9,2029,11,0.19610356576640658,0,False,,,7.991516725045239,7991516.725045239
gross,2021,10,2030,11,0.2353242789196879,0,False,,,11.701021298787232,11701021.298787232
gross,2021,11,2031,11,0.2745449920729693,0,False,,,5.2204344683208515,5220434.468320851
gross,2021,12,2032,11,0.3137657052262504,0,False,,,3.2720426373491205,3272042.6373491203
gross,2021,13,2033,11,0.3529864183795318,0,False,,,0.9646903501411753,964690.3501411753
gross,2021,14,2034,11,0.3922071315328133,0,False,,,0.12046789551459466,120467.89551459467
gross,2022,4,2025,12,0.03922071315328133,0,False,,,18.100266694221364,18100266.694221366
gross,2022,5,2026,12,0.0784414263065627,0,False,,,14.944599335428007,14944599.335428007
gross,2022,6,2027,12,0.11766213945984397,0,False,,,11.79315500011934,11793155.00011934
gross,2022,7,2028,12,0.15688285261312518,0,False,,,9.363157797392951,9363157.797392951
gross,2022,8,2029,12,0.19610356576640658,0,False,,,7.597708752941027,7597708.752941026
gross,2022,9,2030,12,0.2353242789196879,0,False,,,8.080362911192845,8080362.911192845
gross,2022,10,2031,12,0.2745449920729693,0,False,,,11.831108133639376,11831108.133639375
gross,2022,11,2032,12,0.3137657052262504,0,False,,,5.278472974464531,5278472.974464531
gross,2022,12,2033,12,0.3529864183795318,0,False,,,3.30841977566252,3308419.7756625204
gross,2022,13,2034,12,0.3922071315328133,0,False,,,0.9754153553401034,975415.3553401034
gross,2022,14,2035,12,0.43142784468609463,0,False,,,0.12180720486449023,121807.20486449024
gross,2023,3,2025,13,0.03922071315328133,0,False,,,18.344194113010094,18344194.113010094
gross,2023,4,2026,13,0.0784414263065627,0,False,,,18.301497539299397,18301497.5392994
gross,2023,5,2027,13,0.11766213945984397,0,False,,,15.110746851617984,15110746.851617984
gross,2023,6,2028,13,0.15688285261312518,0,False,,,11.924266137148496,11924266.137148496
gross,2023,7,2029,13,0.19610356576640658,0,False,,,9.46725328880192,9467253.28880192
gross,2023,8,2030,13,0.2353242789196879,0,False,,,7.682176754371043,7682176.754371043
gross,2023,9,2031,13,0.2745449920729693,0,False,,,8.17019685036213,8170196.8503621295
gross,2023,10,2032,13,0.3137657052262504,0,False,,,11.962641217000087,11962641.217000088
gross,2023,11,2033,13,0.3529864183795318,0,False,,,5.337156727323939,5337156.727323939
gross,2023,12,2034,13,0.3922071315328133,0,False,,,3.345201339082353,3345201.3390823533
gross,2023,13,2035,13,0.43142784468609463,0,False,,,0.9862595964539569,986259.5964539569
gross,2023,14,2036,13,0.47064855783937587,0,False,,,0.12316140406970426,123161.40406970427
gross,2024,2,2025,14,0.03922071315328133,0,False,,,13.178905275342814,13178905.275342815
gross,2024,3,2026,14,0.0784414263065627,0,False,,,18.54813683639632,18548136.83639632
gross,2024,4,2027,14,0.11766213945984397,0,False,,,18.504965580861615,18504965.580861617
gross,2024,5,2028,14,0.15688285261312518,0,False,,,15.278741523192753,15278741.523192754
gross,2024,6,2029,14,0.19610356576640658,0,False,,,12.056834910429602,12056834.910429602
gross,2024,7,2030,14,0.2353242789196879,0,False,,,9.572506068335919,9572506.068335919
gross,2024,8,2031,14,0.2745449920729693,0,False,,,7.767583834080779,7767583.834080779
gross,2024,9,2032,14,0.3137657052262504,0,False,,,8.261029523958994,8261029.523958994
gross,2024,10,2033,14,0.3529864183795318,0,False,,,12.095636627627421,12095636.627627421
