simulation_id,claim_id,accident_year,report_year,payment_sequence,development_year,payment_calendar_year,real_payment,inflation_scenario,inflation_rate,inflation_index,nominal_gross_payment
1,S0001_C000001,2010,2013,1,4,2013,43269.44775768688,stable,0.04,1.124864,48672.2440825027
1,S0001_C000001,2010,2013,2,5,2014,216347.23878843442,stable,0.04,1.1698585600000002,253095.66922901408
1,S0001_C000001,2010,2013,3,6,2015,205529.87684901268,stable,0.04,1.2166529024000003,250058.52119826592
1,S0001_C000001,2010,2013,4,7,2016,151443.0671519041,stable,0.04,1.2653190184960004,191623.79308667118
1,S0001_C000001,2010,2013,5,8,2017,97356.25745479547,stable,0.04,1.3159317792358405,128114.19309223157
1,S0001_C000001,2010,2013,6,9,2018,75721.53357595205,stable,0.04,1.368569050405274,103630.14730127178
1,S0001_C000001,2010,2013,7,10,2019,64904.171636530315,stable,0.04,1.4233118124214852,92378.87416570511
1,S0001_C000001,2010,2013,8,11,2020,54086.809697108605,stable,0.04,1.4802442849183446,80061.69094361112
1,S0001_C000001,2010,2013,9,12,2021,64904.171636530315,stable,0.04,1.5394540563150785,99916.99029762666
1,S0001_C000001,2010,2013,10,13,2022,108173.61939421715,stable,0.04,1.6010322185676817,173189.4498492195
1,S0001_C000002,2010,2011,1,2,2011,62582.59805864391,stable,0.04,1.04,65085.90198098967
1,S0001_C000002,2010,2011,2,3,2012,312912.99029321957,stable,0.04,1.0816000000000001,338446.6903011463
1,S0001_C000002,2010,2011,3,4,2013,297267.3407785586,stable,0.04,1.124864,334385.3300175325
1,S0001_C000002,2010,2011,4,5,2014,219039.0932052537,stable,0.04,1.1698585600000002,256244.75816080393
1,S0001_C000002,2010,2011,5,6,2015,140810.8456319488,stable,0.04,1.2166529024000003,171317.9240275089
1,S0001_C000002,2010,2011,6,7,2016,109519.54660262686,stable,0.04,1.2653190184960004,138577.16521336278
1,S0001_C000002,2010,2011,7,8,2017,93873.89708796586,stable,0.04,1.3159317792358405,123531.6444187691
1,S0001_C000002,2010,2011,8,9,2018,78228.24757330489,stable,0.04,1.368569050405274,107060.75849626657
1,S0001_C000002,2010,2011,9,10,2019,93873.89708796586,stable,0.04,1.4233118124214852,133611.82660334065
1,S0001_C000002,2010,2011,10,11,2020,156456.4951466096,stable,0.04,1.4802442849183446,231593.8327791236
1,S0001_C000003,2010,2010,1,1,2010,127350.24050569764,stable,0.04,1.0,127350.24050569764
1,S0001_C000003,2010,2010,2,2,2011,636751.2025284882,stable,0.04,1.04,662221.2506296278
1,S0001_C000003,2010,2010,3,3,2012,604913.6424020638,stable,0.04,1.0816000000000001,654274.5956220723
1,S0001_C000003,2010,2010,4,4,2013,445725.84176994173,stable,0.04,1.124864,501380.9532767038
1,S0001_C000003,2010,2010,5,5,2014,286538.04113781964,stable,0.04,1.1698585600000002,335208.9801907105
1,S0001_C000003,2010,2010,6,6,2015,222862.92088497087,stable,0.04,1.2166529024000003,271146.81953204144
1,S0001_C000003,2010,2010,7,7,2016,191025.36075854645,stable,0.04,1.2653190184960004,241708.02198284838
