accident_year,latest_development_year,latest_cumulative_paid,estimated_ultimate,estimated_reserve
2010,14,116764224.24928588,116764224.24928588,0.0
2011,14,119594704.33449316,119594704.33449316,0.0
2012,13,146894715.01282138,147008713.31764022,113998.30481883883
2013,12,75255781.48590147,75825388.6974519,569607.2115504295
2014,11,86090955.44973047,89045736.61784491,2954781.1681144387
2015,10,115360318.534693,124889699.44103074,9529380.906337738
2016,9,77227522.97976807,93189357.91579513,15961834.936027065
2017,8,71538571.88893798,93898680.50705928,22360108.618121296
2018,7,99505933.3544225,142656178.09470385,43150244.74028136
2019,6,91606231.17645828,147615762.1475673,56009530.97110902
2020,5,76870655.69336316,146094435.89184415,69223780.198481
2021,4,41396867.93706964,101276946.87177937,59880078.93470973
2022,3,35621519.26790502,134913986.152675,99292466.88476999
2023,2,16000087.146831822,133435675.79186553,117435588.6450337
2024,1,2774030.020059677,155085622.7853868,152311592.76532713
