accident_year,latest_development_year,latest_cumulative_paid,estimated_ultimate,estimated_reserve,cumulative_development_factor
2010,14,116764224.24928588,116764224.24928588,0.0,1.0
2011,14,119594704.33449316,119594704.33449316,0.0,1.0
2012,13,146894715.01282138,147008713.31764022,113998.30481883883,1.0007760545014086
2013,12,75255781.48590147,75825388.6974519,569607.2115504295,1.0075689495252553
2014,11,86090955.44973047,89045736.61784491,2954781.1681144387,1.0343216212746038
2015,10,115360318.534693,124889699.44103074,9529380.906337738,1.0826053622890432
2016,9,77227522.97976807,93189357.91579513,15961834.936027065,1.2066858332386077
2017,8,71538571.88893798,93898680.50705928,22360108.618121296,1.3125601759682155
2018,7,99505933.3544225,142656178.09470385,43150244.74028136,1.433644942423562
2019,6,91606231.17645828,147615762.1475673,56009530.97110902,1.6114161695313016
2020,5,76870655.69336316,146094435.89184415,69223780.198481,1.9005228272621284
2021,4,41396867.93706964,101276946.87177937,59880078.93470973,2.446488150401565
2022,3,35621519.26790502,134913986.152675,99292466.88476999,3.787429310299869
2023,2,16000087.146831822,133435675.79186553,117435588.6450337,8.339684313424952
2024,1,2774030.020059677,155085622.7853868,152311592.76532713,55.90625251490628
