accident_year,latest_development_year,latest_cumulative_paid,estimated_ultimate,estimated_reserve
2010,14,116764224.24928589,116764224.24928589,0.0
2011,14,119594704.33449315,119594704.33449315,0.0
2012,13,146894715.0128214,147009997.18906596,115282.17624456166
2013,12,75255781.48590147,75828338.27651042,572556.7906089497
2014,11,86090955.44973047,89035353.81776102,2944398.368030553
2015,10,115360318.53469302,124855417.3848243,9495098.850131294
2016,9,77227522.97976807,93191078.75266752,15963555.77289945
2017,8,71538571.88893798,94078490.24104461,22539918.352106635
2018,7,99505933.35442251,142748952.99863693,43243019.64421443
2019,6,91606231.17645825,147782472.80958408,56176241.63312581
2020,5,76870655.69336316,146164001.3349694,69293345.64160624
2021,4,41396867.93706964,101298603.41590703,59901735.478837386
2022,3,35621519.26790501,134994767.83902338,99373248.57111837
2023,2,16000087.146831822,133392008.5405849,117391921.39375308
2024,1,2774030.020059677,154853867.41898713,152079837.39892745
