accident_year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2010,0.0,0.0,0.0,32854.76194378454,2324221.053631384,4791104.679783682,6676926.339728513,8843946.578530902,11728154.557197815,16191481.036851658,18125203.3308825,18860807.832598753,18993021.579214327,18993021.579214327
2011,0.0,0.0,634188.301001708,1687842.4799904758,3412059.1863937597,6583939.597777534,9065849.260517992,11265414.632497152,13816922.536704874,17666585.129620846,20720245.03722673,23015917.494150996,23015917.494150996,23015917.494150996
2012,0.0,547394.9299584907,2658281.412564094,5653177.922431293,11389940.542527499,16983600.119716894,21840839.676411077,25782243.299419716,29284351.77854368,34031222.74638313,36001456.41977353,37990115.31194122,38920652.288164645,
2013,0.0,1904977.8343564817,5640074.462830882,6944908.370843603,7969357.769965038,8931483.070543667,9872279.148544414,10687635.749478394,11865328.499986006,14105747.241398904,14764799.19150416,15095943.588862814,,
2014,0.0,0.0,453968.61612076126,1781736.3429038627,3188042.1495117545,4628649.963730904,5883472.635993209,7736341.170262889,10094706.65299378,13915378.91214665,16634555.48892572,,,
2015,0.0,0.0,0.0,222607.9625639259,1493563.818650633,4439571.566956862,8281550.0849438235,11651581.546079136,15858233.813341446,21650356.214058362,,,,
2016,0.0,0.0,0.0,1275889.126141863,4022643.0291939666,6380672.437938055,8450408.648107357,11009442.316156905,13683745.23612299,,,,,
2017,0.0,0.0,632901.6455235016,2082796.9397030305,3695973.36115672,6040721.738156482,9144414.497155894,12380581.512450546,,,,,,
2018,0.0,0.0,1357041.9942405003,5787048.922830928,8269051.097631393,10718747.97723902,13940423.734363792,,,,,,,
2019,0.0,3057574.1493014907,5000000.0,5682302.13717345,7485393.817069459,10733651.486755151,,,,,,,,
2020,0.0,0.0,0.0,1332418.9220902077,5146772.686231259,,,,,,,,,
2021,0.0,0.0,0.0,0.0,,,,,,,,,,
2022,0.0,0.0,455988.49095616397,,,,,,,,,,,
2023,0.0,0.0,,,,,,,,,,,,
2024,0.0,,,,,,,,,,,,,
