accident_year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2010,0.0,0.0,0.0,32854.76194378454,2291366.2916875994,2466883.6261522984,1885821.6599448305,2167020.2388023892,2884207.978666913,4463326.479653843,1933722.2940308428,735604.5017162533,132213.7466155719,0.0
2011,0.0,0.0,634188.301001708,1053654.1789887678,1724216.7064032839,3171880.411383774,2481909.662740458,2199565.3719791602,2551507.904207722,3849662.5929159718,3053659.9076058837,2295672.4569242653,0.0,0.0
2012,0.0,547394.9299584907,2110886.4826056035,2994896.5098671988,5736762.620096206,5593659.577189394,4857239.556694185,3941403.623008638,3502108.479123967,4746870.9678394515,1970233.6733903952,1988658.8921676981,930536.9762234273,
2013,0.0,1904977.8343564817,3735096.6284744,1304833.9080127217,1024449.3991214349,962125.3005786301,940796.0780007467,815356.6009339802,1177692.7505076113,2240418.7414128985,659051.9501052559,331144.39735865314,,
2014,0.0,0.0,453968.61612076126,1327767.7267831014,1406305.8066078918,1440607.8142191498,1254822.672262305,1852868.5342696805,2358365.4827308897,3820672.2591528697,2719176.576779069,,,
2015,0.0,0.0,0.0,222607.9625639259,1270955.8560867072,2946007.748306229,3841978.5179869616,3370031.461135312,4206652.26726231,5792122.400716917,,,,
2016,0.0,0.0,0.0,1275889.126141863,2746753.9030521037,2358029.408744088,2069736.2101693016,2559033.668049548,2674302.919966085,,,,,
2017,0.0,0.0,632901.6455235016,1449895.294179529,1613176.4214536897,2344748.3769997614,3103692.758999413,3236167.0152946515,,,,,,
2018,0.0,0.0,1357041.9942405003,4430006.928590428,2482002.174800465,2449696.8796076262,3221675.7571247723,,,,,,,
2019,0.0,3057574.1493014907,1942425.8506985093,682302.1371734492,1803091.6798960092,3248257.669685693,,,,,,,,
2020,0.0,0.0,0.0,1332418.9220902077,3814353.764141051,,,,,,,,,
2021,0.0,0.0,0.0,0.0,,,,,,,,,,
2022,0.0,0.0,455988.49095616397,,,,,,,,,,,
2023,0.0,0.0,,,,,,,,,,,,
2024,0.0,,,,,,,,,,,,,
