accident_year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2010,1951378.333066697,13184694.48496064,29595593.688936472,46867127.603032656,61022972.02074081,72099998.19301088,81005588.73707686,88506928.62850207,96204424.478992,107029979.10285546,112792129.61067589,115857524.70793985,116580939.07809249,116764224.24928588
2011,2164288.533476989,14641457.235636648,32829580.17428668,51324830.483690985,65483577.896160625,76105593.55733854,84685768.51744978,92078420.06699227,99880388.31765668,111259723.31270821,117068472.24422567,119594704.33449316,119594704.33449316,119594704.33449316
2012,2613021.5549823977,16882568.648668215,35008872.0504684,55220773.796997376,73048488.21208824,88080061.51249808,100152058.32848355,110054246.70421101,120121286.1147143,133914521.66967918,139759082.70433748,145035520.2893163,146894715.01282138,
2013,1937050.9617075513,12392330.691911608,24592192.562809996,35528185.860866755,43461146.51291049,49610127.18647059,54781595.59233672,59244398.07020365,64340823.459812395,72444009.08482485,74336064.94254892,75255781.48590147,,
2014,1538030.6256219137,10386232.713074902,23095637.252876654,35642154.00637725,45802771.376150236,54319274.51167461,61397000.25088626,67337880.45025222,73321998.01610897,81758613.04906519,86090955.44973047,,,
2015,1838805.1011114332,12521328.99702194,28552101.537006564,46170145.790008925,62894476.7724601,76280863.1515307,86863594.48360097,95441227.39990763,103963489.76967141,115360318.534693,,,,
2016,1377295.071558669,9770498.759557374,23634062.974460326,37606196.921981715,49211589.56761249,58041490.98270715,65164702.09898288,71171330.50570577,77227522.97976807,,,,,
2017,2062923.5416292138,13386763.063509675,27577403.38392506,41310652.87127801,51605250.147747226,59495735.05771616,65970296.55343522,71538571.88893798,,,,,,
2018,2602631.1358963903,17610715.298346117,39005722.73664422,58942296.24894357,75003107.42471015,88321714.96889147,99505933.3544225,,,,,,,
2019,2946526.3447319735,19318720.14216061,40609269.36016324,61351013.97046673,77820277.92590164,91606231.17645827,,,,,,,,
2020,2546045.3301521665,17260255.362399723,38694059.021902665,60013798.50661867,76870655.69336316,,,,,,,,,
2021,1684451.4987667275,11426203.93672629,25884295.52860014,41396867.93706964,,,,,,,,,,
2022,2148833.795368641,15011016.65575024,35621519.26790502,,,,,,,,,,,
2023,2392352.20350335,16000087.146831822,,,,,,,,,,,,
2024,2774030.020059677,,,,,,,,,,,,,
