accident_year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2010,1951378.333066697,11233316.151893944,16410899.20397583,17271533.914096184,14155844.417708155,11077026.172270078,8905590.544065984,7501339.891425206,7697495.850489926,10825554.623863464,5762150.507820432,3065395.0972639597,723414.370152634,183285.1711933879
2011,2164288.533476989,12477168.70215966,18188122.93865003,18495250.309404306,14158747.41246964,10622015.661177903,8580174.960111242,7392651.549542486,7801968.250664406,11379334.995051535,5808748.931517447,2526232.090267501,0.0,0.0
2012,2613021.5549823977,14269547.093685819,18126303.40180019,20211901.746528976,17827714.41509087,15031573.300409846,12071996.815985478,9902188.37572746,10067039.410503287,13793235.55496488,5844561.034658304,5276437.584978826,1859194.7235050844,
2013,1937050.9617075513,10455279.730204057,12199861.87089839,10935993.298056755,7932960.652043737,6148980.673560099,5171468.405866128,4462802.477866927,5096425.389608751,8103185.625012447,1892055.8577240722,919716.5433525664,,
2014,1538030.6256219137,8848202.08745299,12709404.539801752,12546516.753500594,10160617.36977299,8516503.135524381,7077725.73921165,5940880.199365958,5984117.565856751,8436615.032956207,4332342.400665288,,,
2015,1838805.1011114332,10682523.895910507,16030772.539984627,17618044.25300236,16724330.982451182,13386386.37907059,10582731.332070282,8577632.916306656,8522262.369763782,11396828.765021598,,,,
2016,1377295.071558669,8393203.687998705,13863564.21490295,13972133.947521389,11605392.645630775,8829901.415094657,7123211.116275726,6006628.406722898,6056192.474062295,,,,,
2017,2062923.5416292138,11323839.52188046,14190640.320415387,13733249.487352947,10294597.276469216,7890484.909968937,6474561.495719058,5568275.335502752,,,,,,
2018,2602631.1358963903,15008084.162449729,21395007.438298106,19936573.512299348,16060811.175766595,13318607.544181313,11184218.385531021,,,,,,,
2019,2946526.3447319735,16372193.797428636,21290549.218002636,20741744.610303488,16469263.95543491,13785953.250556625,,,,,,,,
2020,2546045.3301521665,14714210.032247558,21433803.65950294,21319739.484716006,16856857.18674448,,,,,,,,,
2021,1684451.4987667275,9741752.437959563,14458091.591873853,15512572.408469494,,,,,,,,,,
2022,2148833.795368641,12862182.860381598,20610502.612154778,,,,,,,,,,,
2023,2392352.20350335,13607734.943328472,,,,,,,,,,,,
2024,2774030.020059677,,,,,,,,,,,,,
