accident_year,observed_gross_paid,true_gross_reserve,gross_ultimate,observed_ceded_paid,true_ceded_reserve,ceded_ultimate
2010,116764224.24928588,0.0,116764224.24928588,18993021.579214327,0.0,18993021.579214327
2011,119594704.33449315,0.0,119594704.33449315,23015917.494150996,0.0,23015917.494150996
2012,146894715.0128214,696023.5129744173,147590738.52579585,38920652.28816465,696023.5129744173,39616675.80113907
2013,75255781.48590149,0.0,75255781.48590149,15095943.588862814,0.0,15095943.588862814
2014,86090955.44973047,3260621.726078758,89351577.17580923,16634555.488925718,2236052.540922395,18870608.029848114
2015,115360318.53469302,13236566.27756139,128596884.81225441,21650356.214058362,9392481.588839462,31042837.802897822
2016,77227522.97976807,16635770.541246055,93863293.52101412,13683745.236122988,9931457.401459154,23615202.637582142
2017,71538571.88893797,20386847.638429686,91925419.52736765,12380581.512450546,12917289.303665698,25297870.816116244
2018,99505933.3544225,43995264.189269416,143501197.5436919,13940423.734363792,19148398.4405053,33088822.174869094
2019,91606231.17645827,56664971.15417315,148271202.3306314,10733651.486755151,22649687.73716238,33383339.223917533
2020,76870655.69336314,65149522.33730769,142020178.03067085,5146772.686231259,32449899.79530868,37596672.481539935
2021,41396867.93706964,70964901.74134941,112361769.67841905,0.0,28870837.117542583,28870837.117542583
2022,35621519.26790502,114863996.70355746,150485515.9714625,455988.49095616397,43145124.73358006,43601113.224536225
2023,16000087.146831822,113676294.07242739,129676381.21925922,0.0,47375809.49157839,47375809.49157839
2024,2774030.020059677,141169812.70414376,143943842.72420344,0.0,52483733.42624565,52483733.42624565
