reference_id,full_citation,year,source_type,topic,research_question,data_used,methods,main_findings,limitations,how_used_in_dissertation,chapter,bibtex_key,read_status,notes
CIPD2024,"Creedon, C., Bargate, E., Lenney, S., Schofield, M., & Stock, R. (2024). Claims inflation estimation: A practical guide for historical data. Institute and Faculty of Actuaries. https://actuaries.org.uk/media/3i0fik1e/claims-inflation-estimation-a-practical-guide-for-historical-data.pdf",2024,IFoA working-party research paper,Claims inflation estimation and pseudo-data design,"How can historical claims inflation be estimated, and how do estimation approaches behave when inflation, frequency and development conditions change?","Controlled pseudo claim data generated under multiple inflation and frequency scenarios; Poisson claim counts, Pareto large-claim severities and a finite development pattern.",Pseudo-data simulation; individual-claim and aggregate inflation diagnostics; scenario-based comparison of claims-inflation estimation approaches.,"Observed claims data combine severity inflation, frequency change, development and mix effects. Controlled pseudo-data help distinguish genuine inflation from other structural features.","The scenarios are deliberately simplified and results depend on the assumed data-generating process, development maturity and data quality. The parameter choices are illustrative rather than calibrated to one portfolio.","Primary source for the pilot pseudo-data framework and for explaining why inflation, frequency and development effects must be separated.",Chapter 2 – Literature Review; Chapter 3 – Simulation Methodology,creedon2024claims,Targeted review complete,"Priority: High. Verified pp. 10–14 and 40–41. p. 11 specifies Poisson mean 50 and a fixed seed; p. 12 specifies Pareto observation point 1,000,000, alpha 2.5 and a ten-development-year pattern; pp. 13–14 define stable, emerging, shock and frequency-trend scenarios. Cite the paper as inspiration, while clearly identifying dissertation-specific changes."
RVI2025,"Creedon, C., Bargate, E., Lenney, S., Schofield, M., & Stock, R. (2025). Reserving for volatile inflation: A practitioner’s guide to setting best estimate reserves during periods of inflation volatility. Institute and Faculty of Actuaries. https://vle.actuaries.org.uk/pluginfile.php/168696/mod_resource/content/1/Reserving%20During%20Volatile%20Inflation%20v1.9.pdf",2025,IFoA practitioner research paper,Claims reserving during volatile inflation,How should best-estimate reserves be adjusted when future claims inflation differs materially from the inflation implicitly embedded in historical triangles?,"Pseudo-data generated across stable, emerging, shock, frequency-trend and inflation-estimation-error scenarios; reserve estimates are compared with known simulated outcomes.",Unadjusted Chain Ladder and Bornhuetter–Ferguson benchmarks; A Priori Uplift; Cashflow Uplift; Management Uplift; Inflation-Adjusted Chain Ladder; discussion of PPCI and PPCF.,No single adjustment dominates in every scenario. Unadjusted reserves can be deficient when inflation rises; Cashflow Uplift handles expected reversion more naturally; the paper’s IACL implementation can overstate temporary shocks; severity adjustments do not correct frequency trends.,"The study uses controlled pseudo-data and often assumes strong knowledge of historical and future inflation. Results may differ under real portfolio heterogeneity, parameter uncertainty and operational judgement.","Main source for the classical benchmark design and for the stable, emerging and shock inflation comparison.",Chapter 2 – Literature Review; Chapter 3 – Reserving Methods; Chapter 5 – Discussion,creedon2025volatile,Targeted review complete,"Priority: High. Verified pp. 10–13 for data and scenarios; pp. 15–18 for methods; pp. 20–26 for scenario results; pp. 38–39 for conclusions. Use the paper’s reported errors as literature evidence, not as expected dissertation results."
MACK1993,"Mack, T. (1993). Distribution-free calculation of the standard error of Chain Ladder reserve estimates. ASTIN Bulletin, 23(2), 213–225. https://doi.org/10.2143/AST.23.2.2005092",1993,Peer-reviewed actuarial journal article,Chain Ladder reserving and prediction uncertainty,How can the standard error of Chain Ladder reserve estimates be calculated without imposing a full parametric distribution on cumulative claims?,Run-off triangle framework with numerical illustrations.,Classical age-to-age Chain Ladder factors and a distribution-free derivation of reserve standard errors under Mack assumptions.,The paper derives practical formulas for process and parameter uncertainty and formalises the stochastic assumptions behind Chain Ladder.,"Requires stable proportional development and independence between accident years. Calendar-year effects can violate independence, and the prediction error does not capture model misspecification or an unprecedented future regime.","Foundational citation for the Chain Ladder benchmark, its assumptions and its vulnerability under inflation and structural change.",Chapter 2 – Classical Reserving; Chapter 3 – Benchmark Model,mack1993distributionfree,Targeted review complete,Priority: High. Article pp. 214–216 set out the conditional-mean and accident-year-independence assumptions. p. 215 explicitly notes calendar-year effects as a possible violation. p. 224 states that the standard error does not capture specification error or future development differing from the past.
IACL2025,"Creedon, C., Bargate, E., Lenney, S., Schofield, M., & Stock, R. (2025). Reserving for volatile inflation: A practitioner’s guide to setting best estimate reserves during periods of inflation volatility. Institute and Faculty of Actuaries. https://vle.actuaries.org.uk/pluginfile.php/168696/mod_resource/content/1/Reserving%20During%20Volatile%20Inflation%20v1.9.pdf",2025,Method entry from IFoA practitioner paper,Inflation-Adjusted Chain Ladder (IACL),Can a triangle be put onto a common price basis before Chain Ladder and then re-inflated using forecast calendar-year inflation?,Incremental paid-claims triangles from controlled volatile-inflation pseudo-data scenarios.,Transform to incremental data; adjust historical cells to a common price basis; rebuild cumulative data; apply Chain Ladder; derive future increments; apply future calendar-year inflation; sum future inflated cells.,IACL explicitly separates calendar-year inflation from development. It improves on an unadjusted approach in some rising-inflation cases but can over-reserve when a temporary spike is effectively extrapolated.,"Requires defensible historical and future inflation indices, correct cell-to-calendar-year mapping and stable development after adjustment. Results remain sensitive to the future inflation path.","Implemented as a core classical inflation-aware model and compared with unadjusted Chain Ladder, Cashflow Uplift and ML models.",Chapter 2 – Inflation-Aware Reserving; Chapter 3 – Model Specification,creedon2025volatile,Targeted review complete,"Priority: High. Method steps are on pp. 17–18. Scenario B results are on p. 22 and shock-inflation results on pp. 22–23. Document the precise base year, deflation convention and future re-inflation formula used in Python."
CASHFLOW2025,"Creedon, C., Bargate, E., Lenney, S., Schofield, M., & Stock, R. (2025). Reserving for volatile inflation: A practitioner’s guide to setting best estimate reserves during periods of inflation volatility. Institute and Faculty of Actuaries. https://vle.actuaries.org.uk/pluginfile.php/168696/mod_resource/content/1/Reserving%20During%20Volatile%20Inflation%20v1.9.pdf",2025,Method entry from IFoA practitioner paper,Cashflow Uplift reserving adjustment,Can projected reserve cashflows be adjusted for the compounded difference between inflation implicit in the baseline reserve and the expected future inflation path?,Baseline reserve cashflows and payment patterns applied to controlled pseudo-data scenarios.,"Produce a baseline reserve and future cashflow pattern; estimate implicit historical inflation; uplift or reduce each future cashflow for the difference between implicit and forecast inflation, compounded to its payment date.","The method is transparent, works with existing reserving outputs and can reflect an inflation path that rises and then reverts. In the paper’s shock scenario it was closer to the simulated truth than leaving reserves unadjusted or the paper’s IACL implementation.","Depends on the quality of the baseline reserve, payment pattern, implicit-inflation estimate and future forecast. It does not itself correct frequency change or settlement-pattern misspecification.",Implemented as a separate classical inflation adjustment because its response to temporary inflation differs materially from IACL.,Chapter 2 – Inflation-Aware Reserving; Chapter 3 – Model Specification,creedon2025volatile,Targeted review complete,Priority: High. Method is described on pp. 16–17. Scenario B and C comparisons are on pp. 22–23. Define what inflation is already implicit in the baseline reserve and apply the uplift by origin year and payment period.
XOL2017,"Albrecher, H., Beirlant, J., & Teugels, J. L. (2017). Reinsurance: Actuarial and statistical aspects. Wiley. https://doi.org/10.1002/9781119412540",2017,Actuarial reinsurance textbook,Excess-of-Loss reinsurance mechanics and modelling,"How should reinsurance forms, layer transformations, heavy-tailed losses and pricing quantities be modelled?","Theoretical loss distributions, actuarial examples and reinsurance applications rather than one empirical dataset.","Per-loss and aggregate reinsurance transformations; attachment points, limits, stop-loss functions, heavy-tail models and reinsurance pricing.",Excess-of-Loss reinsurance produces a nonlinear transformation of gross severities and concentrates sensitivity around attachment and exhaustion points.,Broad theoretical reference rather than an empirical study of reserve accuracy under volatile inflation or structural change.,"Foundational source for the per-claim ceded-loss formula, treaty terminology and the explanation of why inflation changes layer entry and exhaustion probabilities.",Chapter 2 – Reinsurance Literature; Chapter 3 – Treaty Mechanics,albrecher2017reinsurance,Metadata and abstract reviewed,Priority: Medium. Target Chapter 2 (reinsurance forms and properties) and Chapter 7 (pricing). Extract exact pages for the layer loss function after accessing the book through the university library.
INDEXCLAUSE2011,"Yeung, K. C. (2011). Index clause for aggregate deductibles and limits in non-proportional reinsurance. Casualty Actuarial Society E-Forum, Spring 2011. https://www.casact.org/sites/default/files/database/forum_11spforum_yeung.pdf",2011,CAS E-Forum professional research paper,Stability and indexation clauses in non-proportional reinsurance,"How should per-claim and aggregate deductibles and limits be indexed so inflation is shared consistently between cedant, reinsurer and retrocessionaire?",Mathematical examples and numerical illustrations of indexed non-proportional reinsurance payments.,Deflation of claim payments to a base date; calculation of indexed per-claim deductibles and limits; alternative methods for indexed annual aggregate deductibles and limits.,"Index or stability clauses preserve the intended economic sharing of an excess layer. Inconsistent indexing of deductibles, limits and aggregate features can materially alter recoveries.",Focuses on contract mechanics and aggregate features; actual wordings vary and the paper does not compare reserving algorithms.,"Supports the no-indexation, full-indexation and simplified trigger-based clause scenarios and the consistent adjustment of attachment and limit.",Chapter 2 – Reinsurance Indexation; Chapter 3 – Contract Scenarios,yeung2011index,Targeted review complete,Priority: High. p. 1 explains the purpose of a stability clause; pp. 2–4 provide the standard calculation and worked example; pp. 6–9 formalise indexed deductible and limit; pp. 25–32 discuss practical implementation and pricing. Clearly label any threshold-trigger clause in the dissertation as a simplified experimental design unless supported by a specific wording.
LASSO2021,"McGuire, G., Taylor, G., & Miller, H. (2021). Self-assembling insurance claim models using regularized regression and machine learning. Variance, 14(1). https://doi.org/10.66573/001c.28366",2021,Peer-reviewed actuarial journal article,Regularised regression for loss reserving,Can LASSO regularisation automate flexible reserving GLM construction while retaining interpretable actuarial structure?,"Synthetic triangular data and a real individual-claim dataset with accident, development, calendar and claim-level features.",Penalised GLMs with L1 regularisation; large libraries of basis functions and interactions; standardisation; cross-validation for penalty selection; bootstrap approaches to prediction error.,"Regularisation can select parsimonious accident-year, development-year, calendar-year and interaction effects from a large candidate library and can identify nonlinear or changing patterns.","Performance depends on the candidate feature library and validation design. Abrupt changes can be missed, extrapolation requires judgement and the method can be computationally intensive.","Primary source for the regularised model’s feature library, L1 penalty, cross-validation and interpretation.",Chapter 2 – Machine Learning in Reserving; Chapter 3 – Regularised Model,mcguire2021selfassembling,Targeted review complete,"Priority: High. Working-paper pp. 5–8 explain regularisation, LASSO, standardisation and k-fold cross-validation; pp. 13–26 cover feature libraries and applications; pp. 37–38 give conclusions and warn that the method is not an oracle for future inflation or settlement rates and may miss instantaneous changes."
NNODP2020,"Gabrielli, A., Richman, R., & Wüthrich, M. V. (2020). Neural network embedding of the over-dispersed Poisson reserving model. Scandinavian Actuarial Journal, 2020(1), 1–29. https://doi.org/10.1080/03461238.2019.1633394",2020,Peer-reviewed actuarial journal article,Neural-network embedding of an actuarial reserving model,Can a neural network retain a classical over-dispersed Poisson baseline while learning additional nonlinear reserving structure?,Run-off triangles and simulation examples used to compare the embedded neural network with the classical over-dispersed Poisson model.,Feed-forward neural network nested around the over-dispersed Poisson structure; accident and development effects; nonlinear extensions; bootstrap assessment of prediction uncertainty.,Embedding the actuarial model supplies a credible starting point while allowing additional structure to be learned and fitted efficiently.,"Greater complexity, architecture and optimisation sensitivity, reduced interpretability and potentially unstable extrapolation under unprecedented structural change.",Primary source for the compact neural-network benchmark and for using an actuarial baseline rather than an unconstrained black-box model.,Chapter 2 – Machine Learning in Reserving; Chapter 3 – Neural Network Model,gabrielli2020neural,Metadata and abstract reviewed,"Priority: High. Obtain the full paper through QMUL access before finalising architecture. Extract the exact ODP mean structure, network embedding, activation and bootstrap design. Keep the dissertation network deliberately small and reproducible."
DIAGVALID2011,"Meyers, G. G., & Shi, P. (2011). The retrospective testing of stochastic loss reserve models. Casualty Actuarial Society E-Forum, Summer 2011. https://www.casact.org/sites/default/files/database/forum_11sumforum_meyers-shi.pdf",2011,CAS E-Forum empirical research paper,Retrospective and diagonal validation of reserving models,How can predictive distributions from reserving models be tested against outcomes that became observable after the original valuation date?,NAIC Schedule P paid-loss triangles from 1997 together with subsequent observed development and posted reserves.,Fit models using an earlier valuation triangle; predict the lower triangle; compare predictive distributions and realised outcomes using calibration diagnostics.,Reserving models should be evaluated using genuine future observations. Retrospective tests can reveal bias and miscalibration that are hidden by in-sample fit.,Requires mature historical outcomes and can confound model weakness with environmental change. One historical backtest does not identify performance in every future regime.,Justifies rolling-origin or latest-diagonal validation for model and hyperparameter selection rather than random cell splitting.,Chapter 2 – Model Validation; Chapter 3 – Validation Design; Chapter 4 – Results,meyers2011retrospective,Targeted review complete,Priority: High. pp. 3–5 explain the NAIC training/outcome construction; pp. 20–33 develop predictive diagnostics and conclusions. Implement validation so that no later calendar-year cells enter training or tuning.
