analysis_type,experiment_step,experiment_name,source_file,scenario_id,simulation_id,seed,model,basis,success,applicable,fit_attempted,status,failure_type,failure_message,applicability_reason,estimated_reserve,true_reserve,reserve_error,percentage_error,absolute_percentage_error,runtime_seconds,tail_type,inflation_scenario,structural_break,history_window_years,history_start_ay,prior_multiplier,pattern_variant,treaty_variant,calibration_version,prior_version,selected_alpha,selected_power,selected_hyperparameter,validation_metric,observed_paid,true_ultimate,pipeline_reconciliation_passed,model_reconciliation_passed
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_stable_no_break,1,20260817,chain_ladder,gross,True,True,True,success,,,,126772896.04883964,137675538.21388325,-10902642.165043622,-7.91908446953447,7.91908446953447,0.042501214999902,short,stable,False,,,,,,,,,,,,1424198583.2769885,1561874121.490872,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_stable_no_break,1,20260817,chain_ladder,ceded,True,True,True,success,,,,63338674.97754087,55892585.70819511,7446089.26934576,13.322141344865344,13.322141344865344,0.0399503039998307,short,stable,False,,,,,,,,,,,,244792131.89672413,300684717.60491925,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_stable_no_break,1,20260817,inflation_adjusted_chain_ladder,gross,True,True,True,success,,,,126508214.16597822,137675538.21388325,-11167324.047905028,-8.111334949391113,8.111334949391113,0.0830861589993219,short,stable,False,,,,,,,,,,,,1424198583.2769885,1561874121.490872,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_stable_no_break,1,20260817,inflation_adjusted_chain_ladder,ceded,True,True,True,success,,,,65360432.320237145,55892585.70819511,9467846.612042032,16.93936054680296,16.93936054680296,0.0867654250005216,short,stable,False,,,,,,,,,,,,244792131.89672413,300684717.60491925,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_stable_no_break,1,20260817,cashflow_uplift,gross,True,True,True,success,,,,126772896.04883964,137675538.21388325,-10902642.165043622,-7.91908446953447,7.91908446953447,0.062677406000148,short,stable,False,,,,,,,,,,,,1424198583.2769885,1561874121.490872,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_stable_no_break,1,20260817,cashflow_uplift,ceded,True,True,True,success,,,,63338674.97754087,55892585.70819511,7446089.26934576,13.322141344865344,13.322141344865344,0.0616206479999164,short,stable,False,,,,,,,,,,,,244792131.89672413,300684717.60491925,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_stable_no_break,1,20260817,regularized_poisson,gross,True,True,True,success,,,,116609091.53771064,137675538.21388325,-21066446.67617261,-15.301517574926947,15.301517574926947,2.9343335060002573,short,stable,False,,,,,,,,0.001,,,,1424198583.2769885,1561874121.490872,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_stable_no_break,1,20260817,regularized_poisson,ceded,True,True,True,success,,,,63264224.9837437,55892585.70819511,7371639.275548585,13.18893943113413,13.18893943113413,2.1614695839998603,short,stable,False,,,,,,,,0.001,,,,244792131.89672413,300684717.60491925,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_emerging_no_break,1,20260817,chain_ladder,gross,True,True,True,success,,,,137490757.44864362,152925951.09167618,-15435193.64303255,-10.0932467856809,10.0932467856809,0.041357417000654,short,emerging,False,,,,,,,,,,,,1451586318.1868544,1604512269.2785308,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,short_emerging_no_break,1,20260817,chain_ladder,ceded,True,True,True,success,,,,75190380.22808051,70592445.43832305,4597934.78975746,6.513352471653214,6.513352471653214,0.0482585939998898,short,emerging,False,,,,,,,,,,,,257694822.27722293,328287267.71554595,True,True
