experiment_step,experiment_name,source_path,source_hash,row_count,key_columns,models,basis,sensitivity_dimensions,authoritative_for,purpose,data_level,notes
16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,bf1069b9d85516611851d36f09fa2b3dece7d1f887c0280f8afcef84f1e9fb42,3600,scenario_id;simulation_id;basis;model,cashflow_uplift;chain_ladder;inflation_adjusted_chain_ladder;regularized_poisson,ceded;gross,none,chain_ladder;inflation_adjusted_chain_ladder;cashflow_uplift;regularized_poisson,Canonical portfolio results for the four original estimators.,portfolio,Later Poisson reproductions are validation evidence only.
19,independent_expected_loss_prior,data/calibration/expected_loss_prior/final_2000/expected_loss_prior.csv,06c23adae7ab9d96e0fd657d3af173a0bf05f91bd00e55d911c08d8459023912,135,scenario_id;accident_year,,,none,independent_prior_hash,Frozen independent-prior provenance reference.,calibration_reference,
20,expected_loss_reserving,outputs/step20_expected_loss/final_50/expected_loss_results.csv,8a3dc2f2faa77e77e1736f66283ca9e65f13cd11ed25517ab5774613bbfeec19,900,scenario_id;simulation_id;basis;model,expected_loss,ceded;gross,none,expected_loss,Canonical Expected Loss portfolio results.,portfolio,
20,expected_loss_reserving,outputs/step20_expected_loss/final_50/expected_loss_by_accident_year.csv,44ebe5532cffee18e6d1ba1742fb1375321881f5181608a9d67ffffbd337e5f9,13500,scenario_id;simulation_id;basis;model;accident_year,expected_loss,ceded;gross,none,expected_loss_accident_year,Expected Loss accident-year detail.,accident_year,
21,paid_bornhuetter_ferguson,outputs/step21_paid_bf/final_50/bf_results.csv,87403bf42c58d291b0e18c1ae3e35dd568100444b5a0bae59f3f50dba8a130f6,1800,scenario_id;simulation_id;basis;model,bornhuetter_ferguson_break_aware;bornhuetter_ferguson_standard,ceded;gross,none,bornhuetter_ferguson_standard;bornhuetter_ferguson_break_aware,Canonical Standard and Break-Aware Paid BF portfolio results.,portfolio,
21,paid_bornhuetter_ferguson,outputs/step21_paid_bf/final_50/bf_by_accident_year.csv,65ef3bbeb20d8ac22a5af63c765927f3b0bfdc92dd0a062ab91e577ad3a7d30c,27000,scenario_id;simulation_id;basis;model;accident_year,bornhuetter_ferguson_break_aware;bornhuetter_ferguson_standard,ceded;gross,none,paid_bf_accident_year,Paid BF accident-year detail.,accident_year,
24,poisson_break_interaction,outputs/step24_poisson_break_interaction/final_50/results.csv,1a8840f7971360aef3333204fb1d9dd3b0a537b46fe4da4a45eb0118f5023b78,1800,scenario_id;simulation_id;basis;model,regularized_poisson;regularized_poisson_break_interaction,ceded;gross,none,regularized_poisson_break_interaction,Canonical interaction-model rows; reproduced Poisson rows excluded.,portfolio,
25,regularized_tweedie,outputs/step25_regularized_tweedie/final_50/results.csv,d3217e17ea6c8ac16293727a8db711b3d05653ebd0807fd4042d85aba968858b,1800,scenario_id;simulation_id;basis;model,regularized_poisson;regularized_tweedie,ceded;gross,none,regularized_tweedie,Canonical Tweedie rows; reproduced Poisson rows excluded.,portfolio,
26,history_window_sensitivity,outputs/step26_history_window_sensitivity/final_50/results.csv,97b426bb85eeec64f6bf893d2887765301ac1774349c97043eee39d2309251b1,21600,scenario_id;simulation_id;basis;model;history_window_years,cashflow_uplift;chain_ladder;inflation_adjusted_chain_ladder;regularized_poisson;regularized_poisson_break_interaction;regularized_tweedie,ceded;gross,history_window_years;history_start_ay,history_window_sensitivity,All frozen history-window sensitivity configurations.,portfolio,
27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/results.csv,30fbad670559b2118d94e0fc95b068068346c6671574eb307db07a4cb5e6da4d,13500,scenario_id;simulation_id;basis;model;prior_multiplier,bornhuetter_ferguson_break_aware;bornhuetter_ferguson_standard;expected_loss,ceded;gross,prior_multiplier,prior_misspecification_sensitivity,All frozen prior-multiplier portfolio results.,portfolio,
27,prior_misspecification_sensitivity,outputs/step27_prior_misspecification/final_50/by_accident_year.csv,12bb2e88b57a68f68198fe413aee2116fa9f9678f3c593cab8733d2b75351759,202500,scenario_id;simulation_id;basis;model;prior_multiplier;accident_year,bornhuetter_ferguson_break_aware;bornhuetter_ferguson_standard;expected_loss,ceded;gross,prior_multiplier,prior_sensitivity_accident_year,Prior-multiplier accident-year detail.,accident_year,
