analysis_type,comparison_id,experiment_step,source_file,analysis_family,scenario_id,basis,model_a,model_b,sensitivity_a,sensitivity_b,required_pairs,valid_pairs,excluded_pairs,mean_ape_a,mean_ape_b,mean_paired_difference,median_paired_difference,std_paired_difference,win_rate_a,win_rate_b,tie_rate,bootstrap_ci_lower,bootstrap_ci_upper,inference_direction,group_type,pool_label,comparison_label,scenario_label,model_a_label,model_b_label,interpretation
paired_comparison,step24_poisson_interaction_vs_poisson,24,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_stable_break,ceded,regularized_poisson_break_interaction,regularized_poisson,,,50,50,0,60.29453247705186,110.52366178415976,-50.22912930710791,-44.760290570059695,25.719164740872124,0.96,0.04,0.0,-57.48925468706075,-43.34510396233145,favors_A,scenario_basis,,Poisson + Interaction vs Poisson,Long / Stable + Break,Poisson + Break Interaction,Regularized Poisson,Favours A
paired_comparison,step24_poisson_interaction_vs_poisson,24,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_emerging_break,ceded,regularized_poisson_break_interaction,regularized_poisson,,,50,50,0,77.16297387350838,119.20571841102044,-42.042744537512064,-38.87263874496989,22.45333737658465,0.96,0.04,0.0,-48.07338883780973,-35.94204961901255,favors_A,scenario_basis,,Poisson + Interaction vs Poisson,Long / Emerging + Break,Poisson + Break Interaction,Regularized Poisson,Favours A
paired_comparison,step24_poisson_interaction_vs_poisson,24,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_shock_break,ceded,regularized_poisson_break_interaction,regularized_poisson,,,50,50,0,53.54479781212886,96.50452810391612,-42.95973029178724,-38.65461048525498,22.82579559383264,0.98,0.02,0.0,-49.354228685179706,-36.80318744634565,favors_A,scenario_basis,,Poisson + Interaction vs Poisson,Long / Shock + Break,Poisson + Break Interaction,Regularized Poisson,Favours A
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_stable_break,ceded,regularized_tweedie,regularized_poisson,,,50,50,0,103.72748887734356,110.52366174499306,-6.796172867649514,-2.5543754778105523,19.26094724018033,0.84,0.16,0.0,-12.228534407511065,-1.478627612837023,favors_A,scenario_basis,,Tweedie vs Poisson,Long / Stable + Break,Tweedie,Regularized Poisson,Favours A
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_emerging_break,ceded,regularized_tweedie,regularized_poisson,,,50,50,0,105.46914325269876,119.20571933714804,-13.736576084449258,-4.107774802099087,30.57254659925341,0.82,0.18,0.0,-22.36511344008824,-5.425787887514925,favors_A,scenario_basis,,Tweedie vs Poisson,Long / Emerging + Break,Tweedie,Regularized Poisson,Favours A
paired_comparison,step25_tweedie_vs_poisson,25,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_shock_break,ceded,regularized_tweedie,regularized_poisson,,,50,50,0,82.74562832941736,96.50452811951016,-13.758899790092803,-5.550509816705841,24.91238853735853,0.92,0.08,0.0,-20.503584811589267,-7.0381582355605525,favors_A,scenario_basis,,Tweedie vs Poisson,Long / Shock + Break,Tweedie,Regularized Poisson,Favours A
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_stable_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,45.65480024743361,29.796976089153787,15.857824158279827,15.88055199984685,1.3929256648625647,0.0,1.0,0.0,15.480913633481803,16.237570110569404,favors_B,scenario_basis,,Break-Aware BF vs Standard BF,Long / Stable + Break,Break-Aware BF,Standard BF,Favours B
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_emerging_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,45.14987093013515,30.132740820250845,15.017130109884295,15.01734665028241,1.216477670597231,0.0,1.0,0.0,14.68276537378012,15.352753528539637,favors_B,scenario_basis,,Break-Aware BF vs Standard BF,Long / Emerging + Break,Break-Aware BF,Standard BF,Favours B
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_shock_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,45.33903085717448,30.83882777799601,14.500203079178457,14.431298651447214,1.1098986740460923,0.0,1.0,0.0,14.20598604912803,14.807154287409038,favors_B,scenario_basis,,Break-Aware BF vs Standard BF,Long / Shock + Break,Break-Aware BF,Standard BF,Favours B
paired_comparison,step28_ceded_specific_bf_vs_standard_bf,28,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_stable_break,ceded,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,,,50,50,0,18.76653102378645,29.796976089153787,-11.03044506536733,-10.873122044635654,16.368264591770192,0.72,0.28,0.0,-15.459172462294468,-6.575482475490927,favors_A,scenario_basis,,Ceded-Specific BF vs Standard BF,Long / Stable + Break,Ceded-Specific BF,Standard BF,Favours A
