model,basis,prior_multiplier,attempted_fits,successful_fits,success_rate_pct,mean_percentage_error_pct,mean_absolute_percentage_error_pct,model_label
bornhuetter_ferguson_break_aware,ceded,0.8,450,450,100.0,-57.190244370260544,57.190244370260544,Break-Aware BF
bornhuetter_ferguson_break_aware,ceded,0.9,450,450,100.0,-51.83902491654312,51.83902491654312,Break-Aware BF
bornhuetter_ferguson_break_aware,ceded,1.0,450,450,100.0,-46.48780546282568,46.48780546282568,Break-Aware BF
bornhuetter_ferguson_break_aware,ceded,1.1,450,450,100.0,-41.13658600910826,41.13658600910826,Break-Aware BF
bornhuetter_ferguson_break_aware,ceded,1.2,450,450,100.0,-35.78536655539082,35.78536655539082,Break-Aware BF
bornhuetter_ferguson_standard,ceded,0.8,450,450,100.0,-53.15689705049676,53.15689705049676,Standard BF
bornhuetter_ferguson_standard,ceded,0.9,450,450,100.0,-47.30150918180886,47.30150918180886,Standard BF
bornhuetter_ferguson_standard,ceded,1.0,450,450,100.0,-41.44612131312095,41.44612131312095,Standard BF
bornhuetter_ferguson_standard,ceded,1.1,450,450,100.0,-35.59073344443305,35.59073344443305,Standard BF
bornhuetter_ferguson_standard,ceded,1.2,450,450,100.0,-29.735345575745146,29.74981834771911,Standard BF
expected_loss,ceded,0.8,450,450,100.0,-17.692479044364525,22.494668793046618,Expected Loss
expected_loss,ceded,0.9,450,450,100.0,1.779703374424475,17.4640917123178,Expected Loss
expected_loss,ceded,1.0,450,450,100.0,23.798000847371245,26.357778155240013,Expected Loss
expected_loss,ceded,1.1,450,450,100.0,47.966334345498915,47.96942633392402,Expected Loss
expected_loss,ceded,1.2,450,450,100.0,73.62104140353354,73.62104140353354,Expected Loss
bornhuetter_ferguson_break_aware,gross,0.8,450,450,100.0,-39.20755734989172,39.20755734989172,Break-Aware BF
bornhuetter_ferguson_break_aware,gross,0.9,450,450,100.0,-31.608502018628187,31.608502018628187,Break-Aware BF
bornhuetter_ferguson_break_aware,gross,1.0,450,450,100.0,-24.009446687364647,24.07122058913104,Break-Aware BF
bornhuetter_ferguson_break_aware,gross,1.1,450,450,100.0,-16.410391356101115,16.9328250426257,Break-Aware BF
bornhuetter_ferguson_break_aware,gross,1.2,450,450,100.0,-8.811336024837583,10.992304619679611,Break-Aware BF
bornhuetter_ferguson_standard,gross,0.8,450,450,100.0,-33.12098821844311,33.12098821844311,Standard BF
bornhuetter_ferguson_standard,gross,0.9,450,450,100.0,-24.761111745748494,24.820463113895578,Standard BF
bornhuetter_ferguson_standard,gross,1.0,450,450,100.0,-16.40123527305389,17.474882837146698,Standard BF
bornhuetter_ferguson_standard,gross,1.1,450,450,100.0,-8.041358800359275,13.01298014267298,Standard BF
bornhuetter_ferguson_standard,gross,1.2,450,450,100.0,0.31851767233532857,11.833215367771054,Standard BF
expected_loss,gross,0.8,450,450,100.0,-33.34471860976104,34.79147178117761,Expected Loss
expected_loss,gross,0.9,450,450,100.0,-3.9326429944037002,20.894451547541912,Expected Loss
expected_loss,gross,1.0,450,450,100.0,36.46901872122049,38.9479295284337,Expected Loss
expected_loss,gross,1.1,450,450,100.0,87.03148227193594,87.03148227193594,Expected Loss
expected_loss,gross,1.2,450,450,100.0,145.3611860082801,145.3611860082801,Expected Loss
