scenario_id,treaty_variant,simulations,mean_ceded_share,std_ceded_share,median_ceded_share,mean_ceded_true_reserve_gbp,std_ceded_true_reserve_gbp,median_ceded_true_reserve_gbp
long_emerging_break,fixed_nominal,50,0.2727976798618301,0.011840087614883813,0.2746051367414285,321700822.413092,26056291.626578927,319638525.65073216
long_emerging_break,fully_indexed,50,0.16276546221193824,0.01184184586977566,0.1633372458039828,160882021.499728,21460833.957712978,159285086.50153983
long_emerging_no_break,fixed_nominal,50,0.29338076837339455,0.011779312023667474,0.29437689170963727,426779732.9603609,32724343.302194647,427339248.4479781
long_emerging_no_break,fully_indexed,50,0.17375540896136926,0.011874665982689884,0.17398138972090943,219481183.93078953,25629908.27483394,219669681.17019427
long_shock_break,fixed_nominal,50,0.29831068288693685,0.011691138112732655,0.29939297734854325,397106645.8106831,30252197.17961535,396733017.9798975
long_shock_break,fully_indexed,50,0.17360328924345667,0.011859251492588596,0.174104945988556,196441361.67585364,24513090.25319353,194326355.63289344
long_shock_no_break,fixed_nominal,50,0.3213584225300674,0.011533374757945292,0.3222077895384649,522346667.8179705,37696512.093796164,523766169.5826478
long_shock_no_break,fully_indexed,50,0.1879656553438275,0.012009708326092812,0.1887740362965518,270543898.67141527,29705069.060642764,268629615.164711
long_stable_break,fixed_nominal,50,0.24425346605410472,0.01207881610947695,0.2468366583925306,246869908.55650833,21791399.401591837,244660801.18005964
long_stable_break,fully_indexed,50,0.15245831768965082,0.01192470961964632,0.15284874942800944,129132058.06676018,18490351.37496041,130165373.2094957
long_stable_no_break,fixed_nominal,50,0.25698657170765116,0.012012333196867868,0.2599167581771269,318778155.7347267,26522725.217410587,318793611.1601143
long_stable_no_break,fully_indexed,50,0.15842978986549983,0.011888505684504167,0.15912209006735825,168159095.6990801,21259915.09803497,168619291.59652796
short_emerging_no_break,fixed_nominal,50,0.21505934792217787,0.012136944479507208,0.2165187488042249,69655086.19813421,9224782.464709876,69231755.807259
short_emerging_no_break,fully_indexed,50,0.12698539586690377,0.01167086933467399,0.12743444200657839,28025609.753744796,7905965.0034478735,27636765.084055953
short_shock_no_break,fixed_nominal,50,0.2277657337012936,0.012036613437191972,0.2284632856263176,88647867.43818653,10743125.897527741,87202552.881926
short_shock_no_break,fully_indexed,50,0.1287486458348864,0.011701157217988489,0.12923406713625651,32502413.43662469,8903023.047109798,32176777.18812022
short_stable_no_break,fixed_nominal,50,0.20350725138168607,0.012235054564312372,0.20402040376212188,55201414.25787339,8257200.177572414,55235163.29225177
short_stable_no_break,fully_indexed,50,0.1256061674751862,0.011742402290078505,0.12580546381109775,24637806.24225885,7125663.301681269,24179636.274738472
