comparison_id,comparison_label,scenario_id,scenario_label,basis,model_a,model_a_label,model_b,model_b_label,valid_pairs,mean_paired_difference,bootstrap_ci_lower,bootstrap_ci_upper,win_rate_a,interpretation
step24_poisson_interaction_vs_poisson,Poisson + Interaction vs Poisson,long_stable_break,Long / Stable + Break,ceded,regularized_poisson_break_interaction,Poisson + Break Interaction,regularized_poisson,Regularized Poisson,50,-50.22912930710791,-57.48925468706075,-43.34510396233145,0.96,Favours A
step24_poisson_interaction_vs_poisson,Poisson + Interaction vs Poisson,long_emerging_break,Long / Emerging + Break,ceded,regularized_poisson_break_interaction,Poisson + Break Interaction,regularized_poisson,Regularized Poisson,50,-42.042744537512064,-48.07338883780973,-35.94204961901255,0.96,Favours A
step24_poisson_interaction_vs_poisson,Poisson + Interaction vs Poisson,long_shock_break,Long / Shock + Break,ceded,regularized_poisson_break_interaction,Poisson + Break Interaction,regularized_poisson,Regularized Poisson,50,-42.95973029178724,-49.354228685179706,-36.80318744634565,0.98,Favours A
step25_tweedie_vs_poisson,Tweedie vs Poisson,long_stable_break,Long / Stable + Break,ceded,regularized_tweedie,Tweedie,regularized_poisson,Regularized Poisson,50,-6.796172867649514,-12.228534407511065,-1.478627612837023,0.84,Favours A
step25_tweedie_vs_poisson,Tweedie vs Poisson,long_emerging_break,Long / Emerging + Break,ceded,regularized_tweedie,Tweedie,regularized_poisson,Regularized Poisson,50,-13.736576084449258,-22.36511344008824,-5.425787887514925,0.82,Favours A
step25_tweedie_vs_poisson,Tweedie vs Poisson,long_shock_break,Long / Shock + Break,ceded,regularized_tweedie,Tweedie,regularized_poisson,Regularized Poisson,50,-13.758899790092803,-20.503584811589267,-7.0381582355605525,0.92,Favours A
step21_break_aware_bf_vs_standard_bf,Break-Aware BF vs Standard BF,long_stable_break,Long / Stable + Break,ceded,bornhuetter_ferguson_break_aware,Break-Aware BF,bornhuetter_ferguson_standard,Standard BF,50,15.857824158279827,15.480913633481803,16.237570110569404,0.0,Favours B
step21_break_aware_bf_vs_standard_bf,Break-Aware BF vs Standard BF,long_emerging_break,Long / Emerging + Break,ceded,bornhuetter_ferguson_break_aware,Break-Aware BF,bornhuetter_ferguson_standard,Standard BF,50,15.017130109884295,14.68276537378012,15.352753528539637,0.0,Favours B
step21_break_aware_bf_vs_standard_bf,Break-Aware BF vs Standard BF,long_shock_break,Long / Shock + Break,ceded,bornhuetter_ferguson_break_aware,Break-Aware BF,bornhuetter_ferguson_standard,Standard BF,50,14.500203079178457,14.20598604912803,14.807154287409038,0.0,Favours B
step28_ceded_specific_bf_vs_standard_bf,Ceded-Specific BF vs Standard BF,long_stable_break,Long / Stable + Break,ceded,bornhuetter_ferguson_ceded_specific,Ceded-Specific BF,bornhuetter_ferguson_standard,Standard BF,50,-11.03044506536733,-15.459172462294468,-6.575482475490927,0.72,Favours A
step28_ceded_specific_bf_vs_standard_bf,Ceded-Specific BF vs Standard BF,long_emerging_break,Long / Emerging + Break,ceded,bornhuetter_ferguson_ceded_specific,Ceded-Specific BF,bornhuetter_ferguson_standard,Standard BF,50,-14.089469892768916,-18.10107775293105,-9.99188792525897,0.8,Favours A
step28_ceded_specific_bf_vs_standard_bf,Ceded-Specific BF vs Standard BF,long_shock_break,Long / Shock + Break,ceded,bornhuetter_ferguson_ceded_specific,Ceded-Specific BF,bornhuetter_ferguson_standard,Standard BF,50,-17.912457921662963,-21.48295995556629,-14.171550465138424,0.92,Favours A
step28_break_aware_ceded_specific_vs_break_aware_bf,BA Ceded-Specific BF vs Break-Aware BF,long_stable_break,Long / Stable + Break,ceded,bornhuetter_ferguson_break_aware_ceded_specific,BA Ceded-Specific BF,bornhuetter_ferguson_break_aware,Break-Aware BF,50,-37.93001089931951,-40.21793827502373,-35.485665250235,1.0,Favours A
step28_break_aware_ceded_specific_vs_break_aware_bf,BA Ceded-Specific BF vs Break-Aware BF,long_emerging_break,Long / Emerging + Break,ceded,bornhuetter_ferguson_break_aware_ceded_specific,BA Ceded-Specific BF,bornhuetter_ferguson_break_aware,Break-Aware BF,50,-38.4008848802455,-40.46022607794351,-36.1203213641503,1.0,Favours A
step28_break_aware_ceded_specific_vs_break_aware_bf,BA Ceded-Specific BF vs Break-Aware BF,long_shock_break,Long / Shock + Break,ceded,bornhuetter_ferguson_break_aware_ceded_specific,BA Ceded-Specific BF,bornhuetter_ferguson_break_aware,Break-Aware BF,50,-39.24270007564996,-40.81523972389791,-37.42571176192696,1.0,Favours A
