scenario_id,basis,metric,filename,models_plotted,number_of_models_plotted,conditional_accuracy_warning
long_emerging_break,ceded,percentage_error,long_emerging_break__ceded__percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,True
long_emerging_break,ceded,absolute_percentage_error,long_emerging_break__ceded__absolute_percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,True
long_emerging_break,gross,percentage_error,long_emerging_break__gross__percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
long_emerging_break,gross,absolute_percentage_error,long_emerging_break__gross__absolute_percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
long_emerging_no_break,ceded,percentage_error,long_emerging_no_break__ceded__percentage_error.png,regularized_poisson,1,False
long_emerging_no_break,ceded,absolute_percentage_error,long_emerging_no_break__ceded__absolute_percentage_error.png,regularized_poisson,1,False
long_emerging_no_break,gross,percentage_error,long_emerging_no_break__gross__percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
long_emerging_no_break,gross,absolute_percentage_error,long_emerging_no_break__gross__absolute_percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
long_shock_break,ceded,percentage_error,long_shock_break__ceded__percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,True
long_shock_break,ceded,absolute_percentage_error,long_shock_break__ceded__absolute_percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,True
long_shock_break,gross,percentage_error,long_shock_break__gross__percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
long_shock_break,gross,absolute_percentage_error,long_shock_break__gross__absolute_percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
long_shock_no_break,ceded,percentage_error,long_shock_no_break__ceded__percentage_error.png,regularized_poisson,1,False
long_shock_no_break,ceded,absolute_percentage_error,long_shock_no_break__ceded__absolute_percentage_error.png,regularized_poisson,1,False
long_shock_no_break,gross,percentage_error,long_shock_no_break__gross__percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
long_shock_no_break,gross,absolute_percentage_error,long_shock_no_break__gross__absolute_percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
long_stable_break,ceded,percentage_error,long_stable_break__ceded__percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,True
long_stable_break,ceded,absolute_percentage_error,long_stable_break__ceded__absolute_percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,True
long_stable_break,gross,percentage_error,long_stable_break__gross__percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
long_stable_break,gross,absolute_percentage_error,long_stable_break__gross__absolute_percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
long_stable_no_break,ceded,percentage_error,long_stable_no_break__ceded__percentage_error.png,regularized_poisson,1,False
long_stable_no_break,ceded,absolute_percentage_error,long_stable_no_break__ceded__absolute_percentage_error.png,regularized_poisson,1,False
long_stable_no_break,gross,percentage_error,long_stable_no_break__gross__percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
long_stable_no_break,gross,absolute_percentage_error,long_stable_no_break__gross__absolute_percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
short_emerging_no_break,ceded,percentage_error,short_emerging_no_break__ceded__percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
short_emerging_no_break,ceded,absolute_percentage_error,short_emerging_no_break__ceded__absolute_percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
short_emerging_no_break,gross,percentage_error,short_emerging_no_break__gross__percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
short_emerging_no_break,gross,absolute_percentage_error,short_emerging_no_break__gross__absolute_percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
short_shock_no_break,ceded,percentage_error,short_shock_no_break__ceded__percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
short_shock_no_break,ceded,absolute_percentage_error,short_shock_no_break__ceded__absolute_percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
short_shock_no_break,gross,percentage_error,short_shock_no_break__gross__percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
short_shock_no_break,gross,absolute_percentage_error,short_shock_no_break__gross__absolute_percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
short_stable_no_break,ceded,percentage_error,short_stable_no_break__ceded__percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
short_stable_no_break,ceded,absolute_percentage_error,short_stable_no_break__ceded__absolute_percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
short_stable_no_break,gross,percentage_error,short_stable_no_break__gross__percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
short_stable_no_break,gross,absolute_percentage_error,short_stable_no_break__gross__absolute_percentage_error.png,chain_ladder|inflation_adjusted_chain_ladder|cashflow_uplift|regularized_poisson,4,False
