scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,attempts,successful_fits,failed_fits,success_rate,accuracy_scope,conditional_accuracy_warning,mean_runtime_seconds,mean_signed_error,median_signed_error,mean_absolute_error,root_mean_squared_error,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,median_absolute_percentage_error,standard_deviation_percentage_error,standard_deviation_absolute_percentage_error,percentage_error_minimum,percentage_error_5th_percentile,percentage_error_25th_percentile,percentage_error_75th_percentile,percentage_error_95th_percentile,percentage_error_maximum,absolute_percentage_error_minimum,absolute_percentage_error_5th_percentile,absolute_percentage_error_25th_percentile,absolute_percentage_error_75th_percentile,absolute_percentage_error_95th_percentile,absolute_percentage_error_maximum,mcse_mean_signed_error,mcse_mean_percentage_error,mcse_mean_absolute_percentage_error
long_emerging_break,long,emerging,True,none,cashflow_uplift,ceded,50,7,43,0.14,conditional_on_successful_fits,True,0.0401405396200425,391480600.47549075,264016195.6229406,391480600.47549075,503020563.5686857,122.28490846831713,73.11537101924873,122.28490846831713,73.11537101924873,108.30087844433476,108.30087844433476,36.22997063050573,37.765827896023715,47.510813101385764,159.42942310706894,290.78505751044406,332.76854521155605,36.22997063050573,37.765827896023715,47.510813101385764,159.42942310706894,290.78505751044406,332.76854521155605,128952592.59659943,40.93388444764936,40.93388444764936
long_emerging_break,long,emerging,True,none,chain_ladder,ceded,50,7,43,0.14,conditional_on_successful_fits,True,0.02746105702010023,325080818.0466636,207372432.4181001,325080818.0466636,426486779.6165992,101.60162863957966,57.42872061177455,101.60162863957966,57.42872061177455,94.61887792634325,94.61887792634325,25.90362773685884,27.28084793952546,35.8846365161215,135.9734376386506,248.31753060314009,284.16290381887995,25.90362773685884,27.28084793952546,35.8846365161215,135.9734376386506,248.31753060314009,284.16290381887995,112704210.89874272,35.76257433215473,35.76257433215473
long_emerging_break,long,emerging,True,none,inflation_adjusted_chain_ladder,ceded,50,7,43,0.14,conditional_on_successful_fits,True,0.07175832770008123,392731978.3949774,257995240.81151775,392731978.3949774,517697909.44964856,122.81408642032662,71.44795685214201,122.81408642032662,71.44795685214201,115.79440038544759,115.79440038544759,31.856731763122458,34.05160997991073,47.989418364770636,151.3528784664995,303.6848041651907,357.70932266448165,31.856731763122458,34.05160997991073,47.989418364770636,151.3528784664995,303.6848041651907,357.70932266448165,137703012.91457132,43.766169519105155,43.766169519105155
long_emerging_break,long,emerging,True,none,regularized_poisson,ceded,50,50,0,1.0,all_attempts_successful,False,3.2281459402198562,383559868.4003471,356900379.75422657,383559868.4003471,444676481.8764637,119.20571841102044,105.27276075128208,119.20571841102044,105.27276075128208,71.90975201010019,71.90975201010019,0.433230241092704,26.27513505653711,66.03619350770337,150.57107869214025,260.8973756426195,323.8743736424871,0.433230241092704,26.27513505653711,66.03619350770337,150.57107869214025,260.8973756426195,323.8743736424871,32140952.60603225,10.169574655956962,10.169574655956962
long_emerging_no_break,long,emerging,False,none,cashflow_uplift,ceded,50,0,50,0.0,not_available_no_successful_fits,False,0.025027627899926266,,,,,,,,,,,,,,,,,,,,,,,,,
long_emerging_no_break,long,emerging,False,none,chain_ladder,ceded,50,0,50,0.0,not_available_no_successful_fits,False,0.016770805259984586,,,,,,,,,,,,,,,,,,,,,,,,,
long_emerging_no_break,long,emerging,False,none,inflation_adjusted_chain_ladder,ceded,50,0,50,0.0,not_available_no_successful_fits,False,0.057261335119928806,,,,,,,,,,,,,,,,,,,,,,,,,
long_emerging_no_break,long,emerging,False,none,regularized_poisson,ceded,50,50,0,1.0,all_attempts_successful,False,3.408603242760055,101358375.97613037,85883661.40571448,167583432.16788426,216058922.77176753,24.06843031557126,20.642502626339343,39.58659946256034,28.900016520542483,46.31329595543939,33.71872603110228,-50.0038851438616,-38.346924509787925,-12.686054488617971,49.372509837412146,89.14469229686695,164.81191338900396,1.9423886644173365,5.540685790205145,16.42277466180692,50.49778014988062,89.14469229686695,164.81191338900396,27258377.378743578,6.54968912583814,4.768547965912757
long_shock_break,long,shock,True,none,cashflow_uplift,ceded,50,8,42,0.16,conditional_on_successful_fits,True,0.03960511459996264,684144531.5703464,445956580.4282868,684144531.5703464,929985508.2914253,169.21384729403206,109.96834547820299,169.21384729403206,109.96834547820299,163.4045668545016,163.4045668545016,30.10360764830122,34.07214252501703,48.3756194072679,226.53358842018022,433.5046224814222,488.15090917435,30.10360764830122,34.07214252501703,48.3756194072679,226.53358842018022,433.5046224814222,488.15090917435,238093410.70694202,57.77223864983432,57.77223864983432
long_shock_break,long,shock,True,none,chain_ladder,ceded,50,8,42,0.16,conditional_on_successful_fits,True,0.031276724500039516,550923332.6442096,347904687.4518427,550923332.6442096,771312424.9470384,136.18689468830132,86.03593336459858,136.18689468830132,86.03593336459858,140.0690824100934,140.0690824100934,16.82074975340249,20.323076139130492,32.60016908411442,184.86120050494,362.6130250820229,411.2739084502326,16.82074975340249,20.323076139130492,32.60016908411442,184.86120050494,362.6130250820229,411.2739084502326,204033028.9879131,49.52189900337719,49.52189900337719
long_shock_break,long,shock,True,none,inflation_adjusted_chain_ladder,ceded,50,8,42,0.16,conditional_on_successful_fits,True,0.07802897784000376,634268995.3627536,409223769.233818,634268995.3627536,874206828.772525,156.94650368417922,101.05746725927278,156.94650368417922,101.05746725927278,156.26912483935308,156.26912483935308,23.493638450983745,27.834737079202846,46.48146309871757,201.50351923970527,411.9705699477822,459.1449200495352,23.493638450983745,27.834737079202846,46.48146309871757,201.50351923970527,411.9705699477822,459.1449200495352,227389037.61553612,55.249478931996855,55.249478931996855
long_shock_break,long,shock,True,none,regularized_poisson,ceded,50,50,0,1.0,all_attempts_successful,False,3.3723195067400047,382535938.2402603,371803091.96575963,383369265.7036664,438846484.70146626,96.27443155431949,88.48073268860767,96.50452810391613,88.48073268860767,55.37865473593646,54.96846701725609,-5.752413739915866,28.294073730668977,53.335644203338234,121.47961486006466,214.43029008916358,237.55013896869397,5.752413739915866,28.294073730668977,53.335644203338234,121.47961486006466,214.43029008916358,237.55013896869397,30723418.27332225,7.831724459353836,7.773715155866171
long_shock_no_break,long,shock,False,none,cashflow_uplift,ceded,50,0,50,0.0,not_available_no_successful_fits,False,0.027360594959936816,,,,,,,,,,,,,,,,,,,,,,,,,
long_shock_no_break,long,shock,False,none,chain_ladder,ceded,50,0,50,0.0,not_available_no_successful_fits,False,0.018336109680003532,,,,,,,,,,,,,,,,,,,,,,,,,
long_shock_no_break,long,shock,False,none,inflation_adjusted_chain_ladder,ceded,50,0,50,0.0,not_available_no_successful_fits,False,0.060347131780054,,,,,,,,,,,,,,,,,,,,,,,,,
long_shock_no_break,long,shock,False,none,regularized_poisson,ceded,50,50,0,1.0,all_attempts_successful,False,3.011479710859967,46349996.7464823,33155914.11595452,142320662.8694907,183791908.70804945,8.976174913683344,6.407160869130728,27.397423448741836,24.30628771939602,35.029025076977774,23.309034123564757,-54.80734152877543,-40.52920738711974,-18.798625263185677,32.208083643564244,66.86493209885109,107.9781419241866,0.6686510644665616,1.2654684983737998,7.722680087207493,38.80942579279681,66.86493209885109,107.9781419241866,25407352.104905263,4.953852234056922,3.296395218336255
