simulation_id,scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,success_or_failure,estimated_reserve,true_reserve,signed_error,absolute_error,percentage_error,absolute_percentage_error,runtime_seconds,pricing_assumption_version
1,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,305729466.5237079,-82404133.26779628,82404133.26779628,-26.953284616223346,26.953284616223346,0.013409500999841839,pricing_mc_v1
1,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,305729466.5237079,-130405237.44320321,130405237.44320321,-42.653800736309094,42.653800736309094,0.006674652000583592,pricing_mc_v1
1,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,690279196.5937967,-48434033.65096104,48434033.65096104,-7.016586026344155,7.016586026344155,0.007247555999128963,pricing_mc_v1
1,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,690279196.5937967,-200956316.65635073,200956316.65635073,-29.11232406365072,29.11232406365072,0.005087196999738808,pricing_mc_v1
2,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,332662627.84441507,-109337294.58850342,109337294.58850342,-32.86732125486606,32.86732125486606,0.005169285999727435,pricing_mc_v1
2,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,332662627.84441507,-157338398.76391035,157338398.76391035,-47.29668607003756,47.29668607003756,0.0049250970005232375,pricing_mc_v1
2,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,668155030.1461858,-26309867.203350067,26309867.203350067,-3.937689011724379,3.937689011724379,0.005127757000082056,pricing_mc_v1
2,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,668155030.1461858,-178832150.20873976,178832150.20873976,-26.765068306020694,26.765068306020694,0.005206408000958618,pricing_mc_v1
3,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,320146536.2610667,-96821203.00515503,96821203.00515503,-30.242776990784375,30.242776990784375,0.004929496000841027,pricing_mc_v1
3,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,320146536.2610667,-144822307.18056196,144822307.18056196,-45.23625614442543,45.23625614442543,0.005047970000305213,pricing_mc_v1
3,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,612750479.1523004,29094683.79053533,29094683.79053533,4.74821069594036,4.74821069594036,0.004946914999891305,pricing_mc_v1
3,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,612750479.1523004,-123427599.21485436,123427599.21485436,-20.143207294690043,20.143207294690043,0.005142927999258973,pricing_mc_v1
4,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,291028961.26191354,-67703628.00600189,67703628.00600189,-23.26353628602328,23.26353628602328,0.005009643000448705,pricing_mc_v1
4,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,291028961.26191354,-115704732.18140882,115704732.18140882,-39.75711959377113,39.75711959377113,0.004967011000189814,pricing_mc_v1
4,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,638032626.5490856,3812536.3937500715,3812536.3937500715,0.597545679500884,0.597545679500884,0.005151089000719367,pricing_mc_v1
4,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,638032626.5490856,-148709746.61163962,148709746.61163962,-23.307545793694448,23.307545793694448,0.005218234000494704,pricing_mc_v1
5,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,289187037.304331,-65861704.04841936,65861704.04841936,-22.7747774113086,22.7747774113086,0.005227738000030513,pricing_mc_v1
5,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,289187037.304331,-113862808.22382629,113862808.22382629,-39.37341358215887,39.37341358215887,0.005522325000129058,pricing_mc_v1
5,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,605818407.3254896,36026755.61734605,36026755.61734605,5.946791180610307,5.946791180610307,0.007371083000180079,pricing_mc_v1
5,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,605818407.3254896,-116495527.38804364,116495527.38804364,-19.229446642656036,19.229446642656036,0.006999966000876157,pricing_mc_v1
6,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,289354248.35185045,-66028915.0959388,66028915.0959388,-22.819404059915037,22.819404059915037,0.005970905000140192,pricing_mc_v1
6,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,289354248.35185045,-114030019.27134573,114030019.27134573,-39.408448267428554,39.408448267428554,0.0065569420003157575,pricing_mc_v1
6,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,630638873.3665171,11206289.576318622,11206289.576318622,1.7769741209412742,1.7769741209412742,0.005763556000601966,pricing_mc_v1
6,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,630638873.3665171,-141315993.42907107,141315993.42907107,-22.408386066448603,22.408386066448603,0.0054654369996569585,pricing_mc_v1
7,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,299182332.8180118,-75856999.56210017,75856999.56210017,-25.35477240504133,25.35477240504133,0.005014804999518674,pricing_mc_v1
7,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,299182332.8180118,-123858103.7375071,123858103.7375071,-41.39886956922959,41.39886956922959,0.005171794000489172,pricing_mc_v1
7,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,617962544.134271,23882618.808564663,23882618.808564663,3.8647356599942153,3.8647356599942153,0.005124663999595214,pricing_mc_v1
7,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,617962544.134271,-128639664.19682503,128639664.19682503,-20.816741308656756,20.816741308656756,0.005135003999384935,pricing_mc_v1
8,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,346654795.58985996,-123329462.33394831,123329462.33394831,-35.57702472400351,35.57702472400351,0.005041112000981229,pricing_mc_v1
8,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,346654795.58985996,-171330566.50935525,171330566.50935525,-49.42397125007979,49.42397125007979,0.008057818999077426,pricing_mc_v1
8,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,gross,success,641845162.9428357,715750060.6047767,-73904897.66194105,73904897.66194105,-10.325517485740026,10.325517485740026,0.005217031999563915,pricing_mc_v1
8,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,gross,success,489322879.937446,715750060.6047767,-226427180.66733074,226427180.66733074,-31.63495095983784,31.63495095983784,0.006722145999447093,pricing_mc_v1
9,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_standard,ceded,success,223325333.25591165,331981768.2247377,-108656434.96882606,108656434.96882606,-32.72963920575007,32.72963920575007,0.007011932000750676,pricing_mc_v1
9,long_emerging_break,long,emerging,True,none,bornhuetter_ferguson_break_aware,ceded,success,175324229.08050472,331981768.2247377,-156657539.144233,156657539.144233,-47.1885971274731,47.1885971274731,0.007080053999743541,pricing_mc_v1
