scenario_id,simulation_id,accident_year,basis,expected_loss_prior_ultimate,standard_paid_proportion,standard_bf_reserve,break_aware_paid_proportion,break_aware_bf_reserve,paid_proportion_difference,reserve_difference_old_minus_break_aware
long_emerging_break,1,2018,ceded,33929946.72592019,0.79,7125288.81244324,0.9400000000000001,2035796.8035552097,0.15000000000000002,5089492.00888803
long_emerging_break,1,2019,ceded,38303564.838027865,0.73,10341962.506267523,0.9,3830356.4838027856,0.17000000000000004,6511606.022464737
long_emerging_break,1,2020,ceded,45049014.55003905,0.66,15316664.947013276,0.8400000000000001,7207842.328006245,0.18000000000000005,8108822.6190070305
long_emerging_break,1,2021,ceded,51798227.99057071,0.5700000000000001,22273238.0359454,0.74,13467539.277548384,0.16999999999999993,8805698.758397017
long_emerging_break,1,2022,ceded,59664288.81778403,0.43,34008644.62613691,0.5800000000000001,25059001.30346929,0.15000000000000008,8949643.322667617
long_emerging_break,1,2023,ceded,67773851.01413323,0.24000000000000002,51508126.770741254,0.35000000000000003,44053003.159186594,0.11000000000000001,7455123.61155466
long_emerging_break,1,2024,ceded,77017945.81069589,0.04,73937227.97826804,0.08,70856510.14584021,0.04,3080717.8324278295
long_emerging_break,1,2018,gross,135391161.03154677,0.79,28432143.816624817,0.9400000000000001,8123469.661892799,0.15000000000000002,20308674.15473202
long_emerging_break,1,2019,gross,141881839.1723612,0.73,38308096.57653753,0.9,14188183.917236116,0.17000000000000004,24119912.65930141
long_emerging_break,1,2020,gross,152600620.72916073,0.66,51884211.04791464,0.8400000000000001,24416099.316665705,0.18000000000000005,27468111.731248934
long_emerging_break,1,2021,gross,161226517.6154289,0.5700000000000001,69327402.57463442,0.74,41918894.58001152,0.16999999999999993,27408507.9946229
long_emerging_break,1,2022,gross,171429094.5651648,0.43,97714583.90214396,0.5800000000000001,72000219.7173692,0.15000000000000008,25714364.184774756
long_emerging_break,1,2023,gross,180348056.08627623,0.24000000000000002,137064522.62556994,0.35000000000000003,117226236.45607954,0.11000000000000001,19838286.169490397
long_emerging_break,1,2024,gross,191610652.7804813,0.04,183946226.66926205,0.08,176281800.55804282,0.04,7664426.111219227
long_emerging_break,2,2018,ceded,33929946.72592019,0.79,7125288.81244324,0.9400000000000001,2035796.8035552097,0.15000000000000002,5089492.00888803
long_emerging_break,2,2019,ceded,38303564.838027865,0.73,10341962.506267523,0.9,3830356.4838027856,0.17000000000000004,6511606.022464737
long_emerging_break,2,2020,ceded,45049014.55003905,0.66,15316664.947013276,0.8400000000000001,7207842.328006245,0.18000000000000005,8108822.6190070305
long_emerging_break,2,2021,ceded,51798227.99057071,0.5700000000000001,22273238.0359454,0.74,13467539.277548384,0.16999999999999993,8805698.758397017
long_emerging_break,2,2022,ceded,59664288.81778403,0.43,34008644.62613691,0.5800000000000001,25059001.30346929,0.15000000000000008,8949643.322667617
long_emerging_break,2,2023,ceded,67773851.01413323,0.24000000000000002,51508126.770741254,0.35000000000000003,44053003.159186594,0.11000000000000001,7455123.61155466
long_emerging_break,2,2024,ceded,77017945.81069589,0.04,73937227.97826804,0.08,70856510.14584021,0.04,3080717.8324278295
long_emerging_break,2,2018,gross,135391161.03154677,0.79,28432143.816624817,0.9400000000000001,8123469.661892799,0.15000000000000002,20308674.15473202
long_emerging_break,2,2019,gross,141881839.1723612,0.73,38308096.57653753,0.9,14188183.917236116,0.17000000000000004,24119912.65930141
long_emerging_break,2,2020,gross,152600620.72916073,0.66,51884211.04791464,0.8400000000000001,24416099.316665705,0.18000000000000005,27468111.731248934
long_emerging_break,2,2021,gross,161226517.6154289,0.5700000000000001,69327402.57463442,0.74,41918894.58001152,0.16999999999999993,27408507.9946229
long_emerging_break,2,2022,gross,171429094.5651648,0.43,97714583.90214396,0.5800000000000001,72000219.7173692,0.15000000000000008,25714364.184774756
long_emerging_break,2,2023,gross,180348056.08627623,0.24000000000000002,137064522.62556994,0.35000000000000003,117226236.45607954,0.11000000000000001,19838286.169490397
long_emerging_break,2,2024,gross,191610652.7804813,0.04,183946226.66926205,0.08,176281800.55804282,0.04,7664426.111219227
long_emerging_break,3,2018,ceded,33929946.72592019,0.79,7125288.81244324,0.9400000000000001,2035796.8035552097,0.15000000000000002,5089492.00888803
long_emerging_break,3,2019,ceded,38303564.838027865,0.73,10341962.506267523,0.9,3830356.4838027856,0.17000000000000004,6511606.022464737
long_emerging_break,3,2020,ceded,45049014.55003905,0.66,15316664.947013276,0.8400000000000001,7207842.328006245,0.18000000000000005,8108822.6190070305
long_emerging_break,3,2021,ceded,51798227.99057071,0.5700000000000001,22273238.0359454,0.74,13467539.277548384,0.16999999999999993,8805698.758397017
long_emerging_break,3,2022,ceded,59664288.81778403,0.43,34008644.62613691,0.5800000000000001,25059001.30346929,0.15000000000000008,8949643.322667617
long_emerging_break,3,2023,ceded,67773851.01413323,0.24000000000000002,51508126.770741254,0.35000000000000003,44053003.159186594,0.11000000000000001,7455123.61155466
long_emerging_break,3,2024,ceded,77017945.81069589,0.04,73937227.97826804,0.08,70856510.14584021,0.04,3080717.8324278295
long_emerging_break,3,2018,gross,135391161.03154677,0.79,28432143.816624817,0.9400000000000001,8123469.661892799,0.15000000000000002,20308674.15473202
long_emerging_break,3,2019,gross,141881839.1723612,0.73,38308096.57653753,0.9,14188183.917236116,0.17000000000000004,24119912.65930141
long_emerging_break,3,2020,gross,152600620.72916073,0.66,51884211.04791464,0.8400000000000001,24416099.316665705,0.18000000000000005,27468111.731248934
long_emerging_break,3,2021,gross,161226517.6154289,0.5700000000000001,69327402.57463442,0.74,41918894.58001152,0.16999999999999993,27408507.9946229
long_emerging_break,3,2022,gross,171429094.5651648,0.43,97714583.90214396,0.5800000000000001,72000219.7173692,0.15000000000000008,25714364.184774756
long_emerging_break,3,2023,gross,180348056.08627623,0.24000000000000002,137064522.62556994,0.35000000000000003,117226236.45607954,0.11000000000000001,19838286.169490397
long_emerging_break,3,2024,gross,191610652.7804813,0.04,183946226.66926205,0.08,176281800.55804282,0.04,7664426.111219227
long_emerging_break,4,2018,ceded,33929946.72592019,0.79,7125288.81244324,0.9400000000000001,2035796.8035552097,0.15000000000000002,5089492.00888803
long_emerging_break,4,2019,ceded,38303564.838027865,0.73,10341962.506267523,0.9,3830356.4838027856,0.17000000000000004,6511606.022464737
long_emerging_break,4,2020,ceded,45049014.55003905,0.66,15316664.947013276,0.8400000000000001,7207842.328006245,0.18000000000000005,8108822.6190070305
long_emerging_break,4,2021,ceded,51798227.99057071,0.5700000000000001,22273238.0359454,0.74,13467539.277548384,0.16999999999999993,8805698.758397017
long_emerging_break,4,2022,ceded,59664288.81778403,0.43,34008644.62613691,0.5800000000000001,25059001.30346929,0.15000000000000008,8949643.322667617
long_emerging_break,4,2023,ceded,67773851.01413323,0.24000000000000002,51508126.770741254,0.35000000000000003,44053003.159186594,0.11000000000000001,7455123.61155466
long_emerging_break,4,2024,ceded,77017945.81069589,0.04,73937227.97826804,0.08,70856510.14584021,0.04,3080717.8324278295
long_emerging_break,4,2018,gross,135391161.03154677,0.79,28432143.816624817,0.9400000000000001,8123469.661892799,0.15000000000000002,20308674.15473202
long_emerging_break,4,2019,gross,141881839.1723612,0.73,38308096.57653753,0.9,14188183.917236116,0.17000000000000004,24119912.65930141
long_emerging_break,4,2020,gross,152600620.72916073,0.66,51884211.04791464,0.8400000000000001,24416099.316665705,0.18000000000000005,27468111.731248934
