simulation_id,seed,scenario_id,frequency_scenario,tail_type,inflation_scenario,structural_break,clause_type,model,basis,observed_paid,true_reserve,true_ultimate,estimated_reserve,selected_alpha,runtime_seconds,success_or_failure,failure_category,failure_reason,pipeline_reconciliation_passed,model_reconciliation_passed,signed_error,absolute_error,percentage_error,absolute_percentage_error,normalised_error,pricing_assumption_version
1,20260817.0,long_stable_break,constant,long,stable,True,none,chain_ladder,gross,1168823294.6507585,602481291.9983402,1771304586.6490989,923660578.270541,,0.0575360469993029,success,,,True,True,321179286.2722007,321179286.2722007,53.30942064721995,53.30942064721995,0.5330942064721995,
1,20260817.0,long_stable_break,constant,long,stable,True,none,chain_ladder,ceded,174053013.37012684,231211775.9309288,405264789.30105567,,,0.0148878279997006,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,True,False,,,,,,
1,20260817.0,long_stable_break,constant,long,stable,True,none,regularized_poisson,gross,1168823294.6507585,602481291.9983402,1771304586.6490989,813981113.618146,0.001,2.7725285300002724,success,,,True,True,211499821.6198057,211499821.6198057,35.10479485898931,35.10479485898931,0.3510479485898931,
1,20260817.0,long_stable_break,constant,long,stable,True,none,regularized_poisson,ceded,174053013.37012684,231211775.9309288,405264789.30105567,588266143.9924498,0.1,2.363427158999912,success,,,True,True,357054368.06152093,357054368.06152093,154.42741470407884,154.42741470407884,1.5442741470407884,
2,20260818.0,long_stable_break,constant,long,stable,True,none,chain_ladder,gross,1309848529.116362,584977012.7306271,1894825541.846989,1020538600.1979264,,0.0588558890003696,success,,,True,True,435561587.46729946,435561587.46729946,74.45789800083459,74.45789800083459,0.7445789800083459,
2,20260818.0,long_stable_break,constant,long,stable,True,none,chain_ladder,ceded,203926973.7624354,256776491.6519569,460703465.4143924,,,0.01662332900014,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,True,False,,,,,,
2,20260818.0,long_stable_break,constant,long,stable,True,none,regularized_poisson,gross,1309848529.116362,584977012.7306271,1894825541.846989,965537659.0015088,0.0001,2.8755030640004406,success,,,True,True,380560646.27088165,380560646.27088165,65.05565825474991,65.05565825474991,0.6505565825474992,
2,20260818.0,long_stable_break,constant,long,stable,True,none,regularized_poisson,ceded,203926973.7624354,256776491.6519569,460703465.4143924,582077166.785614,0.1,2.834443556000224,success,,,True,True,325300675.1336571,325300675.1336571,126.6863150286281,126.6863150286281,1.266863150286281,
1,20260817.0,long_stable_break,,long,stable,True,none,expected_loss,gross,,602481291.9983402,,790326625.5704936,,0.008442552998531,success,,,,,187845333.57215333,187845333.57215333,31.178616841213188,31.178616841213188,,pricing_mc_v1
1,20260817.0,long_stable_break,,long,stable,True,none,expected_loss,ceded,,231211775.9309288,,308145179.0865918,,0.0084942550001869,success,,,,,76933403.15566298,76933403.15566298,33.27399863000306,33.27399863000306,,pricing_mc_v1
2,20260818.0,long_stable_break,,long,stable,True,none,expected_loss,gross,,584977012.7306271,,683854112.7495894,,0.0085950030006642,success,,,,,98877100.01896238,98877100.01896238,16.902732563355233,16.902732563355233,,pricing_mc_v1
2,20260818.0,long_stable_break,,long,stable,True,none,expected_loss,ceded,,256776491.6519569,,277882133.76149935,,0.0084480499990604,success,,,,,21105642.10954243,21105642.10954243,8.219460424028885,8.219460424028885,,pricing_mc_v1
1,,long_stable_break,,long,stable,True,none,bornhuetter_ferguson_standard,ceded,,231211775.9309288,,171999678.57054573,,0.00885792400003993,success,,,,,-59212097.36038306,59212097.36038306,-25.60946436312648,25.60946436312648,,pricing_mc_v1
1,,long_stable_break,,long,stable,True,none,bornhuetter_ferguson_break_aware,ceded,,231211775.9309288,,133147496.62584512,,0.005632764999973006,success,,,,,-98064279.30508368,98064279.30508368,-42.413185448815106,42.413185448815106,,pricing_mc_v1
1,,long_stable_break,,long,stable,True,none,bornhuetter_ferguson_standard,gross,,602481291.9983402,,577211426.0231543,,0.004946598000060476,success,,,,,-25269865.97518599,25269865.97518599,-4.194298862188671,4.194298862188671,,pricing_mc_v1
1,,long_stable_break,,long,stable,True,none,bornhuetter_ferguson_break_aware,gross,,602481291.9983402,,436730032.19517124,,0.004854282000451349,success,,,,,-165751259.803169,165751259.803169,-27.5114367872564,27.5114367872564,,pricing_mc_v1
2,,long_stable_break,,long,stable,True,none,bornhuetter_ferguson_standard,ceded,,256776491.65195686,,171999678.57054573,,0.005020149999836576,success,,,,,-84776813.08141112,84776813.08141112,-33.01580005864413,33.01580005864413,,pricing_mc_v1
2,,long_stable_break,,long,stable,True,none,bornhuetter_ferguson_break_aware,ceded,,256776491.65195686,,133147496.62584512,,0.004887019999841868,success,,,,,-123628995.02611174,123628995.02611174,-48.14653951798768,48.14653951798768,,pricing_mc_v1
2,,long_stable_break,,long,stable,True,none,bornhuetter_ferguson_standard,gross,,584977012.7306271,,577211426.0231543,,0.0048940619999484625,success,,,,,-7765586.707472801,7765586.707472801,-1.327502882758358,1.327502882758358,,pricing_mc_v1
2,,long_stable_break,,long,stable,True,none,bornhuetter_ferguson_break_aware,gross,,584977012.7306271,,436730032.19517124,,0.0048810019998200005,success,,,,,-148246980.53545582,148246980.53545582,-25.342360008891713,25.342360008891713,,pricing_mc_v1
