scenario_id,simulation_id,accident_year,basis,tail_type,structural_break,expected_loss_prior_ultimate,paid_to_date,pricing_assumption_version,inflation_scenario,clause_type,seed,development_year_at_valuation,benchmark_pattern,benchmark_paid_proportion,benchmark_unpaid_proportion,estimated_reserve,estimated_ultimate,model,pattern_source,true_reserve,signed_error
short_stable_no_break,1,2010,ceded,short,False,10831132.194445187,4552369.240453692,pricing_mc_v1,stable,none,20260817,15,short,1.0,0.0,0.0,4552369.240453692,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2011,ceded,short,False,11866615.197172416,5390595.674159509,pricing_mc_v1,stable,none,20260817,14,short,1.0,0.0,0.0,5390595.674159509,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2012,ceded,short,False,13082760.09056677,7898313.598189256,pricing_mc_v1,stable,none,20260817,13,short,1.0,0.0,0.0,7898313.598189256,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2013,ceded,short,False,14646584.852065822,3544537.474932744,pricing_mc_v1,stable,none,20260817,12,short,1.0,0.0,0.0,3544537.474932744,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2014,ceded,short,False,16099494.21746044,8724357.144014867,pricing_mc_v1,stable,none,20260817,11,short,1.0,0.0,0.0,8724357.144014867,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2015,ceded,short,False,17606606.810888685,17433023.41357442,pricing_mc_v1,stable,none,20260817,10,short,1.0,0.0,0.0,17433023.41357442,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2016,ceded,short,False,19197216.97180749,22735958.696077324,pricing_mc_v1,stable,none,20260817,9,short,1.0,0.0,0.0,22735958.696077324,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2017,ceded,short,False,21605728.60554214,10970936.966956671,pricing_mc_v1,stable,none,20260817,8,short,1.0,0.0,0.0,10970936.966956671,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2018,ceded,short,False,23707995.97843727,33181003.10504555,pricing_mc_v1,stable,none,20260817,7,short,1.0,0.0,0.0,33181003.10504555,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2019,ceded,short,False,25674328.913459502,24992257.63095648,pricing_mc_v1,stable,none,20260817,6,short,1.0,0.0,0.0,24992257.63095648,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2020,ceded,short,False,29000934.802801725,7701302.643805287,pricing_mc_v1,stable,none,20260817,5,short,1.0,0.0,0.0,7701302.643805287,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2021,ceded,short,False,31892144.30849073,20545864.50861306,pricing_mc_v1,stable,none,20260817,4,short,1.0,0.0,0.0,20545864.50861306,bornhuetter_ferguson_standard,fixed_independent_benchmark,471489.28188122646,-471489.28188122646
short_stable_no_break,1,2022,ceded,short,False,35315436.85387436,35174130.29752787,pricing_mc_v1,stable,none,20260817,3,short,0.95,0.050000000000000044,1765771.8426937198,36939902.14022159,bornhuetter_ferguson_standard,fixed_independent_benchmark,5795842.131566358,-4030070.288872638
short_stable_no_break,1,2023,ceded,short,False,38665313.28563042,32659006.469059117,pricing_mc_v1,stable,none,20260817,2,short,0.85,0.15000000000000002,5799796.992844564,38458803.461903684,bornhuetter_ferguson_standard,fixed_independent_benchmark,22200106.17409985,-16400309.181255288
short_stable_no_break,1,2024,ceded,short,False,42781010.08873995,9288475.033358298,pricing_mc_v1,stable,none,20260817,1,short,0.6,0.4,17112404.035495978,26400879.068854276,bornhuetter_ferguson_standard,fixed_independent_benchmark,27425148.120647676,-10312744.085151698
short_stable_no_break,1,2010,ceded,short,False,10831132.194445187,4552369.240453692,pricing_mc_v1,stable,none,20260817,15,short,1.0,0.0,0.0,4552369.240453692,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2011,ceded,short,False,11866615.197172416,5390595.674159509,pricing_mc_v1,stable,none,20260817,14,short,1.0,0.0,0.0,5390595.674159509,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2012,ceded,short,False,13082760.09056677,7898313.598189256,pricing_mc_v1,stable,none,20260817,13,short,1.0,0.0,0.0,7898313.598189256,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2013,ceded,short,False,14646584.852065822,3544537.474932744,pricing_mc_v1,stable,none,20260817,12,short,1.0,0.0,0.0,3544537.474932744,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2014,ceded,short,False,16099494.21746044,8724357.144014867,pricing_mc_v1,stable,none,20260817,11,short,1.0,0.0,0.0,8724357.144014867,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2015,ceded,short,False,17606606.810888685,17433023.41357442,pricing_mc_v1,stable,none,20260817,10,short,1.0,0.0,0.0,17433023.41357442,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2016,ceded,short,False,19197216.97180749,22735958.696077324,pricing_mc_v1,stable,none,20260817,9,short,1.0,0.0,0.0,22735958.696077324,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2017,ceded,short,False,21605728.60554214,10970936.966956671,pricing_mc_v1,stable,none,20260817,8,short,1.0,0.0,0.0,10970936.966956671,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2018,ceded,short,False,23707995.97843727,33181003.10504555,pricing_mc_v1,stable,none,20260817,7,short,1.0,0.0,0.0,33181003.10504555,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2019,ceded,short,False,25674328.913459502,24992257.63095648,pricing_mc_v1,stable,none,20260817,6,short,1.0,0.0,0.0,24992257.63095648,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2020,ceded,short,False,29000934.802801725,7701302.643805287,pricing_mc_v1,stable,none,20260817,5,short,1.0,0.0,0.0,7701302.643805287,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2021,ceded,short,False,31892144.30849073,20545864.50861306,pricing_mc_v1,stable,none,20260817,4,short,1.0,0.0,0.0,20545864.50861306,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,471489.28188122646,-471489.28188122646
short_stable_no_break,1,2022,ceded,short,False,35315436.85387436,35174130.29752787,pricing_mc_v1,stable,none,20260817,3,short,0.95,0.050000000000000044,1765771.8426937198,36939902.14022159,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,5795842.131566358,-4030070.288872638
short_stable_no_break,1,2023,ceded,short,False,38665313.28563042,32659006.469059117,pricing_mc_v1,stable,none,20260817,2,short,0.85,0.15000000000000002,5799796.992844564,38458803.461903684,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,22200106.17409985,-16400309.181255288
short_stable_no_break,1,2024,ceded,short,False,42781010.08873995,9288475.033358298,pricing_mc_v1,stable,none,20260817,1,short,0.6,0.4,17112404.035495978,26400879.068854276,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,27425148.120647676,-10312744.085151698
short_stable_no_break,1,2010,gross,short,False,86443353.24362053,64815699.59801878,pricing_mc_v1,stable,none,20260817,15,short,1.0,0.0,0.0,64815699.59801878,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2011,gross,short,False,89501387.97413269,70160279.21683183,pricing_mc_v1,stable,none,20260817,14,short,1.0,0.0,0.0,70160279.21683183,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2012,gross,short,False,92821280.32590528,80927933.28229195,pricing_mc_v1,stable,none,20260817,13,short,1.0,0.0,0.0,80927933.28229195,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2013,gross,short,False,97219172.94710933,75934843.81853539,pricing_mc_v1,stable,none,20260817,12,short,1.0,0.0,0.0,75934843.81853539,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2014,gross,short,False,100714210.71215343,83989067.8404093,pricing_mc_v1,stable,none,20260817,11,short,1.0,0.0,0.0,83989067.8404093,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2015,gross,short,False,104555715.13205469,89340642.26263417,pricing_mc_v1,stable,none,20260817,10,short,1.0,0.0,0.0,89340642.26263417,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2016,gross,short,False,108170412.59938948,104414810.67667904,pricing_mc_v1,stable,none,20260817,9,short,1.0,0.0,0.0,104414810.67667904,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2017,gross,short,False,113212500.65963858,100769464.14767726,pricing_mc_v1,stable,none,20260817,8,short,1.0,0.0,0.0,100769464.14767726,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2018,gross,short,False,117652811.81286904,124584589.53124264,pricing_mc_v1,stable,none,20260817,7,short,1.0,0.0,0.0,124584589.53124264,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2019,gross,short,False,121431102.18952312,104887644.12151916,pricing_mc_v1,stable,none,20260817,6,short,1.0,0.0,0.0,104887644.12151916,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2020,gross,short,False,128230977.8730076,74100969.1653734,pricing_mc_v1,stable,none,20260817,5,short,1.0,0.0,0.0,74100969.1653734,bornhuetter_ferguson_standard,fixed_independent_benchmark,197139.80620840323,-197139.80620840323
short_stable_no_break,1,2021,gross,short,False,132934211.35267717,100686219.19743188,pricing_mc_v1,stable,none,20260817,4,short,1.0,0.0,0.0,100686219.19743188,bornhuetter_ferguson_standard,fixed_independent_benchmark,1006003.6634636716,-1006003.6634636716
short_stable_no_break,1,2022,gross,short,False,138754510.23007426,146613538.7241758,pricing_mc_v1,stable,none,20260817,3,short,0.95,0.050000000000000044,6937725.511503719,153551264.23567954,bornhuetter_ferguson_standard,fixed_independent_benchmark,12325646.399360085,-5387920.887856366
short_stable_no_break,1,2023,gross,short,False,143197373.0330518,127305971.03323324,pricing_mc_v1,stable,none,20260817,2,short,0.85,0.15000000000000002,21479605.954957772,148785576.988191,bornhuetter_ferguson_standard,fixed_independent_benchmark,46297002.29764459,-24817396.34268682
short_stable_no_break,1,2024,gross,short,False,149194709.69424832,75666910.66093498,pricing_mc_v1,stable,none,20260817,1,short,0.6,0.4,59677883.87769933,135344794.5386343,bornhuetter_ferguson_standard,fixed_independent_benchmark,77849746.04720649,-18171862.16950716
short_stable_no_break,1,2010,gross,short,False,86443353.24362053,64815699.59801878,pricing_mc_v1,stable,none,20260817,15,short,1.0,0.0,0.0,64815699.59801878,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2011,gross,short,False,89501387.97413269,70160279.21683183,pricing_mc_v1,stable,none,20260817,14,short,1.0,0.0,0.0,70160279.21683183,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2012,gross,short,False,92821280.32590528,80927933.28229195,pricing_mc_v1,stable,none,20260817,13,short,1.0,0.0,0.0,80927933.28229195,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2013,gross,short,False,97219172.94710933,75934843.81853539,pricing_mc_v1,stable,none,20260817,12,short,1.0,0.0,0.0,75934843.81853539,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2014,gross,short,False,100714210.71215343,83989067.8404093,pricing_mc_v1,stable,none,20260817,11,short,1.0,0.0,0.0,83989067.8404093,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2015,gross,short,False,104555715.13205469,89340642.26263417,pricing_mc_v1,stable,none,20260817,10,short,1.0,0.0,0.0,89340642.26263417,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2016,gross,short,False,108170412.59938948,104414810.67667904,pricing_mc_v1,stable,none,20260817,9,short,1.0,0.0,0.0,104414810.67667904,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2017,gross,short,False,113212500.65963858,100769464.14767726,pricing_mc_v1,stable,none,20260817,8,short,1.0,0.0,0.0,100769464.14767726,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2018,gross,short,False,117652811.81286904,124584589.53124264,pricing_mc_v1,stable,none,20260817,7,short,1.0,0.0,0.0,124584589.53124264,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2019,gross,short,False,121431102.18952312,104887644.12151916,pricing_mc_v1,stable,none,20260817,6,short,1.0,0.0,0.0,104887644.12151916,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,1,2020,gross,short,False,128230977.8730076,74100969.1653734,pricing_mc_v1,stable,none,20260817,5,short,1.0,0.0,0.0,74100969.1653734,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,197139.80620840323,-197139.80620840323
short_stable_no_break,1,2021,gross,short,False,132934211.35267717,100686219.19743188,pricing_mc_v1,stable,none,20260817,4,short,1.0,0.0,0.0,100686219.19743188,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,1006003.6634636716,-1006003.6634636716
short_stable_no_break,1,2022,gross,short,False,138754510.23007426,146613538.7241758,pricing_mc_v1,stable,none,20260817,3,short,0.95,0.050000000000000044,6937725.511503719,153551264.23567954,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,12325646.399360085,-5387920.887856366
short_stable_no_break,1,2023,gross,short,False,143197373.0330518,127305971.03323324,pricing_mc_v1,stable,none,20260817,2,short,0.85,0.15000000000000002,21479605.954957772,148785576.988191,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,46297002.29764459,-24817396.34268682
short_stable_no_break,1,2024,gross,short,False,149194709.69424832,75666910.66093498,pricing_mc_v1,stable,none,20260817,1,short,0.6,0.4,59677883.87769933,135344794.5386343,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,77849746.04720649,-18171862.16950716
short_stable_no_break,2,2010,ceded,short,False,10831132.194445187,9648612.58240278,pricing_mc_v1,stable,none,20260818,15,short,1.0,0.0,0.0,9648612.58240278,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,2,2011,ceded,short,False,11866615.197172416,3423075.527899078,pricing_mc_v1,stable,none,20260818,14,short,1.0,0.0,0.0,3423075.527899078,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,2,2012,ceded,short,False,13082760.09056677,12897504.3010323,pricing_mc_v1,stable,none,20260818,13,short,1.0,0.0,0.0,12897504.3010323,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,2,2013,ceded,short,False,14646584.852065822,15149394.207195394,pricing_mc_v1,stable,none,20260818,12,short,1.0,0.0,0.0,15149394.207195394,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,2,2014,ceded,short,False,16099494.21746044,9456843.335244045,pricing_mc_v1,stable,none,20260818,11,short,1.0,0.0,0.0,9456843.335244045,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,2,2015,ceded,short,False,17606606.810888685,7994383.674314357,pricing_mc_v1,stable,none,20260818,10,short,1.0,0.0,0.0,7994383.674314357,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,2,2016,ceded,short,False,19197216.97180749,22104445.11818981,pricing_mc_v1,stable,none,20260818,9,short,1.0,0.0,0.0,22104445.11818981,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,2,2017,ceded,short,False,21605728.60554214,16751348.488367517,pricing_mc_v1,stable,none,20260818,8,short,1.0,0.0,0.0,16751348.488367517,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,2,2018,ceded,short,False,23707995.97843727,23160143.758270208,pricing_mc_v1,stable,none,20260818,7,short,1.0,0.0,0.0,23160143.758270208,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,2,2019,ceded,short,False,25674328.913459502,41008377.46919692,pricing_mc_v1,stable,none,20260818,6,short,1.0,0.0,0.0,41008377.46919692,bornhuetter_ferguson_standard,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,2,2020,ceded,short,False,29000934.802801725,33008558.411003944,pricing_mc_v1,stable,none,20260818,5,short,1.0,0.0,0.0,33008558.411003944,bornhuetter_ferguson_standard,fixed_independent_benchmark,137016.45893296087,-137016.45893296087
short_stable_no_break,2,2021,ceded,short,False,31892144.30849073,26150858.376407284,pricing_mc_v1,stable,none,20260818,4,short,1.0,0.0,0.0,26150858.376407284,bornhuetter_ferguson_standard,fixed_independent_benchmark,1649619.3291676869,-1649619.3291676869
short_stable_no_break,2,2022,ceded,short,False,35315436.85387436,34508622.67912419,pricing_mc_v1,stable,none,20260818,3,short,0.95,0.050000000000000044,1765771.8426937198,36274394.52181791,bornhuetter_ferguson_standard,fixed_independent_benchmark,4238721.679138968,-2472949.8364452478
short_stable_no_break,2,2023,ceded,short,False,38665313.28563042,22787413.852684632,pricing_mc_v1,stable,none,20260818,2,short,0.85,0.15000000000000002,5799796.992844564,28587210.845529195,bornhuetter_ferguson_standard,fixed_independent_benchmark,13255643.386544876,-7455846.393700312
short_stable_no_break,2,2024,ceded,short,False,42781010.08873995,5890754.997505814,pricing_mc_v1,stable,none,20260818,1,short,0.6,0.4,17112404.035495978,23003159.03300179,bornhuetter_ferguson_standard,fixed_independent_benchmark,34301073.07207512,-17188669.036579143
short_stable_no_break,2,2010,ceded,short,False,10831132.194445187,9648612.58240278,pricing_mc_v1,stable,none,20260818,15,short,1.0,0.0,0.0,9648612.58240278,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,2,2011,ceded,short,False,11866615.197172416,3423075.527899078,pricing_mc_v1,stable,none,20260818,14,short,1.0,0.0,0.0,3423075.527899078,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,2,2012,ceded,short,False,13082760.09056677,12897504.3010323,pricing_mc_v1,stable,none,20260818,13,short,1.0,0.0,0.0,12897504.3010323,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,2,2013,ceded,short,False,14646584.852065822,15149394.207195394,pricing_mc_v1,stable,none,20260818,12,short,1.0,0.0,0.0,15149394.207195394,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
short_stable_no_break,2,2014,ceded,short,False,16099494.21746044,9456843.335244045,pricing_mc_v1,stable,none,20260818,11,short,1.0,0.0,0.0,9456843.335244045,bornhuetter_ferguson_break_aware,fixed_independent_benchmark,0.0,0.0
