scenario_id,basis,model,break_period,rows,mean_bf_reserve_error,mean_prior_error_component,mean_development_error_component,median_bf_reserve_error,mean_absolute_bf_reserve_error,max_absolute_decomposition_residual
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,post_break,350,-16567853.519406,462143.02326638094,-17029996.542672377,-15570508.17639488,17866156.915639568,1.4901161193847656e-08
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,400,-3800202.3370931675,20197.933160231983,-3820400.270253399,-1086001.962279839,3800202.3370931675,7.450580596923828e-09
long_emerging_break,ceded,bornhuetter_ferguson_standard,post_break,350,-9710552.922919296,497251.37893266685,-10207804.301851962,-8343740.4304474415,11717265.524637006,2.2351741790771484e-08
long_emerging_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,400,-3800202.3370931675,20197.933160231983,-3820400.270253399,-1086001.962279839,3800202.3370931675,7.450580596923828e-09
long_emerging_break,gross,bornhuetter_ferguson_break_aware,post_break,350,-20499784.191841893,1187984.343645309,-21687768.5354872,-18372972.83207523,24444032.028178778,3.725290298461914e-08
long_emerging_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,400,-5194981.681085771,51650.84155536607,-5246632.522641137,-2260785.3780244626,5198444.780384054,1.955777406692505e-08
long_emerging_break,gross,bornhuetter_ferguson_standard,post_break,350,1289113.3803566294,1364076.1172816097,-74962.73692498269,5728248.927325897,15363776.658235403,3.725290298461914e-08
long_emerging_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,400,-5194981.681085771,51650.84155536607,-5246632.522641137,-2260785.3780244626,5198444.780384054,1.955777406692505e-08
long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,-11047521.92679732,277765.09806835523,-11325287.024865674,-7820065.277365992,11987673.528797632,1.4901161193847656e-08
long_emerging_no_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,750,-11047521.92679732,277765.09806835523,-11325287.024865674,-7820065.277365992,11987673.528797632,1.4901161193847656e-08
long_emerging_no_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,-12622119.240607664,714188.5831460952,-13336307.823753754,-9027416.328294795,15414010.015928023,5.960464477539063e-08
long_emerging_no_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,750,-12622119.240607664,714188.5831460952,-13336307.823753754,-9027416.328294795,15414010.015928023,5.960464477539063e-08
long_shock_break,ceded,bornhuetter_ferguson_break_aware,post_break,350,-20701311.811234217,562018.6363067358,-21263330.447540954,-19466847.4273235,22150052.280534875,1.4901161193847656e-08
long_shock_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,400,-4546231.709077617,23432.68232634467,-4569664.391403962,-1279267.8663389166,4546231.709077617,5.587935447692871e-09
long_shock_break,ceded,bornhuetter_ferguson_standard,post_break,350,-12522208.052368617,614063.1142994323,-13136271.166668052,-11220948.367890183,14729476.202271322,1.6763806343078613e-08
long_shock_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,400,-4546231.709077617,23432.68232634467,-4569664.391403962,-1279267.8663389166,4546231.709077617,5.587935447692871e-09
