scenario_id,basis,model,break_period,development_year_at_valuation,rows,mean_assumed_paid_proportion,mean_true_paid_proportion,mean_paid_proportion_error
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,post_break,1,50,0.08,0.00046901691260786894,-0.07953098308739213
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,post_break,2,50,0.35,0.028491411275021146,-0.32150858872497884
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,post_break,3,50,0.5800000000000001,0.11524341750111879,-0.4647565824988813
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,post_break,4,50,0.74,0.2530067407004964,-0.48699325929950354
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,post_break,5,50,0.8400000000000002,0.3871648779606527,-0.4528351220393474
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,post_break,6,50,0.9,0.5697937372766984,-0.3302062627233018
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,post_break,7,50,0.94,0.7105391800823248,-0.22946081991767525
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,8,50,0.8400000000000002,0.45865940516873044,-0.3813405948312696
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,9,50,0.9,0.5807088987122826,-0.3192911012877174
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,10,50,1.0,0.7885126077751852,-0.2114873922248148
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,11,50,1.0,0.9197398221671539,-0.08026017783284616
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,12,50,1.0,0.9637495774429489,-0.03625042255705114
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,13,50,1.0,0.9827986096253898,-0.017201390374610243
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,14,50,1.0,1.0,0.0
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,15,50,1.0,1.0,0.0
long_emerging_break,ceded,bornhuetter_ferguson_standard,post_break,1,50,0.04,0.00046901691260786894,-0.039530983087392134
long_emerging_break,ceded,bornhuetter_ferguson_standard,post_break,2,50,0.24,0.028491411275021146,-0.21150858872497885
long_emerging_break,ceded,bornhuetter_ferguson_standard,post_break,3,50,0.43,0.11524341750111879,-0.3147565824988812
long_emerging_break,ceded,bornhuetter_ferguson_standard,post_break,4,50,0.5700000000000001,0.2530067407004964,-0.3169932592995036
long_emerging_break,ceded,bornhuetter_ferguson_standard,post_break,5,50,0.66,0.3871648779606527,-0.2728351220393474
long_emerging_break,ceded,bornhuetter_ferguson_standard,post_break,6,50,0.73,0.5697937372766984,-0.16020626272330168
long_emerging_break,ceded,bornhuetter_ferguson_standard,post_break,7,50,0.79,0.7105391800823248,-0.07946081991767534
long_emerging_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,8,50,0.8400000000000002,0.45865940516873044,-0.3813405948312696
long_emerging_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,9,50,0.9,0.5807088987122826,-0.3192911012877174
long_emerging_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,10,50,1.0,0.7885126077751852,-0.2114873922248148
long_emerging_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,11,50,1.0,0.9197398221671539,-0.08026017783284616
long_emerging_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,12,50,1.0,0.9637495774429489,-0.03625042255705114
long_emerging_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,13,50,1.0,0.9827986096253898,-0.017201390374610243
long_emerging_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,14,50,1.0,1.0,0.0
long_emerging_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,15,50,1.0,1.0,0.0
long_emerging_break,gross,bornhuetter_ferguson_break_aware,post_break,1,50,0.08,0.03588139193041433,-0.044118608069585674
long_emerging_break,gross,bornhuetter_ferguson_break_aware,post_break,2,50,0.35,0.18529375047217406,-0.16470624952782592
long_emerging_break,gross,bornhuetter_ferguson_break_aware,post_break,3,50,0.5800000000000001,0.3664059403286683,-0.21359405967133183
long_emerging_break,gross,bornhuetter_ferguson_break_aware,post_break,4,50,0.74,0.542706847082359,-0.19729315291764102
long_emerging_break,gross,bornhuetter_ferguson_break_aware,post_break,5,50,0.8400000000000002,0.690739721476235,-0.1492602785237652
long_emerging_break,gross,bornhuetter_ferguson_break_aware,post_break,6,50,0.9,0.7973084930305361,-0.102691506969464
long_emerging_break,gross,bornhuetter_ferguson_break_aware,post_break,7,50,0.94,0.8698591360358265,-0.0701408639641733
long_emerging_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,8,50,0.8400000000000002,0.7429351227313474,-0.09706487726865273
long_emerging_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,9,50,0.9,0.8097418444094671,-0.09025815559053306
long_emerging_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,10,50,1.0,0.9125937225058746,-0.08740627749412547
long_emerging_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,11,50,1.0,0.9644366602320754,-0.035563339767924605
long_emerging_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,12,50,1.0,0.985940105341178,-0.01405989465882202
long_emerging_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,13,50,1.0,0.9950371225999243,-0.004962877400075756
long_emerging_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,14,50,1.0,1.0,0.0
long_emerging_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,15,50,1.0,1.0,0.0
long_emerging_break,gross,bornhuetter_ferguson_standard,post_break,1,50,0.04,0.03588139193041433,-0.004118608069585677
long_emerging_break,gross,bornhuetter_ferguson_standard,post_break,2,50,0.24,0.18529375047217406,-0.054706249527825934
long_emerging_break,gross,bornhuetter_ferguson_standard,post_break,3,50,0.43,0.3664059403286683,-0.06359405967133172
long_emerging_break,gross,bornhuetter_ferguson_standard,post_break,4,50,0.5700000000000001,0.542706847082359,-0.027293152917641096
long_emerging_break,gross,bornhuetter_ferguson_standard,post_break,5,50,0.66,0.690739721476235,0.030739721476234855
long_emerging_break,gross,bornhuetter_ferguson_standard,post_break,6,50,0.73,0.7973084930305361,0.06730849303053604
long_emerging_break,gross,bornhuetter_ferguson_standard,post_break,7,50,0.79,0.8698591360358265,0.07985913603582662
long_emerging_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,8,50,0.8400000000000002,0.7429351227313474,-0.09706487726865273
long_emerging_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,9,50,0.9,0.8097418444094671,-0.09025815559053306
long_emerging_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,10,50,1.0,0.9125937225058746,-0.08740627749412547
long_emerging_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,11,50,1.0,0.9644366602320754,-0.035563339767924605
long_emerging_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,12,50,1.0,0.985940105341178,-0.01405989465882202
long_emerging_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,13,50,1.0,0.9950371225999243,-0.004962877400075756
long_emerging_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,14,50,1.0,1.0,0.0
long_emerging_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,15,50,1.0,1.0,0.0
long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,1,50,0.04,0.0,-0.04
long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,2,50,0.24,0.008999755004646986,-0.23100024499535302
long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,3,50,0.43,0.044899626276930275,-0.38510037372306966
long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,4,50,0.5700000000000001,0.11115842927671712,-0.4588415707232829
long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,5,50,0.66,0.16473297458170624,-0.4952670254182938
long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,6,50,0.73,0.2806410105234952,-0.44935898947650477
long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,7,50,0.79,0.3844349230749558,-0.4055650769250442
long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,8,50,0.8400000000000002,0.45865940516873044,-0.3813405948312696
long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,9,50,0.9,0.5807088987122826,-0.3192911012877174
