scenario_id,basis,hyperparameter,selected_value,selection_count,successful_tweedie_fits,selection_frequency
short_stable_no_break,gross,selected_power,1.1,22,50,0.44
short_stable_no_break,gross,selected_power,1.3,1,50,0.02
short_stable_no_break,gross,selected_power,1.5,1,50,0.02
short_stable_no_break,gross,selected_power,1.7,5,50,0.1
short_stable_no_break,gross,selected_power,1.9,21,50,0.42
short_stable_no_break,gross,selected_alpha,0.0001,25,50,0.5
short_stable_no_break,gross,selected_alpha,0.001,5,50,0.1
short_stable_no_break,gross,selected_alpha,0.01,10,50,0.2
short_stable_no_break,gross,selected_alpha,0.1,10,50,0.2
short_stable_no_break,gross,selected_alpha,1,0,50,0
short_stable_no_break,gross,selected_alpha,10,0,50,0
short_stable_no_break,ceded,selected_power,1.1,12,50,0.24
short_stable_no_break,ceded,selected_power,1.3,4,50,0.08
short_stable_no_break,ceded,selected_power,1.5,5,50,0.1
short_stable_no_break,ceded,selected_power,1.7,7,50,0.14
short_stable_no_break,ceded,selected_power,1.9,22,50,0.44
short_stable_no_break,ceded,selected_alpha,0.0001,18,50,0.36
short_stable_no_break,ceded,selected_alpha,0.001,6,50,0.12
short_stable_no_break,ceded,selected_alpha,0.01,10,50,0.2
short_stable_no_break,ceded,selected_alpha,0.1,15,50,0.3
short_stable_no_break,ceded,selected_alpha,1,1,50,0.02
short_stable_no_break,ceded,selected_alpha,10,0,50,0
short_emerging_no_break,gross,selected_power,1.1,22,50,0.44
short_emerging_no_break,gross,selected_power,1.3,10,50,0.2
short_emerging_no_break,gross,selected_power,1.5,3,50,0.06
short_emerging_no_break,gross,selected_power,1.7,6,50,0.12
short_emerging_no_break,gross,selected_power,1.9,9,50,0.18
short_emerging_no_break,gross,selected_alpha,0.0001,30,50,0.6
short_emerging_no_break,gross,selected_alpha,0.001,13,50,0.26
short_emerging_no_break,gross,selected_alpha,0.01,6,50,0.12
short_emerging_no_break,gross,selected_alpha,0.1,1,50,0.02
short_emerging_no_break,gross,selected_alpha,1,0,50,0
short_emerging_no_break,gross,selected_alpha,10,0,50,0
short_emerging_no_break,ceded,selected_power,1.1,20,50,0.4
short_emerging_no_break,ceded,selected_power,1.3,5,50,0.1
short_emerging_no_break,ceded,selected_power,1.5,4,50,0.08
short_emerging_no_break,ceded,selected_power,1.7,8,50,0.16
short_emerging_no_break,ceded,selected_power,1.9,13,50,0.26
short_emerging_no_break,ceded,selected_alpha,0.0001,16,50,0.32
short_emerging_no_break,ceded,selected_alpha,0.001,15,50,0.3
short_emerging_no_break,ceded,selected_alpha,0.01,11,50,0.22
short_emerging_no_break,ceded,selected_alpha,0.1,8,50,0.16
short_emerging_no_break,ceded,selected_alpha,1,0,50,0
short_emerging_no_break,ceded,selected_alpha,10,0,50,0
short_shock_no_break,gross,selected_power,1.1,18,50,0.36
short_shock_no_break,gross,selected_power,1.3,11,50,0.22
short_shock_no_break,gross,selected_power,1.5,7,50,0.14
short_shock_no_break,gross,selected_power,1.7,6,50,0.12
short_shock_no_break,gross,selected_power,1.9,8,50,0.16
short_shock_no_break,gross,selected_alpha,0.0001,26,50,0.52
short_shock_no_break,gross,selected_alpha,0.001,18,50,0.36
short_shock_no_break,gross,selected_alpha,0.01,6,50,0.12
short_shock_no_break,gross,selected_alpha,0.1,0,50,0
short_shock_no_break,gross,selected_alpha,1,0,50,0
short_shock_no_break,gross,selected_alpha,10,0,50,0
short_shock_no_break,ceded,selected_power,1.1,24,50,0.48
short_shock_no_break,ceded,selected_power,1.3,2,50,0.04
short_shock_no_break,ceded,selected_power,1.5,5,50,0.1
short_shock_no_break,ceded,selected_power,1.7,10,50,0.2
short_shock_no_break,ceded,selected_power,1.9,9,50,0.18
short_shock_no_break,ceded,selected_alpha,0.0001,16,50,0.32
short_shock_no_break,ceded,selected_alpha,0.001,19,50,0.38
short_shock_no_break,ceded,selected_alpha,0.01,9,50,0.18
short_shock_no_break,ceded,selected_alpha,0.1,6,50,0.12
short_shock_no_break,ceded,selected_alpha,1,0,50,0
short_shock_no_break,ceded,selected_alpha,10,0,50,0
long_stable_no_break,gross,selected_power,1.1,6,50,0.12
long_stable_no_break,gross,selected_power,1.3,0,50,0
long_stable_no_break,gross,selected_power,1.5,2,50,0.04
long_stable_no_break,gross,selected_power,1.7,2,50,0.04
long_stable_no_break,gross,selected_power,1.9,40,50,0.8
long_stable_no_break,gross,selected_alpha,0.0001,28,50,0.56
long_stable_no_break,gross,selected_alpha,0.001,10,50,0.2
long_stable_no_break,gross,selected_alpha,0.01,12,50,0.24
long_stable_no_break,gross,selected_alpha,0.1,0,50,0
long_stable_no_break,gross,selected_alpha,1,0,50,0
long_stable_no_break,gross,selected_alpha,10,0,50,0
long_stable_no_break,ceded,selected_power,1.1,40,50,0.8
long_stable_no_break,ceded,selected_power,1.3,2,50,0.04
long_stable_no_break,ceded,selected_power,1.5,1,50,0.02
long_stable_no_break,ceded,selected_power,1.7,0,50,0
long_stable_no_break,ceded,selected_power,1.9,7,50,0.14
long_stable_no_break,ceded,selected_alpha,0.0001,0,50,0
long_stable_no_break,ceded,selected_alpha,0.001,0,50,0
long_stable_no_break,ceded,selected_alpha,0.01,4,50,0.08
long_stable_no_break,ceded,selected_alpha,0.1,30,50,0.6
long_stable_no_break,ceded,selected_alpha,1,16,50,0.32
long_stable_no_break,ceded,selected_alpha,10,0,50,0
long_emerging_no_break,gross,selected_power,1.1,5,50,0.1
long_emerging_no_break,gross,selected_power,1.3,4,50,0.08
long_emerging_no_break,gross,selected_power,1.5,4,50,0.08
long_emerging_no_break,gross,selected_power,1.7,7,50,0.14
long_emerging_no_break,gross,selected_power,1.9,30,50,0.6
long_emerging_no_break,gross,selected_alpha,0.0001,21,50,0.42
long_emerging_no_break,gross,selected_alpha,0.001,20,50,0.4
long_emerging_no_break,gross,selected_alpha,0.01,9,50,0.18
long_emerging_no_break,gross,selected_alpha,0.1,0,50,0
long_emerging_no_break,gross,selected_alpha,1,0,50,0
long_emerging_no_break,gross,selected_alpha,10,0,50,0
long_emerging_no_break,ceded,selected_power,1.1,38,50,0.76
long_emerging_no_break,ceded,selected_power,1.3,1,50,0.02
long_emerging_no_break,ceded,selected_power,1.5,1,50,0.02
long_emerging_no_break,ceded,selected_power,1.7,0,50,0
long_emerging_no_break,ceded,selected_power,1.9,10,50,0.2
long_emerging_no_break,ceded,selected_alpha,0.0001,0,50,0
long_emerging_no_break,ceded,selected_alpha,0.001,1,50,0.02
long_emerging_no_break,ceded,selected_alpha,0.01,5,50,0.1
long_emerging_no_break,ceded,selected_alpha,0.1,23,50,0.46
long_emerging_no_break,ceded,selected_alpha,1,21,50,0.42
long_emerging_no_break,ceded,selected_alpha,10,0,50,0
long_shock_no_break,gross,selected_power,1.1,7,50,0.14
long_shock_no_break,gross,selected_power,1.3,9,50,0.18
long_shock_no_break,gross,selected_power,1.5,7,50,0.14
long_shock_no_break,gross,selected_power,1.7,6,50,0.12
long_shock_no_break,gross,selected_power,1.9,21,50,0.42
long_shock_no_break,gross,selected_alpha,0.0001,34,50,0.68
long_shock_no_break,gross,selected_alpha,0.001,14,50,0.28
long_shock_no_break,gross,selected_alpha,0.01,1,50,0.02
long_shock_no_break,gross,selected_alpha,0.1,1,50,0.02
long_shock_no_break,gross,selected_alpha,1,0,50,0
long_shock_no_break,gross,selected_alpha,10,0,50,0
long_shock_no_break,ceded,selected_power,1.1,36,50,0.72
long_shock_no_break,ceded,selected_power,1.3,0,50,0
long_shock_no_break,ceded,selected_power,1.5,1,50,0.02
long_shock_no_break,ceded,selected_power,1.7,0,50,0
long_shock_no_break,ceded,selected_power,1.9,13,50,0.26
long_shock_no_break,ceded,selected_alpha,0.0001,0,50,0
long_shock_no_break,ceded,selected_alpha,0.001,1,50,0.02
long_shock_no_break,ceded,selected_alpha,0.01,5,50,0.1
long_shock_no_break,ceded,selected_alpha,0.1,20,50,0.4
long_shock_no_break,ceded,selected_alpha,1,24,50,0.48
long_shock_no_break,ceded,selected_alpha,10,0,50,0
long_stable_break,gross,selected_power,1.1,14,50,0.28
long_stable_break,gross,selected_power,1.3,3,50,0.06
long_stable_break,gross,selected_power,1.5,3,50,0.06
long_stable_break,gross,selected_power,1.7,5,50,0.1
long_stable_break,gross,selected_power,1.9,25,50,0.5
long_stable_break,gross,selected_alpha,0.0001,24,50,0.48
long_stable_break,gross,selected_alpha,0.001,9,50,0.18
long_stable_break,gross,selected_alpha,0.01,17,50,0.34
long_stable_break,gross,selected_alpha,0.1,0,50,0
long_stable_break,gross,selected_alpha,1,0,50,0
long_stable_break,gross,selected_alpha,10,0,50,0
long_stable_break,ceded,selected_power,1.1,44,50,0.88
long_stable_break,ceded,selected_power,1.3,0,50,0
long_stable_break,ceded,selected_power,1.5,1,50,0.02
long_stable_break,ceded,selected_power,1.7,0,50,0
long_stable_break,ceded,selected_power,1.9,5,50,0.1
long_stable_break,ceded,selected_alpha,0.0001,0,50,0
long_stable_break,ceded,selected_alpha,0.001,0,50,0
long_stable_break,ceded,selected_alpha,0.01,9,50,0.18
long_stable_break,ceded,selected_alpha,0.1,30,50,0.6
long_stable_break,ceded,selected_alpha,1,11,50,0.22
long_stable_break,ceded,selected_alpha,10,0,50,0
long_emerging_break,gross,selected_power,1.1,5,50,0.1
long_emerging_break,gross,selected_power,1.3,4,50,0.08
long_emerging_break,gross,selected_power,1.5,6,50,0.12
long_emerging_break,gross,selected_power,1.7,8,50,0.16
long_emerging_break,gross,selected_power,1.9,27,50,0.54
long_emerging_break,gross,selected_alpha,0.0001,14,50,0.28
long_emerging_break,gross,selected_alpha,0.001,22,50,0.44
long_emerging_break,gross,selected_alpha,0.01,14,50,0.28
long_emerging_break,gross,selected_alpha,0.1,0,50,0
long_emerging_break,gross,selected_alpha,1,0,50,0
long_emerging_break,gross,selected_alpha,10,0,50,0
long_emerging_break,ceded,selected_power,1.1,43,50,0.86
long_emerging_break,ceded,selected_power,1.3,0,50,0
long_emerging_break,ceded,selected_power,1.5,1,50,0.02
long_emerging_break,ceded,selected_power,1.7,0,50,0
long_emerging_break,ceded,selected_power,1.9,6,50,0.12
long_emerging_break,ceded,selected_alpha,0.0001,0,50,0
long_emerging_break,ceded,selected_alpha,0.001,0,50,0
long_emerging_break,ceded,selected_alpha,0.01,10,50,0.2
long_emerging_break,ceded,selected_alpha,0.1,24,50,0.48
long_emerging_break,ceded,selected_alpha,1,16,50,0.32
long_emerging_break,ceded,selected_alpha,10,0,50,0
long_shock_break,gross,selected_power,1.1,13,50,0.26
long_shock_break,gross,selected_power,1.3,5,50,0.1
long_shock_break,gross,selected_power,1.5,11,50,0.22
long_shock_break,gross,selected_power,1.7,8,50,0.16
long_shock_break,gross,selected_power,1.9,13,50,0.26
long_shock_break,gross,selected_alpha,0.0001,27,50,0.54
long_shock_break,gross,selected_alpha,0.001,16,50,0.32
long_shock_break,gross,selected_alpha,0.01,5,50,0.1
long_shock_break,gross,selected_alpha,0.1,2,50,0.04
long_shock_break,gross,selected_alpha,1,0,50,0
long_shock_break,gross,selected_alpha,10,0,50,0
long_shock_break,ceded,selected_power,1.1,41,50,0.82
long_shock_break,ceded,selected_power,1.3,2,50,0.04
long_shock_break,ceded,selected_power,1.5,0,50,0
long_shock_break,ceded,selected_power,1.7,0,50,0
long_shock_break,ceded,selected_power,1.9,7,50,0.14
long_shock_break,ceded,selected_alpha,0.0001,0,50,0
long_shock_break,ceded,selected_alpha,0.001,0,50,0
long_shock_break,ceded,selected_alpha,0.01,9,50,0.18
long_shock_break,ceded,selected_alpha,0.1,24,50,0.48
long_shock_break,ceded,selected_alpha,1,17,50,0.34
long_shock_break,ceded,selected_alpha,10,0,50,0
