simulation_id,seed,scenario_id,frequency_scenario,tail_type,inflation_scenario,structural_break,clause_type,model,basis,observed_paid,true_reserve,true_ultimate,estimated_reserve,selected_alpha,runtime_seconds,success_or_failure,failure_category,failure_reason,pipeline_reconciliation_passed,model_reconciliation_passed,signed_error,absolute_error,percentage_error,absolute_percentage_error,normalised_error,selected_power
1,20260817,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,gross,1424198583.2769885,137675538.21388325,1561874121.490872,116609091.53506358,0.001,1.3771888000010222,success,,,True,True,-21066446.67881967,21066446.67881967,-15.301517576849626,15.301517576849626,-0.15301517576849627,
1,20260817,short_stable_no_break,constant,short,stable,False,none,regularized_poisson,ceded,244792131.89672416,55892585.70819512,300684717.60491925,63264224.98373668,0.001,1.1965408000032767,success,,,True,True,7371639.275541559,7371639.275541559,13.188939431121558,13.188939431121558,0.13188939431121557,
1,20260817,short_stable_no_break,constant,short,stable,False,none,regularized_tweedie,gross,1424198583.2769885,137675538.21388325,1561874121.490872,119341440.12587157,0.0001,5.562788399998681,success,,,True,True,-18334098.088011682,18334098.088011682,-13.316888625144932,13.316888625144932,-0.13316888625144932,1.9
1,20260817,short_stable_no_break,constant,short,stable,False,none,regularized_tweedie,ceded,244792131.89672416,55892585.70819512,300684717.60491925,66867757.852284126,0.1,5.245546899997862,success,,,True,True,10975172.144089006,10975172.144089006,19.63618609700463,19.63618609700463,0.1963618609700463,1.9
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,regularized_poisson,gross,1451586318.1868544,152925951.09167618,1604512269.2785308,145493476.29718018,0.0001,1.4230277000024216,success,,,True,True,-7432474.794496,7432474.794496,-4.86017889144294,4.86017889144294,-0.0486017889144294,
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,regularized_poisson,ceded,257694822.27722293,70592445.43832305,328287267.71554595,66137701.459681176,0.01,1.3169203999968886,success,,,True,True,-4454743.978641875,4454743.978641875,-6.310510920795351,6.310510920795351,-0.06310510920795351,
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,regularized_tweedie,gross,1451586318.1868544,152925951.09167618,1604512269.2785308,143682506.79174322,0.0001,5.819042200000695,success,,,True,True,-9243444.299932957,9243444.299932957,-6.044392226399618,6.044392226399618,-0.06044392226399618,1.1
1,20260817,short_emerging_no_break,constant,short,emerging,False,none,regularized_tweedie,ceded,257694822.27722293,70592445.43832305,328287267.71554595,63927553.35540687,0.1,5.414468599999964,success,,,True,True,-6664892.082916178,6664892.082916178,-9.441367332626726,9.441367332626726,-0.09441367332626725,1.9
1,20260817,short_shock_no_break,constant,short,shock,False,none,regularized_poisson,gross,1476117978.9648635,171459997.05742964,1647577976.022293,164444579.07931814,0.0001,1.4583090000014636,success,,,True,True,-7015417.9781115055,7015417.9781115055,-4.091577101661636,4.091577101661636,-0.04091577101661636,
1,20260817,short_shock_no_break,constant,short,shock,False,none,regularized_poisson,ceded,268823078.6466661,92301960.7631166,361125039.40978265,91348062.84542653,0.1,1.2184750000014901,success,,,True,True,-953897.9176900685,953897.9176900685,-1.0334535797545499,1.0334535797545499,-0.010334535797545499,
