model,history_window_years,required_rows,applicable_rows,not_applicable_rows,estimator_invocations,successful_fits,data_dependent_failures,applicability_rate,conditional_fit_success_rate,unconditional_success_rate
chain_ladder,15,900,900,0,900,622,278,1.0,0.6911111111111111,0.6911111111111111
inflation_adjusted_chain_ladder,15,900,900,0,900,622,278,1.0,0.6911111111111111,0.6911111111111111
cashflow_uplift,15,900,900,0,900,622,278,1.0,0.6911111111111111,0.6911111111111111
regularized_poisson,15,900,900,0,900,900,0,1.0,1.0,1.0
regularized_poisson_break_interaction,15,900,900,0,900,900,0,1.0,1.0,1.0
regularized_tweedie,15,900,900,0,900,900,0,1.0,1.0,1.0
chain_ladder,10,900,900,0,900,300,600,1.0,0.3333333333333333,0.3333333333333333
inflation_adjusted_chain_ladder,10,900,900,0,900,300,600,1.0,0.3333333333333333,0.3333333333333333
cashflow_uplift,10,900,900,0,900,300,600,1.0,0.3333333333333333,0.3333333333333333
regularized_poisson,10,900,900,0,900,900,0,1.0,1.0,1.0
regularized_poisson_break_interaction,10,900,900,0,900,900,0,1.0,1.0,1.0
regularized_tweedie,10,900,900,0,900,900,0,1.0,1.0,1.0
chain_ladder,7,900,900,0,900,300,600,1.0,0.3333333333333333,0.3333333333333333
inflation_adjusted_chain_ladder,7,900,900,0,900,300,600,1.0,0.3333333333333333,0.3333333333333333
cashflow_uplift,7,900,900,0,900,300,600,1.0,0.3333333333333333,0.3333333333333333
regularized_poisson,7,900,0,900,0,0,0,0.0,,0.0
regularized_poisson_break_interaction,7,900,0,900,0,0,0,0.0,,0.0
regularized_tweedie,7,900,0,900,0,0,0,0.0,,0.0
chain_ladder,5,900,900,0,900,0,900,1.0,0.0,0.0
inflation_adjusted_chain_ladder,5,900,900,0,900,0,900,1.0,0.0,0.0
cashflow_uplift,5,900,900,0,900,0,900,1.0,0.0,0.0
regularized_poisson,5,900,0,900,0,0,0,0.0,,0.0
regularized_poisson_break_interaction,5,900,0,900,0,0,0,0.0,,0.0
regularized_tweedie,5,900,0,900,0,0,0,0.0,,0.0
