scenario_id,model,basis,history_window_years,history_start_ay,applicability_status,failure_type,failure_message,failure_count
long_emerging_break,cashflow_uplift,ceded,5,2020,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,5
long_emerging_break,cashflow_uplift,ceded,5,2020,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,45
long_emerging_break,cashflow_uplift,ceded,7,2018,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,7
long_emerging_break,cashflow_uplift,ceded,7,2018,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,43
long_emerging_break,cashflow_uplift,ceded,10,2015,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,7
long_emerging_break,cashflow_uplift,ceded,10,2015,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,43
long_emerging_break,cashflow_uplift,ceded,15,2010,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,43
long_emerging_break,cashflow_uplift,gross,5,2020,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,50
long_emerging_break,cashflow_uplift,gross,7,2018,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,50
long_emerging_break,cashflow_uplift,gross,10,2015,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,50
long_emerging_break,chain_ladder,ceded,5,2020,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,5
long_emerging_break,chain_ladder,ceded,5,2020,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,45
long_emerging_break,chain_ladder,ceded,7,2018,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,7
long_emerging_break,chain_ladder,ceded,7,2018,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,43
long_emerging_break,chain_ladder,ceded,10,2015,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,7
long_emerging_break,chain_ladder,ceded,10,2015,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,43
long_emerging_break,chain_ladder,ceded,15,2010,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,43
long_emerging_break,chain_ladder,gross,5,2020,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,50
long_emerging_break,chain_ladder,gross,7,2018,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,50
long_emerging_break,chain_ladder,gross,10,2015,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,50
long_emerging_break,inflation_adjusted_chain_ladder,ceded,5,2020,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,5
long_emerging_break,inflation_adjusted_chain_ladder,ceded,5,2020,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,45
long_emerging_break,inflation_adjusted_chain_ladder,ceded,7,2018,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,7
long_emerging_break,inflation_adjusted_chain_ladder,ceded,7,2018,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,43
long_emerging_break,inflation_adjusted_chain_ladder,ceded,10,2015,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,7
long_emerging_break,inflation_adjusted_chain_ladder,ceded,10,2015,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,43
long_emerging_break,inflation_adjusted_chain_ladder,ceded,15,2010,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,43
long_emerging_break,inflation_adjusted_chain_ladder,gross,5,2020,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,50
long_emerging_break,inflation_adjusted_chain_ladder,gross,7,2018,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,50
long_emerging_break,inflation_adjusted_chain_ladder,gross,10,2015,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,50
long_emerging_break,regularized_poisson,ceded,5,2020,not_applicable_by_design,not_applicable_by_design,"Only 5 calendar diagonals are available, giving 0 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_break,regularized_poisson,ceded,7,2018,not_applicable_by_design,not_applicable_by_design,"Only 7 calendar diagonals are available, giving 2 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_break,regularized_poisson,gross,5,2020,not_applicable_by_design,not_applicable_by_design,"Only 5 calendar diagonals are available, giving 0 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_break,regularized_poisson,gross,7,2018,not_applicable_by_design,not_applicable_by_design,"Only 7 calendar diagonals are available, giving 2 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_break,regularized_poisson_break_interaction,ceded,5,2020,not_applicable_by_design,not_applicable_by_design,"Only 5 calendar diagonals are available, giving 0 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_break,regularized_poisson_break_interaction,ceded,7,2018,not_applicable_by_design,not_applicable_by_design,"Only 7 calendar diagonals are available, giving 2 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_break,regularized_poisson_break_interaction,gross,5,2020,not_applicable_by_design,not_applicable_by_design,"Only 5 calendar diagonals are available, giving 0 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_break,regularized_poisson_break_interaction,gross,7,2018,not_applicable_by_design,not_applicable_by_design,"Only 7 calendar diagonals are available, giving 2 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_break,regularized_tweedie,ceded,5,2020,not_applicable_by_design,not_applicable_by_design,"Only 5 calendar diagonals are available, giving 0 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_break,regularized_tweedie,ceded,7,2018,not_applicable_by_design,not_applicable_by_design,"Only 7 calendar diagonals are available, giving 2 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_break,regularized_tweedie,gross,5,2020,not_applicable_by_design,not_applicable_by_design,"Only 5 calendar diagonals are available, giving 0 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_break,regularized_tweedie,gross,7,2018,not_applicable_by_design,not_applicable_by_design,"Only 7 calendar diagonals are available, giving 2 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_no_break,cashflow_uplift,ceded,5,2020,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,50
long_emerging_no_break,cashflow_uplift,ceded,7,2018,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,50
long_emerging_no_break,cashflow_uplift,ceded,10,2015,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,50
long_emerging_no_break,cashflow_uplift,ceded,15,2010,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,50
long_emerging_no_break,cashflow_uplift,gross,5,2020,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,50
long_emerging_no_break,cashflow_uplift,gross,7,2018,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,50
long_emerging_no_break,cashflow_uplift,gross,10,2015,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,50
long_emerging_no_break,chain_ladder,ceded,5,2020,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,50
long_emerging_no_break,chain_ladder,ceded,7,2018,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,50
long_emerging_no_break,chain_ladder,ceded,10,2015,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,50
long_emerging_no_break,chain_ladder,ceded,15,2010,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,50
long_emerging_no_break,chain_ladder,gross,5,2020,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,50
long_emerging_no_break,chain_ladder,gross,7,2018,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,50
long_emerging_no_break,chain_ladder,gross,10,2015,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,50
long_emerging_no_break,inflation_adjusted_chain_ladder,ceded,5,2020,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,50
long_emerging_no_break,inflation_adjusted_chain_ladder,ceded,7,2018,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,50
long_emerging_no_break,inflation_adjusted_chain_ladder,ceded,10,2015,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,50
long_emerging_no_break,inflation_adjusted_chain_ladder,ceded,15,2010,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,50
long_emerging_no_break,inflation_adjusted_chain_ladder,gross,5,2020,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,50
long_emerging_no_break,inflation_adjusted_chain_ladder,gross,7,2018,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,50
long_emerging_no_break,inflation_adjusted_chain_ladder,gross,10,2015,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,50
long_emerging_no_break,regularized_poisson,ceded,5,2020,not_applicable_by_design,not_applicable_by_design,"Only 5 calendar diagonals are available, giving 0 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_no_break,regularized_poisson,ceded,7,2018,not_applicable_by_design,not_applicable_by_design,"Only 7 calendar diagonals are available, giving 2 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_no_break,regularized_poisson,gross,5,2020,not_applicable_by_design,not_applicable_by_design,"Only 5 calendar diagonals are available, giving 0 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_no_break,regularized_poisson,gross,7,2018,not_applicable_by_design,not_applicable_by_design,"Only 7 calendar diagonals are available, giving 2 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_no_break,regularized_poisson_break_interaction,ceded,5,2020,not_applicable_by_design,not_applicable_by_design,"Only 5 calendar diagonals are available, giving 0 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_no_break,regularized_poisson_break_interaction,ceded,7,2018,not_applicable_by_design,not_applicable_by_design,"Only 7 calendar diagonals are available, giving 2 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_no_break,regularized_poisson_break_interaction,gross,5,2020,not_applicable_by_design,not_applicable_by_design,"Only 5 calendar diagonals are available, giving 0 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_no_break,regularized_poisson_break_interaction,gross,7,2018,not_applicable_by_design,not_applicable_by_design,"Only 7 calendar diagonals are available, giving 2 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_no_break,regularized_tweedie,ceded,5,2020,not_applicable_by_design,not_applicable_by_design,"Only 5 calendar diagonals are available, giving 0 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_no_break,regularized_tweedie,ceded,7,2018,not_applicable_by_design,not_applicable_by_design,"Only 7 calendar diagonals are available, giving 2 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_no_break,regularized_tweedie,gross,5,2020,not_applicable_by_design,not_applicable_by_design,"Only 5 calendar diagonals are available, giving 0 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_emerging_no_break,regularized_tweedie,gross,7,2018,not_applicable_by_design,not_applicable_by_design,"Only 7 calendar diagonals are available, giving 2 potential rolling folds after 5 training diagonals; the frozen minimum is 3 validation folds.",50
long_shock_break,cashflow_uplift,ceded,5,2020,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,6
long_shock_break,cashflow_uplift,ceded,5,2020,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,44
long_shock_break,cashflow_uplift,ceded,7,2018,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,8
long_shock_break,cashflow_uplift,ceded,7,2018,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,42
long_shock_break,cashflow_uplift,ceded,10,2015,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,8
long_shock_break,cashflow_uplift,ceded,10,2015,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,42
long_shock_break,cashflow_uplift,ceded,15,2010,applicable_by_design,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,42
long_shock_break,cashflow_uplift,gross,5,2020,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,50
long_shock_break,cashflow_uplift,gross,7,2018,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,50
long_shock_break,cashflow_uplift,gross,10,2015,applicable_by_design,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,50
