scenario_id,simulation_id,seed,frequency_scenario,tail_type,inflation_scenario,structural_break,clause_type,basis,model,history_window_years,history_start_ay,evaluation_start_ay,evaluation_end_ay,success,success_or_failure,failure_type,failure_category,failure_message,failure_reason,fit_min_accident_year,fit_max_accident_year,fit_received_pre_window_ay,future_cells_hidden_from_fit,evaluation_truth_used_for_fitting,observed_target_paid,true_target_reserve,true_target_ultimate,estimated_target_reserve,true_reserve,estimated_reserve,selected_alpha,selected_power,runtime_seconds,pipeline_reconciliation_passed,model_reconciliation_passed,target_estimate_reconciliation_passed,target_truth_reconciliation_passed,signed_error,absolute_error,percentage_error,absolute_percentage_error,normalised_error
short_stable_no_break,1,20260817,constant,short,stable,False,none,gross,chain_ladder,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,524373608.7811493,137675538.21388325,662049146.9950327,126772896.04883963,137675538.21388325,126772896.04883963,,,0.023930000003019813,True,True,True,True,-10902642.165043622,10902642.165043622,-7.91908446953447,7.91908446953447,-0.0791908446953447
short_stable_no_break,1,20260817,constant,short,stable,False,none,gross,inflation_adjusted_chain_ladder,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,524373608.7811493,137675538.21388325,662049146.9950327,126508214.16597822,137675538.21388325,126508214.16597822,,,0.04595590000099037,True,True,True,True,-11167324.047905028,11167324.047905028,-8.111334949391113,8.111334949391113,-0.08111334949391112
short_stable_no_break,1,20260817,constant,short,stable,False,none,gross,cashflow_uplift,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,524373608.7811493,137675538.21388325,662049146.9950327,126772896.04883963,137675538.21388325,126772896.04883963,,,0.035071000005700625,True,True,True,True,-10902642.165043622,10902642.165043622,-7.91908446953447,7.91908446953447,-0.0791908446953447
short_stable_no_break,1,20260817,constant,short,stable,False,none,gross,regularized_poisson,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,524373608.7811493,137675538.21388325,662049146.9950327,116609091.53506358,137675538.21388325,116609091.53506358,0.001,,1.3715951000049245,True,True,True,True,-21066446.67881967,21066446.67881967,-15.301517576849626,15.301517576849626,-0.15301517576849627
short_stable_no_break,1,20260817,constant,short,stable,False,none,gross,regularized_poisson_break_interaction,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,524373608.7811493,137675538.21388325,662049146.9950327,116609091.53149298,137675538.21388325,116609091.53149298,0.001,,1.3619389000014053,True,True,True,True,-21066446.682390273,21066446.682390273,-15.301517579443116,15.301517579443116,-0.15301517579443116
short_stable_no_break,1,20260817,constant,short,stable,False,none,gross,regularized_tweedie,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,524373608.7811493,137675538.21388325,662049146.9950327,119341440.12587157,137675538.21388325,119341440.12587157,0.0001,1.9,5.478857100002642,True,True,True,True,-18334098.088011682,18334098.088011682,-13.316888625144932,13.316888625144932,-0.13316888625144932
short_stable_no_break,1,20260817,constant,short,stable,False,none,gross,chain_ladder,10,2015,2020,2024,True,success,,,,,2015,2024,False,True,False,524373608.7811493,137675538.21388325,662049146.9950327,130515953.77831121,137675538.21388325,130515953.77831121,,,0.021507999997993466,True,True,True,True,-7159584.435572043,7159584.435572043,-5.200331539252387,5.200331539252387,-0.05200331539252387
short_stable_no_break,1,20260817,constant,short,stable,False,none,gross,inflation_adjusted_chain_ladder,10,2015,2020,2024,True,success,,,,,2015,2024,False,True,False,524373608.7811493,137675538.21388325,662049146.9950327,131176100.29033662,137675538.21388325,131176100.29033662,,,0.038701399993442465,True,True,True,True,-6499437.923546627,6499437.923546627,-4.720837127543708,4.720837127543708,-0.04720837127543709
short_stable_no_break,1,20260817,constant,short,stable,False,none,gross,cashflow_uplift,10,2015,2020,2024,True,success,,,,,2015,2024,False,True,False,524373608.7811493,137675538.21388325,662049146.9950327,130515953.77831121,137675538.21388325,130515953.77831121,,,0.030986999998276588,True,True,True,True,-7159584.435572043,7159584.435572043,-5.200331539252387,5.200331539252387,-0.05200331539252387
short_stable_no_break,1,20260817,constant,short,stable,False,none,gross,regularized_poisson,10,2015,2020,2024,True,success,,,,,2015,2024,False,True,False,524373608.7811493,137675538.21388325,662049146.9950327,119552410.2017279,137675538.21388325,119552410.2017279,0.01,,0.6852752999984659,True,True,True,True,-18123128.012155354,18123128.012155354,-13.163651471622002,13.163651471622002,-0.13163651471622
