model,basis,structural_break,mean_estimated_reserve_at_1_00,estimated_reserve_change_per_0_10,estimated_reserve_percent_change_per_0_10_vs_1_00,mean_signed_error_change_per_0_10,MPE_percentage_point_change_per_0_10,MAPE_percentage_point_linear_change_per_0_10,estimated_reserve_linear_R_squared,signed_error_linear_R_squared,MPE_linear_R_squared,MAPE_linear_R_squared
bornhuetter_ferguson_break_aware,ceded,False,257434293.58723658,25743429.358723655,9.999999999999998,25743429.35872367,6.124499031295169,-6.124499031295169,1.0,1.0,1.0,1.0
bornhuetter_ferguson_break_aware,ceded,True,174766445.05525747,17476644.505525738,9.999999999999996,17476644.50552575,5.4618765988418945,-5.4618765988418945,1.0,1.0,1.0,1.0
bornhuetter_ferguson_break_aware,gross,False,685453545.0305365,68545354.50305359,9.999999999999991,68545354.50305365,7.895232260121779,-7.496902754672835,1.0,1.0,1.0,0.9977582089669672
bornhuetter_ferguson_break_aware,gross,True,488739382.0424865,48873938.20424861,9.999999999999991,48873938.20424867,7.3019259549980395,-7.24137959995375,1.0,1.0,1.0,0.9999300958405342
bornhuetter_ferguson_standard,ceded,False,257434293.58723658,25743429.358723655,9.999999999999998,25743429.35872367,6.124499031295169,-6.124499031295169,1.0,1.0,1.0,1.0
bornhuetter_ferguson_standard,ceded,True,222802115.8659797,22280211.586597964,9.999999999999998,22280211.586597975,6.974381843753315,-6.9656981805689355,1.0,1.0,1.0,0.9999984459107388
bornhuetter_ferguson_standard,gross,False,685453545.0305365,68545354.50305359,9.999999999999991,68545354.50305365,7.895232260121779,-7.496902754672835,1.0,1.0,1.0,0.9977582089669672
bornhuetter_ferguson_standard,gross,True,641151880.7471789,64115188.07471785,9.999999999999993,64115188.074717894,9.584389379291267,-2.2244334707957525,1.0,1.0,1.0,0.29014391824890007
expected_loss,ceded,False,444201681.75876313,58105084.28953743,13.080788901896394,58105084.28953741,13.947490206605417,3.6365180204794094,0.9997694241435503,0.9997694241435503,0.9997535880012016,0.3259302471933928
expected_loss,ceded,True,343859346.50445324,50877618.12643625,14.796055027626638,50877618.12643626,16.065576477585267,4.872695840286726,0.9995271738546949,0.9995271738546949,0.9995056638198079,0.4111841568402991
expected_loss,gross,False,936572892.8192855,184255139.35997438,19.673336776310794,184255139.3599744,21.29372836580351,6.307077033641811,0.9973319091036988,0.9973319091036988,0.9973103251600827,0.3410984994667454
expected_loss,gross,True,742638700.9174421,170801450.00926518,22.999265968533585,170801450.00926518,25.59861699498992,9.015388657569924,0.9956052613992984,0.9956052613992983,0.9955796473606868,0.4290501528247638
