scenario_id,model,pattern_variant,basis,attempted_fits,successful_fits,success_rate,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,RMSE,percentage_error_std,mean_runtime_seconds
long_emerging_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-45.14987093013514,-45.1490800154465,45.14987093013514,148631957.5404845,4.443189661049075,0.003564945999823976
long_emerging_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-30.132740820250845,-30.131733365164095,30.132740820250845,101700976.36491627,5.659667331646307,0.003711466000386281
long_emerging_no_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-38.475049501830355,-38.90744201371866,38.475049501830355,168849656.9565923,4.720579721872235,0.003642678000032902
long_emerging_no_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-38.475049501830355,-38.90744201371866,38.475049501830355,168849656.9565923,4.720579721872235,0.003936072000069544
long_shock_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-45.339030857174464,-45.59877775709409,45.339030857174464,183736171.0332292,4.183950862096046,0.004067008000711212
long_shock_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-30.838827777996013,-31.167479105646876,30.838827777996013,127589846.99352235,5.2938495361421385,0.004007342000550125
long_shock_no_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-38.78976904397378,-39.266851363503804,38.78976904397378,207628892.1930216,4.427781050731622,0.003590282000659499
long_shock_no_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-38.78976904397378,-39.266851363503804,38.78976904397378,207628892.1930216,4.427781050731622,0.0036442359998181927
long_stable_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-45.65480024743361,-45.576911308978,45.65480024743361,115750398.53689295,4.773594582829815,0.003584331999882124
long_stable_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-29.796976089153787,-29.696359309131154,29.796976089153787,77916103.11272654,6.16652024769238,0.003678409999993164
long_stable_no_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-39.0002105153408,-39.416263839261944,39.0002105153408,128355236.5876696,5.082269040476361,0.00439282999956049
long_stable_no_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-39.0002105153408,-39.416263839261944,39.0002105153408,128355236.5876696,5.082269040476361,0.003660082000133116
short_emerging_no_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-55.42616231433485,-55.92107986345013,55.42616231433485,40189739.295613825,5.969356229401114,0.0036032580003666228
short_emerging_no_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-55.42616231433485,-55.92107986345013,55.42616231433485,40189739.295613825,5.969356229401114,0.0036318580008810387
short_shock_no_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-56.25406514456132,-56.17513480054913,56.25406514456132,51540927.93690213,5.4425876374150235,0.003599195999413496
short_shock_no_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-56.25406514456132,-56.17513480054913,56.25406514456132,51540927.93690213,5.4425876374150235,0.003661666000407422
short_stable_no_break,bornhuetter_ferguson_break_aware,frozen_break_aware,ceded,50,50,1.0,-54.30129061064684,-55.32187143692232,54.30129061064684,31599022.164821107,6.891181998767505,0.0035715179999533577
short_stable_no_break,bornhuetter_ferguson_standard,frozen_standard,ceded,50,50,1.0,-54.30129061064684,-55.32187143692232,54.30129061064684,31599022.164821107,6.891181998767505,0.003739870000281371
