calibration_version,scenario_id,tail_type,inflation_scenario,structural_break_regime,development_year,incremental_ceded_paid,cumulative_ceded_paid,total_ceded_ultimate,incremental_paid_proportion,cumulative_paid_proportion,incremental_gross_paid,cumulative_gross_paid,total_gross_ultimate,gross_incremental_paid_proportion,gross_cumulative_paid_proportion,calibration_simulations,contributing_accident_years,positive_ceded_accident_years,natural_terminal_development_year,calibration_seed_start,calibration_seed_end,split_half_max_abs_cumulative_difference,available,calibration_source
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,1,461940629.4471524,461940629.4471524,747073679494.3429,0.0006183334283170264,0.0006183334283170264,81705893937.87932,81705893937.87932,2268975883960.837,0.036010031889474936,0.036010031889474936,2000,14000,14000,14,91000001,91002000,0.0020929666337150543,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,2,19809923468.02707,20271864097.47422,747073679494.3429,0.026516693080976195,0.02713502650929322,330268334499.40045,411974228437.2798,2268975883960.837,0.14555832736435598,0.1815683592538309,2000,14000,14000,14,91000001,91002000,0.0020929666337150543,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,3,67111980599.94706,87383844697.42128,747073679494.3429,0.08983314824499215,0.11696817475428538,422587807355.4138,834562035792.6936,2268975883960.837,0.1862460550341873,0.3678144142880182,2000,14000,14000,14,91000001,91002000,0.0020929666337150543,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,4,108005864687.16573,195389709384.587,747073679494.3429,0.14457190455467464,0.26154007930896,400622652431.80145,1235184688224.495,2268975883960.837,0.17656540788457153,0.5443798221725897,2000,14000,14000,14,91000001,91002000,0.0020929666337150543,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,5,121793892208.45502,317183601593.042,747073679494.3429,0.16302795233114256,0.42456803164010254,323177649373.8476,1558362337598.3428,2268975883960.837,0.14243326765099532,0.6868130898235851,2000,14000,14000,14,91000001,91002000,0.0020929666337150543,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,6,113191918751.03645,430375520344.0784,747073679494.3429,0.15151372864273635,0.5760817602828389,239249023587.55295,1797611361185.8958,2268975883960.837,0.10544361677829206,0.7922567066018772,2000,14000,14000,14,91000001,91002000,0.0020929666337150543,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,7,97594617097.1057,527970137441.18414,747073679494.3429,0.1306358660141295,0.7067176262969683,167341702819.54095,1964953064005.4368,2268975883960.837,0.07375208524800227,0.8660087918498796,2000,14000,14000,14,91000001,91002000,0.0020929666337150543,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,8,81439882163.88759,609410019605.0718,747073679494.3429,0.10901184769219845,0.8157294739891668,120730832463.36536,2085683896468.8022,2268975883960.837,0.0532093942984584,0.919218186148338,2000,14000,14000,14,91000001,91002000,0.0020929666337150543,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,9,62904744463.41675,672314764068.4885,747073679494.3429,0.08420152682395912,0.899931000813126,86218050870.78967,2171901947339.5918,2268975883960.837,0.037998663397110756,0.9572168495454486,2000,14000,14000,14,91000001,91002000,0.0020929666337150543,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,10,42274823685.7553,714589587754.2438,747073679494.3429,0.05658722137603487,0.9565182221891608,55855210077.86082,2227757157417.4526,2268975883960.837,0.024616925403524868,0.9818337749489735,2000,14000,14000,14,91000001,91002000,0.0020929666337150543,True,regenerated_frozen_step19_simulations
