calibration_version,scenario_id,tail_type,inflation_scenario,structural_break_regime,development_year,incremental_gross_paid,cumulative_gross_paid,incremental_ceded_paid,cumulative_ceded_paid,total_gross_ultimate,total_ceded_ultimate
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,1,81705893937.87932,81705893937.87932,461940629.4471524,461940629.4471524,2268975883960.837,747073679494.3429
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,2,330268334499.40045,411974228437.2798,19809923468.02707,20271864097.47422,2268975883960.837,747073679494.3429
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,3,422587807355.4138,834562035792.6936,67111980599.94706,87383844697.42128,2268975883960.837,747073679494.3429
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,4,400622652431.80145,1235184688224.495,108005864687.16573,195389709384.587,2268975883960.837,747073679494.3429
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,5,323177649373.8476,1558362337598.3428,121793892208.45502,317183601593.042,2268975883960.837,747073679494.3429
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,6,239249023587.55295,1797611361185.8958,113191918751.03645,430375520344.0784,2268975883960.837,747073679494.3429
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,7,167341702819.54095,1964953064005.4368,97594617097.1057,527970137441.18414,2268975883960.837,747073679494.3429
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,8,120730832463.36536,2085683896468.8022,81439882163.88759,609410019605.0718,2268975883960.837,747073679494.3429
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,9,86218050870.78967,2171901947339.5918,62904744463.41675,672314764068.4885,2268975883960.837,747073679494.3429
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,10,55855210077.86082,2227757157417.4526,42274823685.7553,714589587754.2438,2268975883960.837,747073679494.3429
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,11,25146349213.27421,2252903506630.727,19662530408.93153,734252118163.1753,2268975883960.837,747073679494.3429
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,12,10847165954.364458,2263750672585.0913,8638366573.31912,742890484736.4944,2268975883960.837,747073679494.3429
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,13,4053842964.3278675,2267804515549.419,3244512785.7740493,746134997522.2684,2268975883960.837,747073679494.3429
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,14,1171368411.42119,2268975883960.8403,938681972.0728177,747073679494.3413,2268975883960.837,747073679494.3429
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,1,74656805008.74658,74656805008.74658,136641464.7901646,136641464.7901646,4331489104457.359,1273888669625.9465
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,2,426941388288.95605,501598193297.70264,11725955087.313528,11862596552.103693,4331489104457.359,1273888669625.9465
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,3,595340349557.8362,1096938542855.5388,48443737430.83413,60306333982.93782,4331489104457.359,1273888669625.9465
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,4,591571730992.706,1688510273848.2449,87127632563.73648,147433966546.67432,4331489104457.359,1273888669625.9465
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,5,490177571759.47925,2178687845607.724,104437226016.49371,251871192563.16803,4331489104457.359,1273888669625.9465
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,6,406391502024.67303,2585079347632.397,113803332250.48775,365674524813.65576,4331489104457.359,1273888669625.9465
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,7,339939506392.96826,2925018854025.365,122252831950.15929,487927356763.81506,4331489104457.359,1273888669625.9465
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,8,289176841564.14185,3214195695589.507,125982052702.11595,613909409465.931,4331489104457.359,1273888669625.9465
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,9,302136672421.78705,3516332368011.294,154458404165.16342,768367813631.0945,4331489104457.359,1273888669625.9465
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,10,440174992011.0272,3956507360022.3213,262174218743.85843,1030542032374.9529,4331489104457.359,1273888669625.9465
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,11,210144067274.26904,4166651427296.5903,132413448528.63312,1162955480903.586,4331489104457.359,1273888669625.9465
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,12,100756652216.36302,4267408079512.953,66632190190.99682,1229587671094.5828,4331489104457.359,1273888669625.9465
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,13,43733748956.33809,4311141828469.291,29808198547.339314,1259395869641.922,4331489104457.359,1273888669625.9465
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,14,20347275988.07379,4331489104457.3647,14492799984.02466,1273888669625.9468,4331489104457.359,1273888669625.9465
step28_ceded_development_v1,long_shock_break,long,shock,post_break,1,83757483753.85986,83757483753.85986,504794773.48003066,504794773.48003066,2462563879515.2153,900451747658.6122
step28_ceded_development_v1,long_shock_break,long,shock,post_break,2,344696312171.8543,428453795925.7142,22334469519.32121,22839264292.80124,2462563879515.2153,900451747658.6122
