calibration_version,scenario_id,tail_type,inflation_scenario,structural_break_regime,basis,maximum_observed_development_year,total_payment_volume
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,gross,14,2268975883960.8403
step28_ceded_development_v1,long_emerging_break,long,emerging,post_break,ceded,14,747073679494.3413
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,gross,14,4331489104457.365
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,ceded,14,1273888669625.9468
step28_ceded_development_v1,long_shock_break,long,shock,post_break,gross,14,2462563879515.211
step28_ceded_development_v1,long_shock_break,long,shock,post_break,ceded,14,900451747658.6112
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,gross,14,4603147293307.795
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,ceded,14,1482911274096.5186
step28_ceded_development_v1,long_stable_break,long,stable,post_break,gross,14,2068607150393.2468
step28_ceded_development_v1,long_stable_break,long,stable,post_break,ceded,14,591316726645.019
step28_ceded_development_v1,long_stable_no_break,long,stable,no_break,gross,14,4023240253277.725
step28_ceded_development_v1,long_stable_no_break,long,stable,no_break,ceded,14,1036596463846.5604
step28_ceded_development_v1,short_emerging_no_break,short,emerging,no_break,gross,6,3529260404636.793
step28_ceded_development_v1,short_emerging_no_break,short,emerging,no_break,ceded,6,760997060673.8054
step28_ceded_development_v1,short_shock_no_break,short,shock,no_break,gross,6,3608262300635.713
step28_ceded_development_v1,short_shock_no_break,short,shock,no_break,ceded,6,823448054520.3514
step28_ceded_development_v1,short_stable_no_break,short,stable,no_break,gross,6,3448067459558.9077
step28_ceded_development_v1,short_stable_no_break,short,stable,no_break,ceded,6,703946606342.7661
