scenario_id,basis,baseline_model,ceded_specific_model,attempted_pairs,successful_pairs,baseline_successful_fits,ceded_specific_successful_fits,baseline_success_rate,ceded_specific_success_rate,baseline_mean_percentage_error,ceded_specific_mean_percentage_error,baseline_median_percentage_error,ceded_specific_median_percentage_error,baseline_mean_absolute_percentage_error,ceded_specific_mean_absolute_percentage_error,mape_difference_ceded_specific_minus_baseline,baseline_RMSE,ceded_specific_RMSE,baseline_percentage_error_std,ceded_specific_percentage_error_std,mean_paired_ape_difference,median_paired_ape_difference,ceded_specific_win_rate,tie_rate,ceded_specific_loss_rate
long_emerging_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_break_aware_ceded_specific,50,50,50,50,1.0,1.0,-45.14987093013515,1.7361196398547698,-45.1490800154465,1.7375866298646923,45.14987093013515,6.748986049889644,-38.4008848802455,148631957.5404845,26029559.284783106,4.443189661049075,8.241236303442088,-38.4008848802455,-41.51977376862333,1.0,0.0,0.0
long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_break_aware_ceded_specific,50,50,50,50,1.0,1.0,-38.475049501830355,1.5113766720917854,-38.90744201371866,0.7979627028145428,38.475049501830355,6.554134291190045,-31.92091521064031,168849656.9565923,32636623.254812807,4.720579721872235,7.788588895684956,-31.92091521064031,-35.13449718782044,1.0,0.0,0.0
long_shock_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_break_aware_ceded_specific,50,50,50,50,1.0,1.0,-45.339030857174464,-0.5883918536481264,-45.59877775709409,-1.0607921318899631,45.339030857174464,6.096330781524511,-39.24270007564996,183736171.0332292,30296659.21372178,4.183950862096046,7.60932874277214,-39.24270007564996,-41.492283330433054,1.0,0.0,0.0
long_shock_no_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_break_aware_ceded_specific,50,50,50,50,1.0,1.0,-38.78976904397377,-0.01352790736757845,-39.266851363503804,-0.7928384455331263,38.78976904397377,6.03032896204903,-32.75944008192474,207628892.1930216,37417688.77062617,4.427781050731622,7.232748505381646,-32.75944008192474,-35.07775408522737,1.0,0.0,0.0
long_stable_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_break_aware_ceded_specific,50,50,50,50,1.0,1.0,-45.65480024743361,2.6006000400853826,-45.576911308978,2.7476498597275234,45.65480024743361,7.7247893481141015,-37.930010899319505,115750398.53689295,22037734.043616243,4.773594582829816,9.01227101522083,-37.930010899319505,-41.41973218500172,1.0,0.0,0.0
long_stable_no_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_break_aware_ceded_specific,50,50,50,50,1.0,1.0,-39.0002105153408,2.312821408472239,-39.416263839261944,1.6149896653405675,39.0002105153408,7.364594769621686,-31.635615745719118,128355236.5876696,26759148.89497514,5.082269040476361,8.524312773552035,-31.635615745719118,-35.66080717555225,1.0,0.0,0.0
short_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_break_aware_ceded_specific,50,50,50,50,1.0,1.0,-55.42616231433485,4.1099235507745355,-55.92107986345013,2.9539578346141036,55.42616231433485,11.126378622341754,-44.2997836919931,40189739.295613825,9274951.435587252,5.969356229401115,13.942466095759865,-44.2997836919931,-49.370200909725284,0.98,0.0,0.02
short_shock_no_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_break_aware_ceded_specific,50,50,50,50,1.0,1.0,-56.25406514456132,2.207809907143179,-56.17513480054913,2.392222415948006,56.25406514456132,9.805764945647118,-46.44830019891421,51540927.93690213,10654398.47874353,5.442587637415023,12.716037832683869,-46.44830019891421,-51.203322277552914,0.98,0.0,0.02
short_stable_no_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_break_aware_ceded_specific,50,50,50,50,1.0,1.0,-54.30129061064683,6.269932257423486,-55.32187143692232,3.8966255115487485,54.30129061064683,13.073480251433685,-41.22781035921315,31599022.164821107,8461436.992943702,6.891181998767506,16.02507935056073,-41.22781035921315,-46.50808172337618,0.96,0.0,0.04
long_emerging_break,ceded,bornhuetter_ferguson_standard,bornhuetter_ferguson_ceded_specific,50,50,50,50,1.0,1.0,-30.132740820250845,15.88541671370389,-30.131733365164095,15.887087730341996,30.132740820250845,16.04327092748193,-14.089469892768914,101700976.36491627,55125286.88343669,5.659667331646307,9.387414289451213,-14.089469892768914,-14.244645634822099,0.8,0.0,0.2
