scenario_id,simulation_id,payment_rows_compared,claims_compared,max_absolute_ceded_payment_difference,max_relative_ceded_payment_difference,nonmatching_payment_rows,nonmatching_claim_rows,nonmatching_attachment_or_exhaustion_flags,missing_step29_payment_rows,missing_baseline_payment_rows,missing_step29_claim_rows,missing_baseline_claim_rows,passed,max_absolute_frozen_step16_truth_difference,max_relative_frozen_step16_truth_difference,nonmatching_frozen_step16_truth_values
short_stable_no_break,1,2788,697,0.0,0.0,0,0,0,0,0,0,0,True,2.9802322387695312e-08,2.1646781101662718e-16,0
short_emerging_no_break,1,2788,697,0.0,0.0,0,0,0,0,0,0,0,True,2.9802322387695312e-08,1.948807391744086e-16,0
short_shock_no_break,1,2788,697,0.0,0.0,0,0,0,0,0,0,0,True,5.960464477539063e-08,3.476300349837657e-16,0
long_stable_no_break,1,6970,697,0.0,0.0,0,0,0,0,0,0,0,True,2.384185791015625e-07,1.97465697844479e-16,0
long_emerging_no_break,1,6970,697,0.0,0.0,0,0,0,0,0,0,0,True,4.76837158203125e-07,2.417616582774812e-16,0
long_shock_no_break,1,6970,697,0.0,0.0,0,0,0,0,0,0,0,True,4.76837158203125e-07,2.26616162212937e-16,0
long_stable_break,1,6970,697,0.0,0.0,0,0,0,0,0,0,0,True,0.0,0.0,0
long_emerging_break,1,6970,697,0.0,0.0,0,0,0,0,0,0,0,True,2.9802322387695312e-08,1.609631782970817e-16,0
long_shock_break,1,6970,697,0.0,0.0,0,0,0,0,0,0,0,True,4.76837158203125e-07,3.0553705516692654e-16,0
short_stable_no_break,2,2968,742,0.0,0.0,0,0,0,0,0,0,0,True,2.384185791015625e-07,2.0991961005461796e-16,0
short_emerging_no_break,2,2968,742,0.0,0.0,0,0,0,0,0,0,0,True,0.0,0.0,0
short_shock_no_break,2,2968,742,0.0,0.0,0,0,0,0,0,0,0,True,4.76837158203125e-07,2.734456621657683e-16,0
long_stable_no_break,2,7420,742,0.0,0.0,0,0,0,0,0,0,0,True,1.1920928955078125e-07,1.5897156826682322e-16,0
long_emerging_no_break,2,7420,742,0.0,0.0,0,0,0,0,0,0,0,True,4.76837158203125e-07,2.2740260812139893e-16,0
long_shock_no_break,2,7420,742,0.0,0.0,0,0,0,0,0,0,0,True,1.1920928955078125e-07,3.1882314913555734e-16,0
long_stable_break,2,7420,742,0.0,0.0,0,0,0,0,0,0,0,True,2.384185791015625e-07,1.4614213038052291e-16,0
long_emerging_break,2,7420,742,0.0,0.0,0,0,0,0,0,0,0,True,0.0,0.0,0
long_shock_break,2,7420,742,0.0,0.0,0,0,0,0,0,0,0,True,2.384185791015625e-07,3.7545825395351804e-16,0
