scenario_id,simulation_id,treaty_variant,development_year,incremental_gross_paid,incremental_ceded_paid,incremental_retained_paid,cumulative_ceded_paid,cumulative_ceded_proportion
short_stable_no_break,1,fixed_nominal,1,765869653.215571,73204893.53710264,692664759.6784683,73204893.53710264,0.24346063917119076
short_stable_no_break,1,fixed_nominal,2,449227359.759843,102593591.60167849,346633768.1581645,175798485.13878113,0.5846605259458821
short_stable_no_break,1,fixed_nominal,3,220492909.31616357,70074375.60071188,150418533.7154517,245872860.739493,0.8177098679905456
short_stable_no_break,1,fixed_nominal,4,106630761.33934844,44658172.72669875,61972588.61264968,290531033.46619177,0.9662314592520502
short_stable_no_break,1,fixed_nominal,5,16693147.130517831,8420280.76160206,8272866.36891577,298951314.2277938,0.9942351463987504
short_stable_no_break,1,fixed_nominal,6,2960290.729428324,1733403.377125422,1226887.3523029021,300684717.60491925,1.0
short_emerging_no_break,1,fixed_nominal,1,780694892.7386584,77746856.06365141,702948036.675007,77746856.06365141,0.2368256819847714
short_emerging_no_break,1,fixed_nominal,2,461539680.70569676,109997888.64103192,351541792.06466484,187744744.70468333,0.571891642375117
short_emerging_no_break,1,fixed_nominal,3,229144029.89880353,76779534.22759855,152364495.67120498,264524278.93228188,0.8057707530755855
short_emerging_no_break,1,fixed_nominal,4,112076109.115064,52125301.15857893,59950807.95648506,316649580.09086084,0.9645502924750375
short_emerging_no_break,1,fixed_nominal,5,17802370.063483793,9828687.88452775,7973682.178956043,326478267.9753886,0.994489583002272
short_emerging_no_break,1,fixed_nominal,6,3255186.7568242773,1808999.740157427,1446187.0166668503,328287267.715546,1.0
short_shock_no_break,1,fixed_nominal,1,793307129.7557566,81871649.09085205,711435480.6649046,81871649.09085205,0.22671274532683153
short_shock_no_break,1,fixed_nominal,2,475023288.43333215,118216300.49808764,356806987.9352445,200087949.5889397,0.554068335765253
short_shock_no_break,1,fixed_nominal,3,238927719.1178144,87556395.71927309,151371323.3985413,287644345.30821276,0.7965228492001949
short_shock_no_break,1,fixed_nominal,4,117868603.51708387,60242995.36086807,57625608.15621581,347887340.66908085,0.9633431712120065
short_shock_no_break,1,fixed_nominal,5,18907776.88135735,11117595.598317249,7790181.283040101,359004936.2673981,0.9941291715859704
short_shock_no_break,1,fixed_nominal,6,3543458.31694862,2120103.142384525,1423355.1745640952,361125039.40978265,1.0
long_stable_no_break,1,fixed_nominal,1,33396230.13575997,0.0,33396230.13575997,0.0,0.0
long_stable_no_break,1,fixed_nominal,2,189002260.316432,6757654.824983276,182244605.49144873,6757654.824983276,0.015321334894451553
long_stable_no_break,1,fixed_nominal,3,260069411.74409384,23782690.992255814,236286720.75183803,30540345.81723909,0.0692427888338379
long_stable_no_break,1,fixed_nominal,4,258292611.49944326,32682363.069461297,225610248.42998198,63222708.88670039,0.14334207959341164
long_stable_no_break,1,fixed_nominal,5,209249075.53762603,39155005.53907855,170094069.9985475,102377714.42577894,0.2321165092136479
long_stable_no_break,1,fixed_nominal,6,171364766.21086922,40204119.315862626,131160646.89500661,142581833.74164158,0.32326954856355944
long_stable_no_break,1,fixed_nominal,7,141206103.9808256,40901915.71648912,100304188.26433648,183483749.45813072,0.41600467113894374
long_stable_no_break,1,fixed_nominal,8,118604747.50070713,41235415.947771266,77369331.55293587,224719165.40590197,0.5094959241860947
long_stable_no_break,1,fixed_nominal,9,122016209.89081207,49275143.92747825,72741065.96333382,273994309.3333802,0.6212153004546307
long_stable_no_break,1,fixed_nominal,10,174581810.61149436,86218483.20466729,88363327.40682708,360212792.5380475,0.8166946922676955
long_stable_no_break,1,fixed_nominal,11,81197638.74512689,43983755.83496606,37213882.91016083,404196548.37301356,0.9164171360024523
long_stable_no_break,1,fixed_nominal,12,40240583.8341444,23099747.008254237,17140836.825890165,427296295.3812678,0.9687901809502526
long_stable_no_break,1,fixed_nominal,13,14179519.845801875,8493075.578619724,5686444.26718215,435789370.9598875,0.9880461593324043
long_stable_no_break,1,fixed_nominal,14,8102724.544994511,5272381.918478507,2830342.626516004,441061752.878366,1.0
long_emerging_no_break,1,fixed_nominal,1,34006233.94256038,0.0,34006233.94256038,0.0,0.0
long_emerging_no_break,1,fixed_nominal,2,194097424.66236278,7688851.260269575,186408573.40209323,7688851.260269575,0.013829949121826956
long_emerging_no_break,1,fixed_nominal,3,269865293.95348626,25729520.31702262,244135773.63646367,33418371.577292196,0.060109678676766996
long_emerging_no_break,1,fixed_nominal,4,271115269.90767163,37563062.62992014,233552207.2777515,70981434.20721233,0.1276744198125685
long_emerging_no_break,1,fixed_nominal,5,222374723.78216305,45637111.764515,176737612.01764807,116618545.97172733,0.209761966105959
long_emerging_no_break,1,fixed_nominal,6,184763470.1119021,47542138.88845674,137221331.22344536,164160684.86018407,0.2952760877495522
long_emerging_no_break,1,fixed_nominal,7,154570972.57750642,49370176.02016564,105200796.55734079,213530860.8803497,0.384078302720556
long_emerging_no_break,1,fixed_nominal,8,131917725.96672092,52235333.47750167,79682392.48921925,265766194.35785136,0.4780340810158672
long_emerging_no_break,1,fixed_nominal,9,137867089.81950358,66769064.095714495,71098025.72378907,332535258.45356584,0.5981317039374164
long_emerging_no_break,1,fixed_nominal,10,200581167.12374407,114629267.63711858,85951899.48662551,447164526.0906844,0.8043155519051105
long_emerging_no_break,1,fixed_nominal,11,95520920.77454774,58604512.844609514,36916407.92993822,505769038.9352939,0.9097275833666201
long_emerging_no_break,1,fixed_nominal,12,48161977.676542774,31907847.53720107,16254130.139341708,537676886.472495,0.9671202800242779
long_emerging_no_break,1,fixed_nominal,13,17203438.31546256,10811325.15527444,6392113.160188122,548488211.6277694,0.9865666279604884
long_emerging_no_break,1,fixed_nominal,14,10298299.945845656,7468371.620590824,2829928.3252548333,555956583.2483602,0.9999999999999998
long_shock_no_break,1,fixed_nominal,1,34518103.34722074,0.0,34518103.34722074,0.0,0.0
long_shock_no_break,1,fixed_nominal,2,199449228.55560908,8767169.818618005,190682058.73699108,8767169.818618005,0.013399887984643886
long_shock_no_break,1,fixed_nominal,3,280849899.0332945,28355679.41737149,252494219.615923,37122849.235989496,0.05673917943014082
long_shock_no_break,1,fixed_nominal,4,284730250.94530237,43891366.03097115,240838884.9143312,81014215.26696065,0.12382347236342488
long_shock_no_break,1,fixed_nominal,5,235372369.88153923,52423732.888172105,182948636.99336714,133437948.15513276,0.20394877653474647
long_shock_no_break,1,fixed_nominal,6,197417273.21781805,55669193.67919225,141748079.5386258,189107141.83432502,0.2890344968903047
long_shock_no_break,1,fixed_nominal,7,166529710.38014996,60449570.15612449,106080140.22402546,249556711.9904495,0.38142662406135397
long_shock_no_break,1,fixed_nominal,8,143296268.08530915,66719781.80415893,76576486.2811502,316276493.7946084,0.48340224687146865
long_shock_no_break,1,fixed_nominal,9,150780887.10909194,82148604.87877408,68632282.23031788,398425098.6733825,0.6089595391612469
long_shock_no_break,1,fixed_nominal,10,220679936.03068012,131724363.2236084,88955572.80707173,530149461.8969909,0.8102892440218211
long_shock_no_break,1,fixed_nominal,11,105989704.20102116,67388508.67238341,38601195.52863775,597537970.5693743,0.913286960085736
long_shock_no_break,1,fixed_nominal,12,53731502.5731908,35737564.266395226,17993938.30679557,633275534.8357695,0.9679088469569994
long_shock_no_break,1,fixed_nominal,13,19231540.52696115,12949857.622783912,6281682.904177238,646225392.4585534,0.9877016244613075
long_shock_no_break,1,fixed_nominal,14,11585507.427448861,8046481.20673979,3539026.2207090724,654271873.6652932,1.0
long_stable_break,1,fixed_nominal,1,52363454.02117848,0.0,52363454.02117848,0.0,0.0
long_stable_break,1,fixed_nominal,2,232333657.26359048,14885909.336065657,217447747.92752483,14885909.336065657,0.0367313167318059
long_stable_break,1,fixed_nominal,3,301692548.3727185,33417676.617517833,268274871.75520065,48303585.953583494,0.11919018683288722
long_stable_break,1,fixed_nominal,4,288885879.31182456,56551332.31607435,232334546.99575022,104854918.26965785,0.2587318736732521
long_stable_break,1,fixed_nominal,5,228961822.72056565,56556226.86661447,172405595.85395116,161411145.1362723,0.3982856379273705
long_stable_break,1,fixed_nominal,6,175205524.35339615,48289119.59260291,126916404.76079324,209700264.72887522,0.5174401286885473
long_stable_break,1,fixed_nominal,7,130400443.78212446,42219525.40512565,88180918.37699881,251919790.13400087,0.6216177590174491
long_stable_break,1,fixed_nominal,8,100251006.29534796,39212310.56620683,61038695.72914113,291132100.7002077,0.7183750189655309
long_stable_break,1,fixed_nominal,9,87167241.48504825,36499643.06623038,50667598.41881788,327631743.76643807,0.808438710729081
long_stable_break,1,fixed_nominal,10,97219654.28161632,39991506.90697762,57228147.3746387,367623250.67341566,0.9071186552067382
long_stable_break,1,fixed_nominal,11,44257755.44391817,20575693.520506863,23682061.923411306,388198944.1939225,0.9578896426295364
long_stable_break,1,fixed_nominal,12,21348108.095067065,11111892.89287671,10236215.202190354,399310837.0867992,0.9853084887425702
long_stable_break,1,fixed_nominal,13,8254496.041946741,4217015.819244267,4037480.222702473,403527852.90604347,0.9957140703044847
long_stable_break,1,fixed_nominal,14,2962995.1807561093,1736936.3950121508,1226058.7857439583,405264789.3010556,1.0
long_emerging_break,1,fixed_nominal,1,53583461.634779304,0.0,53583461.634779304,0.0,0.0
long_emerging_break,1,fixed_nominal,2,239510219.96185997,16311226.728270609,223198993.23358935,16311226.728270609,0.03322858241233901
long_emerging_break,1,fixed_nominal,3,314264633.8373478,37925019.31642345,276339614.5209243,54236246.044694066,0.11048792352989929
long_emerging_break,1,fixed_nominal,4,304389030.0170968,64448236.620080456,239940793.39701638,118684482.66477452,0.2417793081410016
long_emerging_break,1,fixed_nominal,5,244251771.6213581,65641717.780569434,178610053.84078866,184326200.44534397,0.37550200510889603
long_emerging_break,1,fixed_nominal,6,189160174.27910516,60073632.537845366,129086541.74125978,244399832.98318934,0.4978816202565795
long_emerging_break,1,fixed_nominal,7,142175206.8958127,54870823.01159594,87304383.88421676,299270655.9947853,0.6096622787470642
long_emerging_break,1,fixed_nominal,8,110409484.46214457,51366334.06878903,59043150.39335553,350636990.0635743,0.7143037317327073
long_emerging_break,1,fixed_nominal,9,96248362.36990629,45683258.96284957,50565103.40705673,396320249.0264239,0.8073678501218099
long_emerging_break,1,fixed_nominal,10,106412671.19058907,48438525.512297444,57974145.678291626,444758774.5387213,0.9060448879517055
long_emerging_break,1,fixed_nominal,11,49502355.064067595,25412139.959379148,24090215.104688447,470170914.49810046,0.9578134888657368
long_emerging_break,1,fixed_nominal,12,24222915.156875107,13588394.57913891,10634520.577736197,483759309.0772394,0.9854952259077289
long_emerging_break,1,fixed_nominal,13,9495436.59801251,5150677.018503461,4344759.57950905,488909986.0957429,0.9959879802933966
long_emerging_break,1,fixed_nominal,14,3492866.0913767666,1969417.8421645826,1523448.249212184,490879403.93790746,1.0
long_shock_break,1,fixed_nominal,1,54607200.44410003,0.0,54607200.44410003,0.0,0.0
long_shock_break,1,fixed_nominal,2,247055604.8444316,18174696.858277626,228880907.98615396,18174696.858277626,0.03164300036670357
long_shock_break,1,fixed_nominal,3,328375127.51477575,43779791.036721885,284595336.47805387,61954487.89499951,0.10786567162398253
long_shock_break,1,fixed_nominal,4,320833223.5125429,73373999.55981973,247459223.95272318,135328487.45481923,0.23561324909845557
long_shock_break,1,fixed_nominal,5,259440118.01495662,78261062.39292936,181179055.62202728,213589549.84774858,0.3718694323684503
long_shock_break,1,fixed_nominal,6,202348369.84398484,75171183.12513123,127177186.71885361,288760732.9728798,0.5027459907915264
long_shock_break,1,fixed_nominal,7,152624930.27772135,67161910.99459316,85463019.28312819,355922643.967473,0.6196780304729752
long_shock_break,1,fixed_nominal,8,119073978.7967214,60201923.12828826,58872055.66843314,416124567.09576124,0.7244924045711639
long_shock_break,1,fixed_nominal,9,103847318.5352863,52247811.206152365,51599507.32913395,468372378.3019136,0.8154582964398229
long_shock_break,1,fixed_nominal,10,114485829.86240911,53710752.08974013,60775077.77266899,522083130.3916538,0.908971237058555
long_shock_break,1,fixed_nominal,11,54094424.31634272,28806401.203395642,25288023.112947077,550889531.5950494,0.959124533751771
long_shock_break,1,fixed_nominal,12,26735347.2073132,15590938.9554788,11144408.2518344,566480470.5505282,0.9862690903258068
long_shock_break,1,fixed_nominal,13,10539202.98225676,6056714.545104073,4482488.437152688,572537185.0956322,0.9968141146564028
long_shock_break,1,fixed_nominal,14,3910998.4730357267,1829867.5749484142,2081130.8980873125,574367052.6705806,1.0000000000000002
short_stable_no_break,2,fixed_nominal,1,815038275.3082645,63913689.990467764,751124585.3177967,63913689.990467764,0.18936132228086797
short_stable_no_break,2,fixed_nominal,2,484093392.81378657,123807444.04680178,360285948.76698476,187721134.03726953,0.5561738364138104
short_stable_no_break,2,fixed_nominal,3,234313173.46722588,88418617.82475664,145894555.64246923,276139751.86202615,0.8181375313286202
short_stable_no_break,2,fixed_nominal,4,113285861.42894931,51169280.01896999,62116581.40997931,327309031.88099617,0.9697401461361407
short_stable_no_break,2,fixed_nominal,5,17798536.64993701,8493467.458030697,9305069.191906314,335802499.33902687,0.9949043046887462
short_stable_no_break,2,fixed_nominal,6,2874141.2212750325,1719911.3656710056,1154229.855604027,337522410.70469785,1.0
short_emerging_no_break,2,fixed_nominal,1,828504434.8471228,68404357.26441807,760100077.5827048,68404357.26441807,0.18714385060937258
short_emerging_no_break,2,fixed_nominal,2,495676310.7922004,132832708.79644807,362843601.99575233,201237066.06086612,0.5505538087637721
short_emerging_no_break,2,fixed_nominal,3,242152488.4897626,96249015.84957027,145903472.64019233,297486081.9104364,0.8138763829942975
short_emerging_no_break,2,fixed_nominal,4,118411224.1325963,56276171.52615089,62135052.60644541,353762253.4365873,0.967839373922592
short_emerging_no_break,2,fixed_nominal,5,18835995.700638372,9711555.836070174,9124439.864568196,363473809.27265745,0.9944087041122565
short_emerging_no_break,2,fixed_nominal,6,3107282.411030045,2043716.6395310266,1063565.7714990182,365517525.9121885,1.0
short_shock_no_break,2,fixed_nominal,1,839584733.6258686,72801714.80967325,766783018.8161954,72801714.80967325,0.1842174661133527
short_shock_no_break,2,fixed_nominal,2,506980209.9220522,143549763.14308253,363430446.77896965,216351477.95275578,0.5474558004922143
short_shock_no_break,2,fixed_nominal,3,250123550.2244792,104301363.49470748,145822186.7297717,320652841.4474633,0.8113799806491597
short_shock_no_break,2,fixed_nominal,4,123778460.48617837,61450280.79091378,62328179.695264585,382103122.23837703,0.9668737770363849
short_shock_no_break,2,fixed_nominal,5,19967170.281726845,10826051.2320817,9141119.049645143,392929173.47045875,0.9942680181088828
short_shock_no_break,2,fixed_nominal,6,3375429.5277226428,2265247.263115384,1110182.2646072586,395194420.73357415,1.0
long_stable_no_break,2,fixed_nominal,1,35646298.406584784,0.0,35646298.406584784,0.0,0.0
long_stable_no_break,2,fixed_nominal,2,202084438.85279384,1256790.9474078887,200827647.90538594,1256790.9474078887,0.0025192820229526236
long_stable_no_break,2,fixed_nominal,3,276615492.6614592,15608496.86633629,261006995.79512292,16865287.81374418,0.03380706750690666
long_stable_no_break,2,fixed_nominal,4,265740475.25487545,38670641.365929194,227069833.88894624,55535929.17967337,0.11132373948020927
long_stable_no_break,2,fixed_nominal,5,224464937.80880758,46671468.24619128,177793469.5626163,102207397.42586465,0.20487835266384005
long_stable_no_break,2,fixed_nominal,6,185825230.59177974,45956886.45504304,139868344.13673672,148164283.88090768,0.2970005613063003
long_stable_no_break,2,fixed_nominal,7,153811580.24675998,50584741.33278167,103226838.91397832,198749025.21368936,0.39839946916621344
long_stable_no_break,2,fixed_nominal,8,127688469.04646146,50756602.293998696,76931866.75246277,249505627.50768805,0.500142878417495
long_stable_no_break,2,fixed_nominal,9,130790786.20960347,58931999.146468386,71858787.06313509,308437626.65415645,0.6182741605790723
long_stable_no_break,2,fixed_nominal,10,187220769.95846614,101676574.992211,85544194.96625516,410114201.64636743,0.8220884608503949
long_stable_no_break,2,fixed_nominal,11,86287943.83820462,47497362.84867527,38790580.98952935,457611564.4950427,0.9172986090529426
long_stable_no_break,2,fixed_nominal,12,38313683.60556026,21991526.27599165,16322157.329568613,479603090.77103436,0.961381403346348
long_stable_no_break,2,fixed_nominal,13,24457374.36748982,13640159.75813207,10817214.609357748,493243250.52916646,0.9887235872948702
long_stable_no_break,2,fixed_nominal,14,7866921.443862049,5625449.3454577625,2241472.0984042855,498868699.87462425,1.0
long_emerging_no_break,2,fixed_nominal,1,36254382.9986632,0.0,36254382.9986632,0.0,0.0
long_emerging_no_break,2,fixed_nominal,2,207216690.0051012,1395832.6941318917,205820857.31096932,1395832.6941318917,0.0022660200172834113
long_emerging_no_break,2,fixed_nominal,3,286103372.5648688,18603788.152889412,267499584.41197944,19999620.847021304,0.032467745860913805
long_emerging_no_break,2,fixed_nominal,4,277426053.5275512,44137925.877562046,233288127.64998913,64137546.72458335,0.10412205226912612
long_emerging_no_break,2,fixed_nominal,5,237259686.85929447,52324879.30639461,184934807.55289987,116462426.03097796,0.18906720680569494
long_emerging_no_break,2,fixed_nominal,6,199202726.88521883,55551712.6303924,143651014.25482643,172014138.66137037,0.2792508608668531
long_emerging_no_break,2,fixed_nominal,7,167332066.93433544,61506305.90111458,105825761.03322087,233520444.56248495,0.3791013092386499
long_emerging_no_break,2,fixed_nominal,8,140999046.41784817,61923216.539650686,79075829.87819748,295443661.10213566,0.4796285778743027
long_emerging_no_break,2,fixed_nominal,9,146821048.14088207,74818045.9708833,72003002.16999876,370261707.07301897,0.6010895456083285
long_emerging_no_break,2,fixed_nominal,10,214015152.4773958,129814759.7576494,84200392.7197464,500076466.8306684,0.8118331722523647
long_emerging_no_break,2,fixed_nominal,11,99890659.9494747,62262678.060639106,37627981.888835594,562339144.8913075,0.9129115288550003
long_emerging_no_break,2,fixed_nominal,12,44909534.82793483,29252470.457060196,15657064.370874636,591591615.3483677,0.9604005179647701
long_emerging_no_break,2,fixed_nominal,13,29621225.594026946,17201569.486980643,12419656.107046302,608793184.8353484,0.988325856689145
long_emerging_no_break,2,fixed_nominal,14,9833529.915133232,7191088.686324916,2642441.2288083155,615984273.5216733,1.0
long_shock_no_break,2,fixed_nominal,1,36744077.16680767,0.0,36744077.16680767,0.0,0.0
long_shock_no_break,2,fixed_nominal,2,212450508.21321526,1521565.5838886444,210928942.6293266,1521565.5838886444,0.0021104506235391763
long_shock_no_break,2,fixed_nominal,3,296271736.0867728,22219299.905568145,274052436.1812047,23740865.489456788,0.0329291914237005
long_shock_no_break,2,fixed_nominal,4,289675344.7151811,50197061.1404401,239478283.57474098,73937926.62989688,0.10255380708629362
long_shock_no_break,2,fixed_nominal,5,250398656.15424627,60348124.152343966,190050532.00190228,134286050.78224084,0.18625820839197857
long_shock_no_break,2,fixed_nominal,6,212523640.332463,66481808.26478181,146041832.06768116,200767859.04702264,0.278470187416794
long_shock_no_break,2,fixed_nominal,7,180022280.40495133,73225447.89581558,106796832.50913577,273993306.9428382,0.3800357681627169
long_shock_no_break,2,fixed_nominal,8,152835465.56632483,73942100.04467669,78893365.52164812,347935406.98751485,0.4825953638827162
long_shock_no_break,2,fixed_nominal,9,160164530.02780983,90237569.85088708,69926960.17692277,438172976.8384019,0.6077571956006463
long_shock_no_break,2,fixed_nominal,10,234898518.58518437,150851578.73964366,84046939.84554072,589024555.5780456,0.8169922175964184
long_shock_no_break,2,fixed_nominal,11,110087365.92105223,71921276.70516177,38166089.21589047,660945832.2832074,0.9167488793370343
long_shock_no_break,2,fixed_nominal,12,49587551.18176674,32833256.64913177,16754294.532634968,693779088.9323392,0.9622894512990334
long_shock_no_break,2,fixed_nominal,13,32739565.882994227,19075028.75548875,13664537.127505478,712854117.687828,0.9887470070937465
long_shock_no_break,2,fixed_nominal,14,11038397.487524068,8113038.291881446,2925359.1956426227,720967155.9797094,1.0
long_stable_break,2,fixed_nominal,1,55309347.33299386,0.0,55309347.33299386,0.0,0.0
long_stable_break,2,fixed_nominal,2,246737019.47610164,5879313.431049251,240857706.04505238,5879313.431049251,0.012761600188444302
long_stable_break,2,fixed_nominal,3,317191099.098695,37487104.34156561,279703994.7571294,43366417.77261486,0.09413086948153897
long_stable_break,2,fixed_nominal,4,295636355.61924756,56253154.40576397,239383201.2134836,99619572.17837882,0.21623360720495838
long_stable_break,2,fixed_nominal,5,246670276.85158128,63141487.30263954,183528789.54894173,162761059.48101836,0.35328811632579865
long_stable_break,2,fixed_nominal,6,191099249.9774928,60355657.13869135,130743592.83880144,223116716.61970973,0.4842957202829402
long_stable_break,2,fixed_nominal,7,143410856.53727567,54771826.21160497,88639030.32567069,277888542.8313147,0.6031830964878032
long_stable_break,2,fixed_nominal,8,110157177.7037453,45521961.23846254,64635216.46528276,323410504.06977725,0.7019927748511223
long_stable_break,2,fixed_nominal,9,95484925.05571945,43152172.66750529,52332752.38821416,366562676.7372825,0.7956586052756686
long_stable_break,2,fixed_nominal,10,107310766.60352738,51482861.7586376,55827904.844889775,418045538.4959201,0.9074069762420773
long_stable_break,2,fixed_nominal,11,50183716.51235758,25348600.445379775,24835116.066977806,443394138.9412999,0.9624284864939686
long_stable_break,2,fixed_nominal,12,22272322.33483987,11547578.523895381,10724743.810944488,454941717.4651953,0.9874935866956972
long_stable_break,2,fixed_nominal,13,10985799.481455296,4046393.830091903,6939405.651363394,458988111.2952872,0.9962766633032332
long_stable_break,2,fixed_nominal,14,2376629.2619563923,1715354.1191050897,661275.1428513026,460703465.4143923,1.0000000000000002
long_emerging_break,2,fixed_nominal,1,56525516.51715071,0.0,56525516.51715071,0.0,0.0
long_emerging_break,2,fixed_nominal,2,253921808.5238816,6631116.776555445,247290691.74732617,6631116.776555445,0.012107019201225436
long_emerging_break,2,fixed_nominal,3,329185717.0851588,43005790.27221694,286179926.8129419,49636907.04877238,0.09062651239284876
long_emerging_break,2,fixed_nominal,4,309727556.96737283,63589879.18633182,246137677.781041,113226786.2351042,0.206728206007185
long_emerging_break,2,fixed_nominal,5,261704855.8333934,75735855.04499668,185969000.78839672,188962641.28010088,0.34500588715025576
long_emerging_break,2,fixed_nominal,6,205035666.99725276,73469261.75220971,131566405.24504305,262431903.0323106,0.4791452474882758
long_emerging_break,2,fixed_nominal,7,155332819.51241064,64645636.61406192,90687182.89834873,327077539.64637256,0.5971745312627728
long_emerging_break,2,fixed_nominal,8,120490057.40108784,56882241.99989884,63607815.40118899,383959781.6462714,0.7010294955632599
long_emerging_break,2,fixed_nominal,9,104737350.98110706,53050303.50084498,51687047.48026207,437010085.14711636,0.7978881492045854
long_emerging_break,2,fixed_nominal,10,116920078.75141254,60013252.8241514,56906825.927261144,497023337.97126776,0.9074596782174439
long_emerging_break,2,fixed_nominal,11,55347689.86516813,29676496.50434424,25671193.360823892,526699834.475612,0.9616426952129358
long_emerging_break,2,fixed_nominal,12,24890880.342460766,13982475.175191296,10908405.16726947,540682309.6508033,0.9871717427521401
long_emerging_break,2,fixed_nominal,13,12305413.45698156,4960570.806512856,7344842.650468705,545642880.4573162,0.9962286977157182
long_emerging_break,2,fixed_nominal,14,2785334.5277442476,2065574.14596597,719760.3817782776,547708454.6032821,1.0000000000000002
long_shock_break,2,fixed_nominal,1,57504904.85343963,0.0,57504904.85343963,0.0,0.0
long_shock_break,2,fixed_nominal,2,261259498.1731415,7386698.589389549,253872799.58375195,7386698.589389549,0.011632469941328235
long_shock_break,2,fixed_nominal,3,342022321.1223127,49589699.87801481,292432621.2442979,56976398.46740436,0.08972563784980354
long_shock_break,2,fixed_nominal,4,324480554.013044,74478953.05103692,250001600.96200705,131455351.51844129,0.20701405460912103
long_shock_break,2,fixed_nominal,5,277208624.3636927,89712963.93903026,187495660.42466247,221168315.45747155,0.34829277929774777
