scenario_id,simulation_id,seed,treaty_variant,tail_type,inflation_scenario,structural_break,base_attachment,base_limit,index_reference_year,gross_ultimate,ceded_ultimate,retained_ultimate,ceded_share,claim_count,attaching_claims,attachment_frequency,exhausting_claims,exhaustion_frequency,mean_ceded_per_ceded_claim,ceded_paid_to_date,ceded_true_reserve,retained_true_reserve,gross_true_reserve,ceded_unpaid_proportion,success,failure_message,runtime_seconds
long_emerging_break,1,20260817,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,1887118589.180332,490879403.93790746,1396239185.2424245,0.2601211215619048,697,422,0.6054519368723099,22,0.03156384505021521,1163221.3363457522,185149937.41419947,305729466.5237079,384549730.07008886,690279196.5937967,0.6228199106972114,True,,0.22733470000093803
long_emerging_break,2,20260818,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,2008910746.7625828,547708454.603282,1461202292.1593008,0.27263951645732887,742,455,0.6132075471698113,19,0.025606469002695417,1203754.8452819383,215045826.75886703,332662627.84441507,335492402.3017707,668155030.1461856,0.6073717231284487,True,,0.22326800000155345
long_emerging_no_break,1,20260817,fixed_nominal,long,emerging,False,2000000.0,5000000.0,2010,1972344008.5600204,555956583.2483603,1416387425.3116596,0.28187607275175897,697,446,0.6398852223816356,25,0.035868005738880916,1246539.4243236778,147306215.2953986,408650367.9529617,471872437.464247,880522805.4172087,0.7350400737505197,True,,0.23534189999918453
long_emerging_no_break,2,20260818,fixed_nominal,long,emerging,False,2000000.0,5000000.0,2010,2096885177.0977292,615984273.5216732,1480900903.5760558,0.2937615660835797,742,483,0.6509433962264151,23,0.03099730458221024,1275329.7588440438,180225149.73210642,435759123.7895667,437871812.68661696,873630936.4761838,0.7074192353942209,True,,0.2260524000012083
long_shock_break,1,20260817,fixed_nominal,long,shock,True,2000000.0,5000000.0,2010,1997971674.6258779,574367052.6705806,1423604621.9552977,0.28747507282761225,697,442,0.6341463414634146,25,0.035868005738880916,1299472.9698429427,195081558.08736965,379285494.58321106,397364193.82137895,776649688.4045899,0.6603538500679711,True,,0.22890889999689534
long_shock_break,2,20260818,fixed_nominal,long,shock,True,2000000.0,5000000.0,2010,2119029650.0648682,635006892.4868515,1484022757.5780168,0.2996687150967484,742,479,0.6455525606469003,27,0.03638814016172507,1325692.8861938443,224096348.33782694,410910544.1490244,340650780.11945105,751561324.2684755,0.6470961953496163,True,,0.2252777999965474
long_shock_no_break,1,20260817,fixed_nominal,long,shock,False,2000000.0,5000000.0,2010,2104162181.3146372,654271873.6652932,1449890307.6493437,0.31094175129434065,697,463,0.6642754662840746,31,0.04447632711621234,1413114.1979811948,154504925.8004606,499766947.86483264,491629530.55364,991396478.4184726,0.7638521048827771,True,,0.243306999997003
long_shock_no_break,2,20260818,fixed_nominal,long,shock,False,2000000.0,5000000.0,2010,2229437637.726294,720967155.9797094,1508470481.7465842,0.32338520879866023,742,497,0.6698113207547169,32,0.0431266846361186,1450638.1408042442,186952060.8431351,534015095.1365743,449483662.4649458,983498757.6015201,0.7406926802524184,True,,0.22683910000341712
long_stable_break,1,20260817,fixed_nominal,long,stable,True,2000000.0,5000000.0,2010,1771304586.6490989,405264789.30105567,1366039797.3480434,0.22879452374011153,697,377,0.5408895265423243,17,0.024390243902439025,1074972.9159179195,174053013.37012684,231211775.9309288,371269516.0674114,602481291.9983402,0.5705202673286537,True,,0.22617750000063097
long_stable_break,2,20260818,fixed_nominal,long,stable,True,2000000.0,5000000.0,2010,1894825541.8469892,460703465.41439235,1434122076.4325967,0.24313766900425024,742,402,0.5417789757412399,14,0.018867924528301886,1146028.5209313242,203926973.76243544,256776491.65195692,328200521.07867014,584977012.7306271,0.5573574130183551,True,,0.24777069999981904
