check,passed,detail
exact_expected_result_row_count,True,"actual=900, expected=900"
expected_treaty_variants_present,True,
all_nine_scenarios_present,True,actual=9
expected_simulations_per_scenario_and_variant,True,expected=50
same_gross_portfolio_used_across_variants,True,
identical_gross_ultimate_across_variants,True,
fixed_nominal_reproduces_baseline_xol,True,rows=450
indexed_attachment_is_finite_and_positive,True,
indexed_limit_is_finite_and_positive,True,
fixed_nominal_attachment_is_exactly_two_million,True,
fixed_nominal_limit_is_exactly_five_million,True,
indexed_terms_follow_prespecified_rule,True,
no_future_truth_enters_index_calculation,True,
gross_equals_ceded_plus_retained,True,
claim_level_ceded_amounts_are_nonnegative,True,
claim_level_ceded_does_not_exceed_limit,True,
portfolio_totals_reconcile_to_claim_results,True,
accident_year_totals_reconcile_to_portfolio,True,
gross_truth_is_identical_before_reinsurance,True,
result_keys_are_unique,True,
accident_year_keys_are_unique,True,
failures_are_retained_and_reported,True,failures=0
frozen_step16_outputs_are_unchanged,True,sha256=f894e26eb839c3527f212ef267caefa78591ca37eaa9d8f9f3dc689f8c64eb57
approved_baseline_gate_available,True,
