scenario_id,treaty_variant,attempted_simulations,successful_simulations,success_rate,mean_gross_ultimate,mean_ceded_ultimate,mean_retained_ultimate,mean_ceded_share,mean_attaching_claims,mean_attachment_frequency,mean_exhausting_claims,mean_exhaustion_frequency,mean_ceded_true_reserve,mean_retained_true_reserve,mean_gross_true_reserve,mean_ceded_paid_to_date,mean_ceded_unpaid_proportion
long_emerging_break,fixed_nominal,50,50,1.0,2051286704.7693522,559951060.9185054,1491335643.8508472,0.2727976798618302,460.36,0.6188777230767404,21.44,0.028825896268661052,321700822.413092,352680400.3159334,674381222.7290254,238250238.50541332,0.5752257271154821
long_emerging_break,fully_indexed,50,50,1.0,2051286704.7693522,334468425.5606412,1716818279.2087111,0.1627654622119383,215.62,0.2898245400885332,9.02,0.012119384120675505,160882021.49972796,513499201.2292974,674381222.7290254,173586404.0609132,0.48173266038571805
long_emerging_no_break,fixed_nominal,50,50,1.0,2139036879.2064633,627907056.368028,1511129822.8384354,0.2933807683733946,487.52,0.6553966968070088,24.72,0.033238204584508615,426779732.96036094,451961755.0365969,878741487.9969579,201127323.40766707,0.6801583654142462
long_emerging_no_break,fully_indexed,50,50,1.0,2139036879.2064633,372270104.6808646,1766766774.5255988,0.1737554089613693,235.84,0.3170329576794489,9.96,0.01337985667676928,219481183.93078953,659260304.0661683,878741487.9969579,152788920.750075,0.590220536763615
long_shock_break,fixed_nominal,50,50,1.0,2162355381.610189,645386480.1991235,1516968901.4110653,0.29831068288693685,485.8,0.6530205120776903,25.86,0.03475718567512279,397106645.810683,361502640.11717474,758609285.9278579,248279834.38844043,0.6158719884997815
long_shock_break,fully_indexed,50,50,1.0,2162355381.610189,375984070.3276162,1786371311.2825727,0.17360328924345672,237.12,0.3187378017334089,10.0,0.013438411054541233,196441361.67585364,562167924.2520041,758609285.9278579,179542708.65176252,0.5230564879199027
long_shock_no_break,fixed_nominal,50,50,1.0,2272664302.9795537,730651713.8414134,1542012589.1381402,0.3213584225300675,510.16,0.6857726437932399,30.42,0.04088745026444462,522346667.8179705,466926957.8356297,989273625.6536003,208305046.02344283,0.7152593688146479
long_shock_no_break,fully_indexed,50,50,1.0,2272664302.9795537,427793114.4861745,1844871188.4933789,0.18796565534382753,265.2,0.3564550688992006,11.24,0.01510030649214311,270543898.6714153,718729726.9821848,989273625.6536003,157249215.81475922,0.6328888889699342
long_stable_break,fixed_nominal,50,50,1.0,1935658946.354952,473198572.8272748,1462460373.5276775,0.24425346605410475,414.94,0.5578289915718294,17.66,0.02371676462684795,246869908.55650833,343222601.7721993,590092510.3287077,226328664.27076653,0.5225852460417498
long_stable_break,fully_indexed,50,50,1.0,1935658946.354952,295699435.82284784,1639959510.5321047,0.15245831768965085,195.84,0.2632055967698717,8.4,0.011288144976411152,129132058.06676018,460960452.2619474,590092510.3287077,166567377.7560877,0.43756341403893323
long_stable_no_break,fixed_nominal,50,50,1.0,1987572326.0275075,511178948.7671492,1476393377.2603586,0.25698657170765116,442.22,0.5944653956174691,19.08,0.025646097758392168,318778155.7347268,435468259.2146956,754246414.9494221,192400793.03242248,0.6243082173477444
long_stable_no_break,fully_indexed,50,50,1.0,1987572326.0275075,315493222.38193464,1672079103.6455731,0.15842978986549988,206.66,0.27777962331184086,8.7,0.01169534522549463,168159095.69908008,586087319.2503421,754246414.9494221,147334126.68285456,0.5339100215889419
short_emerging_no_break,fixed_nominal,50,50,1.0,1743703986.7651832,375434441.6315056,1368269545.1336775,0.2150593479221779,330.14,0.44378766752488197,13.52,0.018157218832823716,69655086.19813423,58899062.845172316,128554149.04330656,305779355.43337137,0.18634816126781437
short_emerging_no_break,fully_indexed,50,50,1.0,1743703986.7651832,221971892.79822263,1521732093.9669604,0.12698539586690383,143.66,0.19304014463275584,6.46,0.008679564983279268,28025609.753744803,100528539.28956175,128554149.04330656,193946283.04447782,0.12732284925002263
short_shock_no_break,fixed_nominal,50,50,1.0,1782477692.0466218,406397159.71543205,1376080532.3311896,0.22776573370129363,345.92,0.4649849614652431,14.84,0.01994052972048171,88647867.43818653,55490625.984823324,144138493.42300984,317749292.27724546,0.21891224337338103
short_shock_no_break,fully_indexed,50,50,1.0,1782477692.0466218,230039956.80834475,1552437735.238277,0.12874864583488643,146.26,0.19654488222027994,6.52,0.00875894510390055,32502413.43662469,111636079.98638517,144138493.42300984,197537543.37172008,0.14228564621915613
short_stable_no_break,fixed_nominal,50,50,1.0,1703896853.8882186,347214184.85341716,1356682669.0348015,0.2035072513816861,305.64,0.4108569959769172,12.58,0.016895812157262158,55201414.257873386,60534288.32566679,115735702.58354017,292012770.59554374,0.15976909383956234
short_stable_no_break,fully_indexed,50,50,1.0,1703896853.8882186,214565655.83502918,1489331198.0531893,0.12560616747518621,141.24,0.1897964261426812,6.4,0.008599041681850004,24637806.242258843,91097896.34128132,115735702.58354017,189927849.59277034,0.11592984861055117
