scenario_id,simulation_id,seed,treaty_variant,tail_type,inflation_scenario,structural_break,base_attachment,base_limit,index_reference_year,gross_ultimate,ceded_ultimate,retained_ultimate,ceded_share,claim_count,attaching_claims,attachment_frequency,exhausting_claims,exhaustion_frequency,mean_ceded_per_ceded_claim,ceded_paid_to_date,ceded_true_reserve,retained_true_reserve,gross_true_reserve,ceded_unpaid_proportion,success,failure_message,runtime_seconds
long_emerging_break,1,20260817,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,1887118589.180332,490879403.93790746,1396239185.2424245,0.2601211215619048,697,422,0.6054519368723099,22,0.03156384505021521,1163221.3363457522,185149937.41419947,305729466.5237079,384549730.07008886,690279196.5937967,0.6228199106972114,True,,0.22856379999575438
long_emerging_break,1,20260817,fully_indexed,long,emerging,True,2000000.0,5000000.0,2010,1887118589.180332,289927709.2314075,1597190879.9489243,0.15363512971240315,697,178,0.25538020086083213,10,0.014347202295552367,1628807.3552326264,126557507.49144137,163370201.73996615,526908994.85383064,690279196.5937967,0.5634859881901501,True,,0.4607923000003211
long_emerging_break,2,20260818,fixed_nominal,long,emerging,True,2000000.0,5000000.0,2010,2008910746.7625828,547708454.603282,1461202292.1593008,0.27263951645732887,742,455,0.6132075471698113,19,0.025606469002695417,1203754.8452819383,215045826.75886703,332662627.84441507,335492402.3017707,668155030.1461856,0.6073717231284487,True,,0.22863890000007814
long_emerging_break,2,20260818,fully_indexed,long,emerging,True,2000000.0,5000000.0,2010,2008910746.7625828,325955304.9828791,1682955441.7797039,0.16225474701062026,742,208,0.2803234501347709,7,0.009433962264150943,1567092.812417688,155101333.6045721,170853971.378307,497301058.76787865,668155030.1461856,0.5241638002709641,True,,0.4478388999996241
long_emerging_no_break,1,20260817,fixed_nominal,long,emerging,False,2000000.0,5000000.0,2010,1972344008.5600204,555956583.2483603,1416387425.3116596,0.28187607275175897,697,446,0.6398852223816356,25,0.035868005738880916,1246539.4243236778,147306215.2953986,408650367.9529617,471872437.464247,880522805.4172087,0.7350400737505197,True,,0.22244420000060927
long_emerging_no_break,1,20260817,fully_indexed,long,emerging,False,2000000.0,5000000.0,2010,1972344008.5600204,325658723.20720994,1646685285.35281,0.16511253705937873,697,199,0.2855093256814921,10,0.014347202295552367,1636475.9960161303,107055013.48854254,218603709.71866742,661919095.6985413,880522805.4172087,0.6712662494214054,True,,0.44088660000124946
long_emerging_no_break,2,20260818,fixed_nominal,long,emerging,False,2000000.0,5000000.0,2010,2096885177.0977292,615984273.5216732,1480900903.5760558,0.2937615660835797,742,483,0.6509433962264151,23,0.03099730458221024,1275329.7588440438,180225149.73210642,435759123.7895667,437871812.68661696,873630936.4761838,0.7074192353942209,True,,0.22687109999969834
long_emerging_no_break,2,20260818,fully_indexed,long,emerging,False,2000000.0,5000000.0,2010,2096885177.0977292,364147505.0699761,1732737672.0277526,0.17366115657986947,742,233,0.3140161725067385,10,0.013477088948787063,1562864.8286265067,129872779.45160165,234274725.61837438,639356210.8578093,873630936.4761838,0.6433511759839057,True,,0.4492656000002171
long_shock_break,1,20260817,fixed_nominal,long,shock,True,2000000.0,5000000.0,2010,1997971674.6258779,574367052.6705806,1423604621.9552977,0.28747507282761225,697,442,0.6341463414634146,25,0.035868005738880916,1299472.9698429427,195081558.08736965,379285494.58321106,397364193.82137895,776649688.4045899,0.6603538500679711,True,,0.2225862999985111
long_shock_break,1,20260817,fully_indexed,long,shock,True,2000000.0,5000000.0,2010,1997971674.6258779,328542837.5939127,1669428837.0319655,0.1644381858693931,697,194,0.2783357245337159,11,0.015781922525107604,1693519.7814119211,131984024.17763963,196558813.4162731,580090874.9883169,776649688.4045899,0.5982745350827728,True,,0.4435053999986849
