comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,required_pairs,rows_present_a,rows_present_b,attempts_a,successful_fits_a,success_rate_a,attempts_b,successful_fits_b,success_rate_b,unconditional_success_rate_a,unconditional_success_rate_b,both_success_pair_count,either_failed_pair_count,structurally_not_applicable_count,not_applicable_a,not_applicable_b,group_type,pool_label,model,shorter_window_years,longer_window_years,prior_multiplier_a,prior_multiplier_b
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_emerging_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_shock_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_shock_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_shock_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_shock_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_stable_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_stable_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_stable_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,long_stable_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,short_emerging_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,short_emerging_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,short_shock_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,short_shock_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,short_stable_no_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,short_stable_no_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,__pooled__,ceded,150,150,150,150,150,1.0,150,150,1.0,1.0,1.0,150,0,0,0,0,pooled_structural_basis,break,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,__pooled__,ceded,300,300,300,300,300,1.0,300,300,1.0,1.0,1.0,300,0,0,0,0,pooled_structural_basis,no_break,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,__pooled__,gross,150,150,150,150,150,1.0,150,150,1.0,1.0,1.0,150,0,0,0,0,pooled_structural_basis,break,,,,,
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,__pooled__,gross,300,300,300,300,300,1.0,300,300,1.0,1.0,1.0,300,0,0,0,0,pooled_structural_basis,no_break,,,,,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_emerging_break,ceded,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,long_emerging_break,gross,50,50,50,50,50,1.0,50,50,1.0,1.0,1.0,50,0,0,0,0,scenario_basis,,,,,,
