comparison_id,analysis_family,source_step,model_a,model_b,group_type,scenario_id,basis,pool_label,valid_paired_rows,mean_paired_ape_difference,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_resamples,bootstrap_seed
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,long_emerging_break,ceded,,50,-42.042744537512064,-48.07338883780973,-35.94204961901255,10000,1710593862
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,long_emerging_break,gross,,50,4.086629063250055,1.9362693621794484,6.226294334696766,10000,2561184578
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,long_emerging_no_break,ceded,,50,-9.619201031263458e-09,-4.6578757565418615e-08,1.9942446244813894e-08,10000,161580202
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,long_emerging_no_break,gross,,50,-4.794117595157354e-05,-0.00010489385177505596,5.206705188252832e-06,10000,3656002013
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,long_shock_break,ceded,,50,-42.95973029178724,-49.354228685179706,-36.80318744634565,10000,1097748407
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,long_shock_break,gross,,50,-6.163957192788724,-7.997860663236789,-4.366267118750377,10000,1205027360
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,long_shock_no_break,ceded,,50,6.376409522945714e-07,-2.5799981171470417e-09,1.9106119517907084e-06,10000,492381227
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,long_shock_no_break,gross,,50,-5.381606150696439e-06,-2.818238923072604e-05,1.7137519192396363e-05,10000,1054399292
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,long_stable_break,ceded,,50,-50.22912930710791,-57.48925468706075,-43.34510396233145,10000,2326276272
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,long_stable_break,gross,,50,-6.7366889923703335,-8.433157163471074,-5.1693335306225885,10000,3579307697
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,long_stable_no_break,ceded,,50,4.962084072523965e-09,-8.046288502150389e-10,1.315782071076299e-08,10000,593763611
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,long_stable_no_break,gross,,50,2.781009712525817e-06,-5.200922801405021e-06,1.1175925753020175e-05,10000,2054647627
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,short_emerging_no_break,ceded,,50,2.7898795772252073e-07,-1.048169481977501e-07,9.495625615439928e-07,10000,241097955
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,short_emerging_no_break,gross,,50,4.553975970167102e-06,-8.468774668964405e-07,1.1601470872861396e-05,10000,2032648771
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,short_shock_no_break,ceded,,50,-1.5480563781977708e-08,-6.566535589891397e-08,2.5022991193446307e-08,10000,4006990368
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,short_shock_no_break,gross,,50,4.6291006338572416e-07,-3.129982402112925e-06,3.6010034054519966e-06,10000,3044660174
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,short_stable_no_break,ceded,,50,-4.004779221800092e-07,-1.2043418104626946e-06,6.715132665813243e-09,10000,1202300852
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,scenario_basis,short_stable_no_break,gross,,50,1.3624502804329697e-06,-1.4601117783892557e-07,4.017979754259305e-06,10000,3409059219
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,pooled_structural_basis,__pooled__,ceded,break,150,-45.07720137880241,-48.8566066929283,-41.33200871136861,10000,1697636127
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,pooled_structural_basis,__pooled__,ceded,no_break,300,8.266888451606095e-08,-1.5668730276048126e-07,3.639160816213959e-07,10000,2540801634
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,pooled_structural_basis,__pooled__,gross,break,150,-2.9380057073029997,-4.262576754703263,-1.6374504412145328,10000,1703190541
step24_poisson_interaction_vs_poisson,core_model,24,regularized_poisson_break_interaction,regularized_poisson,pooled_structural_basis,__pooled__,gross,no_break,300,-7.360406012626395e-06,-1.8287585260939067e-05,2.4568972609009025e-06,10000,77866172
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,long_emerging_break,ceded,,50,-13.736576084449258,-22.365113440088233,-5.425787887514925,10000,1710593862
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,long_emerging_break,gross,,50,-8.653232121577608,-11.128636408416103,-6.336843996641138,10000,2561184578
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,long_emerging_no_break,ceded,,50,-6.114814422366512,-14.521224688237497,0.45263681371835096,10000,161580202
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,long_emerging_no_break,gross,,50,1.2381751436411559,-0.566969344359341,3.0339202136177206,10000,3656002013
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,long_shock_break,ceded,,50,-13.758899790092803,-20.503584811589267,-7.0381582355605525,10000,1097748407
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,long_shock_break,gross,,50,-3.1672839202310428,-5.458614170491548,-0.9190600189739628,10000,1205027360
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,long_shock_no_break,ceded,,50,1.0321988388220331,-4.503434272830129,6.019262682410441,10000,492381227
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,long_shock_no_break,gross,,50,-0.2367124931269208,-1.5727941644283543,1.176998862183299,10000,1054399292
step25_tweedie_vs_poisson,core_model,25,regularized_tweedie,regularized_poisson,scenario_basis,long_stable_break,ceded,,50,-6.796172867649514,-12.228534407511065,-1.478627612837023,10000,2326276272
