comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,model,required_paired_rows,valid_paired_rows,excluded_pairs,exclusion_reason_counts,maximum_absolute_truth_difference,win_count_a,win_count_b,tie_count,bootstrap_resamples,bootstrap_seed,tie_tolerance,mean_ape_a,mean_ape_b,mean_paired_ape_difference,median_paired_ape_difference,std_paired_ape_difference,win_rate_a,win_rate_b,bootstrap_ci_lower,bootstrap_ci_upper,shorter_window_years,longer_window_years,group_type,pool_label
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,ceded,cashflow_uplift,50,0,50,"{""both_estimators_failed"": 43, ""model_a_failed"": 7}",0.0,0,0,0,10000,1515340856,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,ceded,chain_ladder,50,0,50,"{""both_estimators_failed"": 43, ""model_a_failed"": 7}",0.0,0,0,0,10000,3486608116,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,ceded,inflation_adjusted_chain_ladder,50,0,50,"{""both_estimators_failed"": 43, ""model_a_failed"": 7}",0.0,0,0,0,10000,3861080418,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,ceded,regularized_poisson,50,50,0,{},0.0,1,49,0,10000,803557475,1e-12,615.9381266195736,114.6745218612154,501.2636047583581,300.0079666410921,614.4422922119245,0.02,0.98,341.12057842044624,680.8360265285811,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,ceded,regularized_poisson_break_interaction,50,50,0,{},0.0,2,48,0,10000,3140212207,1e-12,384.45581258377473,80.07783178226873,304.377980801506,212.8397846994742,301.5852889853724,0.04,0.96,226.4590413220461,391.2008484131016,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,ceded,regularized_tweedie,50,50,0,{},0.0,6,44,0,10000,1079725116,1e-12,448.9811436809468,99.57680133723599,349.4043423437109,108.63960803326233,630.221713043027,0.12,0.88,195.1620877823545,541.5467954922691,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,gross,cashflow_uplift,50,0,50,"{""model_a_failed"": 50}",0.0,0,0,0,10000,661327076,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,gross,chain_ladder,50,0,50,"{""model_a_failed"": 50}",0.0,0,0,0,10000,376642839,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,gross,inflation_adjusted_chain_ladder,50,0,50,"{""model_a_failed"": 50}",0.0,0,0,0,10000,3350609135,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_emerging_break,gross,regularized_poisson,50,50,0,{},0.0,0,50,0,10000,1383721168,1e-12,83.79334390730925,39.50040305402834,44.2929408532809,42.499535173709376,17.682260344384783,0.0,1.0,39.54830483699078,49.209820058825,10,15,scenario_basis_model,
