comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,model,required_paired_rows,valid_paired_rows,excluded_pairs,exclusion_reason_counts,maximum_absolute_truth_difference,win_count_a,win_count_b,tie_count,bootstrap_resamples,bootstrap_seed,tie_tolerance,mean_ape_a,mean_ape_b,mean_paired_ape_difference,median_paired_ape_difference,std_paired_ape_difference,win_rate_a,win_rate_b,bootstrap_ci_lower,bootstrap_ci_upper,prior_multiplier_a,prior_multiplier_b,group_type,pool_label
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_emerging_break,ceded,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,2845266060,1e-12,56.11989674410812,45.14987093013515,10.970025813972974,10.970183996910702,0.8886379322098172,0.0,1.0,10.72696274237084,11.21824213053258,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_emerging_break,ceded,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,314248329,1e-12,44.10619265620066,30.132740820250845,13.973451835949831,13.973653326967185,1.1319334663292626,0.0,1.0,13.669416216591129,14.286864426465794,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_emerging_break,ceded,expected_loss,50,50,0,{},0.0,14,36,0,10000,2747143218,1e-12,23.008635017951857,11.557521295802424,11.451113722149435,17.238224571519485,18.032120112631883,0.28,0.72,6.544494253049516,16.366747499979418,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_emerging_break,gross,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,567696138,1e-12,41.60959438293916,27.011992978673963,14.597601404265202,14.541512127515352,1.1379018558053728,0.0,1.0,14.289832960677714,14.911534910694504,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_emerging_break,gross,bornhuetter_ferguson_standard,50,50,0,{},0.0,2,48,0,10000,3436058586,1e-12,23.409264221669474,7.065145290390937,16.344118931278537,18.106176153201943,5.1977808629142945,0.04,0.96,14.792860483969443,17.63420453343625,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_emerging_break,gross,expected_loss,50,50,0,{},0.0,7,43,0,10000,2784683856,1e-12,34.208202732884814,14.505552325594927,19.702650407289884,25.48623151065651,19.089391377691804,0.14,0.86,14.315352549946263,24.786573629300808,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,743750896,1e-12,50.780039601464274,38.475049501830355,12.304990099633931,12.218511597256267,0.9441159443744483,0.0,1.0,12.048515638278058,12.56332611391737,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_emerging_no_break,ceded,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,1312334639,1e-12,50.780039601464274,38.475049501830355,12.304990099633931,12.218511597256267,0.9441159443744483,0.0,1.0,12.047726278030838,12.56446552389879,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_emerging_no_break,ceded,expected_loss,50,50,0,{},0.0,11,39,0,10000,4258081970,1e-12,21.141906509704672,9.489885353018945,11.652021156685727,16.345535797018105,14.503289835475776,0.22,0.78,7.536091217881965,15.50074051919552,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_emerging_no_break,gross,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,717369089,1e-12,36.92194897470809,21.152436218385105,15.769512756322984,15.703811094643822,1.1326196657849963,0.0,1.0,15.464131497716167,16.08666321106793,0.8,1.0,scenario_basis_model,
